artist,cprog,C_1,C_2,C_3,C_4,song,energy,genres,key,popularity,release_date,tempo,valence,release_year
Rush,1.5.4.1,1,5 ,4  ,1   ,Working Man,0.837,"[u'album rock', u'alternative rock', u'art rock', u'canadian metal', u'classic rock', u'hard rock', u'mellow gold', u'metal', u'progressive rock', u'psychedelic rock', u'rock', u'soft rock']",9,49,1974,157.016,0.686,1974
Schoolhouse Rock,1.5.4.1,1,5 ,4  ,1   ,Interjections,0.322,[u'australian pop'],3,5,2006-07-01,119.705,0.912,2006
Smokey Mountain,1.5.4.1,1,5 ,4  ,1   ,Da Coconut Nut,0.772,"[u'opm', u'pinoy alternative']",0,22,2012-07-26,143.974,0.903,2012
Sonia Leigh,1.5.4.1,1,5 ,4  ,1   ,Put It In Your Pocket,0.785,[],5,24,2014-06-24,81.022,0.9,2014
Starbomb,1.5.4.1,1,5 ,4  ,1   ,Luigi's Ballad,0.733,"[u'antiviral pop', u'comic', u'otacore', u'video game music']",7,47,2013-12-13,94.86,0.604,2013
Steve Miller Band,1.5.4.1,1,5 ,4  ,1   ,Take The Money and Run,0.603,"[u'album rock', u'blues-rock', u'classic funk rock', u'classic rock', u'country rock', u'folk', u'folk rock', u'hard rock', u'mellow gold', u'pop rock', u'psychedelic rock', u'rock', u'roots rock', u'singer-songwriter', u'soft rock', u'southern rock']",0,51,1978,98.114,0.882,1978
Sum 41,1.5.4.1,1,5 ,4  ,1   ,Heart Attack,0.801,"[u'dance pop', u'pop', u'pop christmas', u'post-teen pop', u'viral pop']",8,62,2013-01-01,173.937,0.535,2013
Sum 41,1.5.4.1,1,5 ,4  ,1   ,In Too Deep,0.838,"[u'alternative metal', u'nu metal', u'pop punk', u'post-grunge']",9,62,2001-01-01,116.048,0.775,2001
Taylor Swift,1.5.4.1,1,5 ,4  ,1   ,Mean,0.562,"[u'dwn trap', u'pop rap', u'rap', u'underground pop rap']",10,76,2014-06-20,140.0,0.136,2014
The Beach Boys,1.5.4.1,1,5 ,4  ,1   ,Barbara Ann,0.662,"[u'album rock', u'brill building pop', u'classic rock', u'folk rock', u'mellow gold', u'pop christmas', u'psychedelic rock', u'rock', u'singer-songwriter', u'soft rock']",6,53,2003-05-29,78.732,0.921,2003
The Beatles,1.5.4.1,1,5 ,4  ,1   ,Two Of Us,0.283,"[u'brooklyn indie', u'chamber pop', u'folk-pop', u'indie folk', u'indie pop', u'indietronica', u'new americana', u'shimmer pop', u'stomp and holler']",2,59,2013-10-15,79.664,0.235,2013
The Black Keys,1.5.4.1,1,5 ,4  ,1   ,Gold On The Ceiling,0.833,"[u'alternative rock', u'blues-rock', u'classic rock', u'folk-pop', u'garage rock', u'indie pop', u'indie rock', u'modern blues', u'punk blues', u'rock']",0,63,2012-01-24,130.121,0.557,2012
The Decemberists,1.5.4.1,1,5 ,4  ,1   ,16 Military Wives,0.777,"[u'alternative rock', u'anti-folk', u'chamber pop', u'folk christmas', u'folk-pop', u'indie christmas', u'indie folk', u'indie pop', u'indie rock', u'lo-fi', u'neo-psychedelic', u'new americana', u'pop rock', u'portland indie', u'singer-songwriter', u'stomp and holler']",4,38,2005,92.236,0.59,2005
The Gaslight Anthem,1.5.4.1,1,5 ,4  ,1   ,The Navesink Banks,NA,NA,NA,NA,NA,NA,NA,NA
The Mighty Mighty Bosstones,1.5.4.1,1,5 ,4  ,1   ,The Horse Shoe and the Rabbit's Foot,NA,NA,NA,NA,NA,NA,NA,NA
The Mighty Mighty Bosstones,1.5.4.1,1,5 ,4  ,1   ,Don't Worry Desmond Dekker,0.952,"[u'alternative rock', u'boston rock', u'funk rock', u'heavy christmas', u'melodic hardcore', u'pop punk', u'pop rock', u'punk', u'punk christmas', u'ska', u'ska punk', u'skate punk']",9,23,2007-01-01,169.966,0.757,2007
The Mighty Mighty Bosstones,1.5.4.1,1,5 ,4  ,1   ,The Package Store Petition,0.972,"[u'alternative rock', u'boston rock', u'funk rock', u'heavy christmas', u'melodic hardcore', u'pop punk', u'pop rock', u'punk', u'punk christmas', u'ska', u'ska punk', u'skate punk']",5,14,2011-12-06,190.041,0.643,2011
The Mighty Mighty Bosstones,1.5.4.1,1,5 ,4  ,1   ,The One With The Woes All Over It,0.936,"[u'alternative rock', u'boston rock', u'funk rock', u'heavy christmas', u'melodic hardcore', u'pop punk', u'pop rock', u'punk', u'punk christmas', u'ska', u'ska punk', u'skate punk']",9,19,2007-01-01,88.001,0.956,2007
The Script,1.5.4.1,1,5 ,4  ,1   ,Superheroes,0.885,"[u'boy band', u'celtic rock', u'dance pop', u'neo mellow', u'pop', u'pop rock', u'post-teen pop', u'viral pop']",3,70,2014-09-12,166.992,0.624,2014
The White Stripes,1.5.4.1,1,5 ,4  ,1   ,I Want to Be the Boy to Warm Your Mother's Heart,0.46,"[u'alternative rock', u'blues-rock', u'classic rock', u'funk rock', u'garage rock', u'indie rock', u'permanent wave', u'post-grunge', u'punk blues', u'rock']",7,38,2003-04-03,77.669,0.384,2003
The White Stripes,1.5.4.1,1,5 ,4  ,1   ,Ball and Biscuit,0.654,"[u'alternative rock', u'blues-rock', u'classic rock', u'funk rock', u'garage rock', u'indie rock', u'permanent wave', u'post-grunge', u'punk blues', u'rock']",9,48,2003-04-03,77.813,0.609,2003
The White Stripes,1.5.4.1,1,5 ,4  ,1   ,You Don't Know What Love Is,0.665,"[u'contemporary country', u'country', u'country christmas', u'country road', u'country rock']",3,35,2013-01-01,107.231,0.639,2013
They Might Be Giants,1.5.4.1,1,5 ,4  ,1   ,Can't Keep Johnny Down,0.759,"[u'alternative rock', u'anti-folk', u'comic', u'dance rock', u'geek rock', u'indie christmas', u'permanent wave', u'pop christmas', u'pop rock', u'zolo']",7,27,2011-07-19,168.034,0.688,2011
They Might Be Giants,1.5.4.1,1,5 ,4  ,1   ,Nightgown of the Sullen Moon,0.463,"[u'alternative rock', u'anti-folk', u'comic', u'dance rock', u'geek rock', u'indie christmas', u'permanent wave', u'pop christmas', u'pop rock', u'zolo']",4,13,1991-10-08,111.052,0.865,1991
Tom Cochrane,1.5.4.1,1,5 ,4  ,1   ,Life is a Highway,0.951,"[u'contemporary country', u'country', u'country christmas', u'country road', u'neo mellow', u'pop rock']",5,58,2009-01-13,103.131,0.672,2009
Tommy Tutone,1.5.4.1,1,5 ,4  ,1   ,867-5309 Jenny,0.708,"[u'album rock', u'mellow gold', u'new wave pop', u'rock', u'soft rock']",5,48,1981,137.657,0.569,1981
Transatlantic,1.5.4.1,1,5 ,4  ,1   ,We All Need Some Light,NA,NA,NA,NA,NA,NA,NA,NA
U2,1.5.4.1,1,5 ,4  ,1   ,Original Of The Species,0.676,"[u'irish rock', u'mellow gold', u'permanent wave', u'rock']",9,34,2004-01-01,173.717,0.297,2004
U2,1.5.4.1,1,5 ,4  ,1   ,The Miracle of Joey Ramone,0.823,"[u'irish rock', u'mellow gold', u'permanent wave', u'rock']",2,41,2014-10-14,134.904,0.228,2014
Veronica Maggio,1.5.4.1,1,5 ,4  ,1   ,Jag kommer,0.677,[],1,33,2015-07-10,126.047,0.859,2015
Vertical Horizon,1.5.4.1,1,5 ,4  ,1   ,I'm Still Here,0.0895,[],3,60,2016-07-07,68.725,0.507,2016
Walk off the Earth,1.5.4.1,1,5 ,4  ,1   ,Lightning Bolt,0.843,"[u'alternative metal', u'alternative rock', u'funk rock', u'grunge', u'hard rock', u'nu metal', u'permanent wave', u'pop rock', u'post-grunge', u'rock']",3,47,2013-10-14,155.033,0.467,2013
Washed Out,1.5.4.1,1,5 ,4  ,1   ,New Theory,0.865,"[u'alternative dance', u'chillwave', u'dream pop', u'electronic', u'folk-pop', u'freak folk', u'indie folk', u'indie pop', u'indie r&b', u'indie rock', u'indietronica', u'neo-psychedelic', u'new rave', u'noise pop', u'nu gaze', u'shimmer pop', u'synthpop']",7,48,2010-03-01,100.527,0.395,2010
Wiz Khalifa ft Charlie Puth,1.5.4.1,1,5 ,4  ,1   ,See You Again,0.481,"[u'dwn trap', u'pop rap', u'rap', u'southern hip hop', u'trap music']",10,79,2015-03-10,80.025,0.266,2015
Yogscast,1.5.4.1,1,5 ,4  ,1   ,Carrot For A Cock,0.884,[u'antiviral pop'],9,30,2014-12-14,126.64,0.6,2014
Ziggy Marley,1.5.4.1,1,5 ,4  ,1   ,Love is My Religion,0.704,"[u'dancehall', u'reggae', u'roots reggae']",9,54,2006-07-02,95.541,0.766,2006
Animation Domination High-Def,1.5.4.1,1,5 ,4  ,1   ,The Singularity Song,0.452,[],0,0,2014-01-09,77.007,0.243,2014
Animusic,1.5.4.1,1,5 ,4  ,1   ,Harmonic Voltage,NA,NA,NA,NA,NA,NA,NA,NA
Bee Gees,1.5.4.1,1,5 ,4  ,1   ,To Love Somebody,0.809,"[u'canadian pop', u'dance pop', u'pop', u'pop christmas', u'post-teen pop']",5,57,2010-03-23,129.966,0.586,2010
Blink 182,1.5.4.1,1,5 ,4  ,1   ,First Date,0.914,"[u'heavy christmas', u'pop punk', u'punk christmas']",0,62,2001,95.597,0.846,2001
Blink-182,1.5.4.1,1,5 ,4  ,1   ,Built This Pool,0.914,"[u'heavy christmas', u'pop punk', u'punk christmas']",4,8,2016-07-01,159.501,NA,2016
Bob Marley,1.5.4.1,1,5 ,4  ,1   ,Three Little Birds,0.487,"[u'reggae', u'roots reggae']",9,63,1977-01-01,148.491,0.644,1977
Brad Paisley,1.5.4.1,1,5 ,4  ,1   ,Two Feet of Topsoil,0.8,"[u'contemporary country', u'country', u'country christmas', u'country road', u'pop christmas']",0,27,2001,158.366,0.71,2001
Bruce Hornsand the Range,1.5.4.1,1,5 ,4  ,1   ,Mandolin Rain,0.691,"[u'acoustic pop', u'contemporary country', u'country road', u'modern country rock', u'neo mellow', u'pop rock']",4,40,2014-05-05,143.959,0.402,2014
Carly Rae Jepsen,1.5.4.1,1,5 ,4  ,1   ,Warm Blood,0.687,"[u'canadian pop', u'dance pop', u'indie poptimism', u'pop', u'pop christmas', u'post-teen pop', u'viral pop']",9,44,2015-08-21,102.96,0.391,2015
Carly Simon,1.5.4.1,1,5 ,4  ,1   ,You're So Vain,0.594,"[u'adult standards', u'album rock', u'brill building pop', u'bubblegum pop', u'christmas', u'disco', u'folk', u'folk christmas', u'folk rock', u'mellow gold', u'new wave pop', u'pop christmas', u'singer-songwriter', u'soft rock', u'traditional folk']",0,66,1972,105.934,0.755,1972
Chiddy Bang,1.5.4.1,1,5 ,4  ,1   ,Mind Your Manners,0.853,"[u'pop rap', u'rap', u'underground pop rap']",2,51,2012-02-28,92.976,0.677,2012
Cloud Nothings,1.5.4.1,1,5 ,4  ,1   ,Quieter Today,0.954,"[u'alternative rock', u'chillwave', u'dance-punk', u'dream pop', u'emo', u'experimental rock', u'freak folk', u'garage psych', u'garage rock', u'indie folk', u'indie garage rock', u'indie pop', u'indie punk', u'indie rock', u'indietronica', u'lo-fi', u'neo-psychedelic', u'noise pop', u'noise rock', u'nu gaze', u'popgaze', u'preverb', u'shoegaze']",11,29,2014-04-01,95.722,0.291,2014
CrosStills and Nash,1.5.4.1,1,5 ,4  ,1   ,Southern Cross,0.446,"[u'album rock', u'art rock', u'blues-rock', u'british blues', u'classic rock', u'country rock', u'folk', u'folk rock', u'hard rock', u'jam band', u'mellow gold', u'psychedelic rock', u'rock', u'roots rock', u'singer-songwriter', u'soft rock', u'southern rock', u'symphonic rock', u'traditional folk']",2,50,1982-06-21,81.558,0.592,1982
Cyndi Lauper,1.5.4.1,1,5 ,4  ,1   ,True Colors,0.842,"[u'complextro', u'dance pop', u'edm', u'electro house', u'german techno', u'pop', u'tropical house']",9,64,2015-05-18,129.955,0.362,2015
David Wise,1.5.4.1,1,5 ,4  ,1   ,Donkey Kong Bonus,0.721,"[u'antiviral pop', u'otacore', u'scorecore', u'video game music']",4,17,2014-07-25,109.997,0.718,2014
Don Henley,1.5.4.1,1,5 ,4  ,1   ,The Boys of Summer,0.559,"[u'album rock', u'classic rock', u'dance rock', u'folk', u'folk rock', u'hard rock', u'mellow gold', u'new romantic', u'new wave pop', u'pop rock', u'rock', u'roots rock', u'singer-songwriter', u'soft rock', u'southern rock']",6,59,1984-11-19,176.894,0.909,1984
Electric Light Orchestra,1.5.4.1,1,5 ,4  ,1   ,Do Ya,0.514,"[u'dirty south rap', u'dwn trap', u'pop rap', u'rap', u'southern hip hop', u'trap music']",0,56,2016-07-22,134.095,0.362,2016
Elvis Presley,1.5.4.1,1,5 ,4  ,1   ,Hound Dog,0.756,"[u'christmas', u'rock', u'rock-and-roll', u'rockabilly']",0,63,1958-03-21,174.797,0.949,1958
George Ezra,1.5.4.1,1,5 ,4  ,1   ,Song 6,0.773,"[u'alternative metal', u'alternative rock', u'neo mellow', u'pop christmas', u'pop punk', u'pop rock', u'post-grunge', u'punk christmas']",9,38,1998,169.102,0.508,1998
Good Charlotte,1.5.4.1,1,5 ,4  ,1   ,The Anthem,0.939,"[u'alternative metal', u'emo', u'pop punk', u'pop rock', u'post-grunge']",1,66,2002-10-04,177.751,0.89,2002
Greek Fire,1.5.4.1,1,5 ,4  ,1   ,Top Of The World,0.795,"[u'contemporary country', u'country', u'country road']",8,62,2015-11-06,141.208,0.961,2015
Green Day,1.5.4.1,1,5 ,4  ,1   ,No One Knows,0.588,"[u'alternative metal', u'alternative rock', u'blues-rock', u'classic rock', u'funk rock', u'garage rock', u'indie rock', u'neo-psychedelic', u'nu metal', u'post-grunge', u'rock', u'stoner metal', u'stoner rock']",0,60,2002,170.889,0.631,2002
James Taylor,1.5.4.1,1,5 ,4  ,1   ,Mexico,0.117,"[u'folk-pop', u'indie anthem-folk', u'indie folk', u'indie pop', u'new americana', u'stomp and holler']",5,52,2012-11-12,131.847,0.172,2012
Jason Derulo,1.5.4.1,1,5 ,4  ,1   ,Ridin' Solo,0.557,"[u'electronic trap', u'vapor twitch']",1,58,2014-03-11,147.351,0.0481,2014
Jerry Lee Lewis,1.5.4.1,1,5 ,4  ,1   ,Whole Lotta Shakin' Goin' On,0.631,"[u'acoustic blues', u'blues', u'chicago blues', u'chicago soul', u'delta blues', u'jazz blues', u'jazz christmas', u'jump blues', u'louisiana blues', u'memphis blues', u'memphis soul', u'new orleans blues', u'piano blues', u'soul blues', u'soul christmas', u'southern soul', u'traditional blues']",8,44,1950,71.214,0.649,1950
JFlight,1.5.4.1,1,5 ,4  ,1   ,Tails Gets Trolled,NA,NA,NA,NA,NA,NA,NA,NA
Joni Mitchell,1.5.4.1,1,5 ,4  ,1   ,Morning Morgantown,0.282,"[u'art rock', u'canadian pop', u'chamber pop', u'folk', u'folk rock', u'folk-pop', u'lilith', u'mellow gold', u'new wave pop', u'pop rock', u'rock', u'roots rock', u'singer-songwriter', u'soft rock', u'soul', u'traditional folk']",9,33,1970-03-01,115.646,0.573,1970
Justin Timberlake,1.5.4.1,1,5 ,4  ,1   ,Mirrors,0.512,"[u'boy band', u'dance pop', u'pop', u'pop rap', u'post-teen pop']",5,65,2013-03-15,76.899,0.51,2013
Kenta Kiritani,1.5.4.1,1,5 ,4  ,1   ,Umi no Koe,0.409,[],9,0,2016-08-24,151.904,0.237,2016
Lady Gaga,1.5.4.1,1,5 ,4  ,1   ,Dance In The Dark,0.768,"[u'dance pop', u'pop', u'pop christmas', u'post-teen pop']",8,45,2009-01-01,120.966,0.102,2009
Less Than Jake,1.5.4.1,1,5 ,4  ,1   ,History Of A Boring Town,0.943,"[u'emo', u'melodic hardcore', u'pop punk', u'pop rock', u'punk', u'ska', u'ska punk', u'skate punk']",2,47,1998-09-24,107.313,0.79,1998
Little Richard,1.5.4.1,1,5 ,4  ,1   ,Long Tall Sally,0.569,"[u'adult standards', u'blues', u'blues-rock', u'brill building pop', u'christmas', u'classic rock', u'electric blues', u'folk rock', u'jazz blues', u'jazz christmas', u'memphis soul', u'motown', u'psychedelic rock', u'rock', u'rock-and-roll', u'rockabilly', u'roots rock', u'soul', u'soul blues', u'soul christmas', u'southern soul', u'traditional blues']",5,49,1991,184.441,0.883,1991
Little Richard,1.5.4.1,1,5 ,4  ,1   ,Tutti Frutti,0.444,"[u'adult standards', u'blues', u'blues-rock', u'brill building pop', u'christmas', u'classic rock', u'electric blues', u'folk rock', u'jazz blues', u'jazz christmas', u'memphis soul', u'motown', u'psychedelic rock', u'rock', u'rock-and-roll', u'rockabilly', u'roots rock', u'soul', u'soul blues', u'soul christmas', u'southern soul', u'traditional blues']",0,52,1991,185.156,0.963,1991
Live,1.5.4.1,1,5 ,4  ,1   ,Lightning Crashes,0.451,"[u'alternative metal', u'alternative rock', u'pop rock', u'post-grunge', u'rock']",11,54,2004-01-01,90.015,0.477,2004
LOCASH,1.5.4.1,1,5 ,4  ,1   ,I Love This Life,0.927,"[u'contemporary country', u'country', u'country christmas', u'country road', u'modern country rock', u'redneck']",2,62,2016-06-17,111.977,0.575,2016
Lonestar,1.5.4.1,1,5 ,4  ,1   ,Don't Let's Talk About Lisa,0.86,"[u'contemporary country', u'country', u'country christmas', u'country road', u'modern country rock']",9,15,1999,155.791,0.943,1999
Madonna,1.5.4.1,1,5 ,4  ,1   ,Liquid Love,0.359,"[u'soul', u'vocal jazz']",1,41,2013-09-17,133.61,0.498,2013
Michelle Branch,1.5.4.1,1,5 ,4  ,1   ,Everywhere,0.455,"[u'dwn trap', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap music', u'underground hip hop']",1,77,2016-02-26,140.181,0.176,2016
Mowith Wayne Coyne,1.5.4.1,1,5 ,4  ,1   ,The Perfect Life,0.909,"[u'alternative metal', u'christian alternative rock', u'christian rock', u'nu metal', u'post-grunge', u'rap metal', u'rap rock']",2,40,2013-02-01,140.051,0.663,2013
OMI,1.5.4.1,1,5 ,4  ,1   ,Cheerleader,0.663,"[u'dance pop', u'pop', u'tropical house']",4,64,2015-03-06,118.016,0.598,2015
Patrick Hernandez,1.5.4.1,1,5 ,4  ,1   ,Born To Be Alive,0.867,[u'disco'],2,56,2009-08-03,131.467,0.829,2009
Pr3,1.5.4.1,1,5 ,4  ,1   ,Overlooked Memories,0.935,[u'german hip hop'],11,0,2012-03-10,83.515,0.462,2012
Rainbow,1.5.4.1,1,5 ,4  ,1   ,Stone Cold,0.472,"[u'dance pop', u'pop', u'pop christmas', u'post-teen pop', u'viral pop']",8,66,2015-10-16,139.321,0.325,2015
Rhythm Heaven Fever,1.5.4.1,1,5 ,4  ,1   ,Catch of the Day,0.289,"[u'cabaret', u'dark cabaret', u'steampunk']",7,12,2003-12-18,184.325,0.814,2003
Rhythm Heaven Fever,1.5.4.1,1,5 ,4  ,1   ,Remix 10,0.583,"[u'crunk', u'deep trap', u'dirty south rap', u'dwn trap', u'gangster rap', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap music', u'underground hip hop']",2,53,2013-06-11,143.964,0.307,2013
Rufus Wainwright,1.5.4.1,1,5 ,4  ,1   ,Instant Pleasure,0.866,[u'underground power pop'],2,8,2004-08-01,99.888,0.822,2004
Sammy Hagar,1.5.4.1,1,5 ,4  ,1   ,I'll Fall In Love Again,0.339,"[u'adult standards', u'brill building pop', u'bubblegum pop', u'cabaret', u'christmas', u'disco', u'folk', u'jazz blues', u'lounge', u'mellow gold', u'motown', u'new wave pop', u'quiet storm', u'singer-songwriter', u'soft rock', u'soul', u'soul christmas', u'vocal jazz']",1,47,1970,136.882,0.756,1970
Say Anything,1.5.4.1,1,5 ,4  ,1   ,Shiksa,0.657,[],2,42,2016-07-01,79.342,0.45,2016
Shawn Mendes,1.5.4.1,1,5 ,4  ,1   ,Believe,0.668,"[u'folk-pop', u'indie folk', u'indie pop', u'neo mellow', u'singer-songwriter']",2,65,2015-05-04,113.996,0.348,2015
Sonic Underground,1.5.4.1,1,5 ,4  ,1   ,Not Always What They Seem,0.883,[],1,0,2007-07-10,108.456,0.669,2007
Sum 41,1.5.4.1,1,5 ,4  ,1   ,No Reason,0.563,"[u'chillwave', u'deep indie r&b', u'electronic trap', u'escape room', u'indie dream pop', u'indie r&b', u'indietronica', u'vapor soul', u'vapor twitch', u'vaporwave']",0,48,2014-11-18,140.047,0.588,2014
Sum 41,1.5.4.1,1,5 ,4  ,1   ,Heart Attack,0.801,"[u'dance pop', u'pop', u'pop christmas', u'post-teen pop', u'viral pop']",8,62,2013-01-01,173.937,0.535,2013
The Connells,1.5.4.1,1,5 ,4  ,1   ,'74-'75,0.59,"[u'alternative rock', u'jangle pop', u'pop rock', u'power pop']",11,40,1993,144.239,0.422,1993
The Griswolds,1.5.4.1,1,5 ,4  ,1   ,Beware The Dog,0.646,"[u'indie pop', u'indie poptimism', u'indie rockism', u'indietronica', u'shimmer pop']",10,38,2014-11-04,121.992,0.395,2014
The Mighty Mighty Bosstones,1.5.4.1,1,5 ,4  ,1   ,Bad News and Bad Breaks,0.74,"[u'alternative rock', u'boston rock', u'funk rock', u'heavy christmas', u'melodic hardcore', u'pop punk', u'pop rock', u'punk', u'punk christmas', u'ska', u'ska punk', u'skate punk']",7,13,2000-05-02,78.858,0.899,2000
The Mighty Mighty Bosstones,1.5.4.1,1,5 ,4  ,1   ,Sugar Free,0.483,"[u'adult standards', u'christmas', u'folk rock', u'jazz blues', u'jazz christmas', u'soul', u'soul jazz', u'vocal jazz']",10,47,1998-07-28,120.673,0.597,1998
The Shins,1.5.4.1,1,5 ,4  ,1   ,Girl Inform Me,0.636,"[u'albuquerque indie', u'alternative rock', u'chamber pop', u'folk christmas', u'folk-pop', u'freak folk', u'garage rock', u'indie christmas', u'indie folk', u'indie pop', u'indie rock', u'indietronica', u'lo-fi', u'neo-psychedelic', u'noise pop', u'pop rock', u'shimmer pop', u'singer-songwriter', u'stomp and holler']",9,42,2001-06-19,119.81,0.59,2001
The Weeknd,1.5.4.1,1,5 ,4  ,1   ,The Party and The After Party,0.643,"[u'canadian pop', u'pop']",5,60,2012-11-13,101.775,0.371,2012
The Weepies,1.5.4.1,1,5 ,4  ,1   ,Be My Honeypie,0.624,"[u'acoustic pop', u'folk christmas', u'folk-pop', u'indie christmas', u'indie folk', u'indie pop', u'lilith', u'neo mellow', u'pop rock', u'stomp and holler']",8,26,2010-08-24,77.549,0.87,2010
They Might Be Giants,1.5.4.1,1,5 ,4  ,1   ,Everything Right Is Wrong Again,0.716,"[u'alternative rock', u'anti-folk', u'comic', u'dance rock', u'geek rock', u'indie christmas', u'permanent wave', u'pop christmas', u'pop rock', u'zolo']",9,23,1986-11-04,172.231,0.74,1986
Third Eye Blind,1.5.4.1,1,5 ,4  ,1   ,Never Let You Go,0.94,"[u'alternative rock', u'emo', u'neo mellow', u'pop christmas', u'pop punk', u'pop rock', u'post-grunge', u'punk christmas', u'rock']",4,58,1999-11-23,113.76,0.967,1999
Third Eye Blind,1.5.4.1,1,5 ,4  ,1   ,Semi-Charmed Life,0.864,"[u'alternative rock', u'emo', u'neo mellow', u'pop christmas', u'pop punk', u'pop rock', u'post-grunge', u'punk christmas', u'rock']",7,69,1997-04-08,102.026,0.735,1997
Toru Minegishi,1.5.4.1,1,5 ,4  ,1   ,Tokimeki Bomb Rush,NA,NA,NA,NA,NA,NA,NA,NA
Toru Minegishi,1.5.4.1,1,5 ,4  ,1   ,Splatoon - Split and Splat,NA,NA,NA,NA,NA,NA,NA,NA
Wavves,1.5.4.1,1,5 ,4  ,1   ,Way Too Much,0.883,"[u'alt-indie rock', u'alternative rock', u'chillwave', u'dance-punk', u'freak folk', u'garage rock', u'indie garage rock', u'indie pop', u'indie punk', u'indie rock', u'indietronica', u'lo-fi', u'neo-psychedelic', u'new rave', u'noise pop', u'noise rock', u'nu gaze']",10,45,2015-10-02,82.04,0.66,2015
Wavves,1.5.4.1,1,5 ,4  ,1   ,Nine is God,0.97,"[u'alt-indie rock', u'alternative rock', u'chillwave', u'dance-punk', u'freak folk', u'garage rock', u'indie garage rock', u'indie pop', u'indie punk', u'indie rock', u'indietronica', u'lo-fi', u'neo-psychedelic', u'new rave', u'noise pop', u'noise rock', u'nu gaze']",9,48,2013-09-24,121.907,0.103,2013
Weezer,1.5.4.1,1,5 ,4  ,1   ,The Greatest Man That Ever Lived,0.687,"[u'alternative metal', u'alternative rock', u'garage rock', u'indie christmas', u'indie pop', u'indie rock', u'permanent wave', u'pop christmas', u'pop punk', u'pop rock', u'post-grunge', u'punk christmas', u'rock']",8,39,2008-06-03,149.641,0.399,2008
ZZ Top,1.5.4.1,1,5 ,4  ,1   ,Gimme All Your Lovin,0.788,"[u'album rock', u'blues-rock', u'classic rock', u'electric blues', u'hard rock', u'mellow gold', u'metal', u'rock', u'roots rock', u'soft rock', u'texas blues']",5,61,1983-03-23,120.059,0.646,1983
Adele,6.5.4.5,6,5 ,4  ,5   ,Rolling In The Deep,0.756,"[u'dance pop', u'pop']",8,72,2011-01-19,104.945,0.523,2011
Angel Beats,6.5.4.5,6,5 ,4  ,5   ,My Soul Your Beats,0.197,[u'otacore'],2,35,2015-07-28,144.991,0.547,2015
Anne Murray,6.5.4.5,6,5 ,4  ,5   ,Danny's Song,0.408,[u'movie tunes'],10,48,2006-10-24,91.724,0.697,2006
Avicii,6.5.4.5,6,5 ,4  ,5   ,Liar Liar,0.737,[u'indie rockism'],9,57,2016-04-29,119.974,0.326,2016
Ayaka Hirahara,6.5.4.5,6,5 ,4  ,5   ,Jupiter,0.64,"[u'neo mellow', u'pop', u'pop christmas', u'pop rap', u'pop rock', u'post-grunge', u'viral pop']",0,72,2001-03-27,79.297,0.506,2001
Bad Lip Reading,6.5.4.5,6,5 ,4  ,5   ,Kicked Your Monkey,0.919,[u'antiviral pop'],0,20,2012-05-01,127.911,0.732,2012
Betty Who,6.5.4.5,6,5 ,4  ,5   ,Somebody Loves You,0.906,"[u'australian dance', u'indie poptimism', u'indietronica', u'metropopolis', u'pop', u'shimmer pop']",2,50,2014-10-03,122.993,0.429,2014
Bob Dylan,6.5.4.5,6,5 ,4  ,5   ,All Along The Watchtower,0.805,"[u'album rock', u'blues-rock', u'classic funk rock', u'classic rock', u'folk rock', u'hard rock', u'psychedelic rock', u'rock', u'singer-songwriter']",8,72,1968-10-25,113.253,0.565,1968
Bonnie Mckee,6.5.4.5,6,5 ,4  ,5   ,American Girl,0.824,"[u'album rock', u'alternative rock', u'blues-rock', u'classic rock', u'folk rock', u'hard rock', u'mellow gold', u'pop rock', u'psychedelic rock', u'rock', u'roots rock', u'singer-songwriter', u'soft rock', u'southern rock']",2,61,1976-11-09,114.512,0.763,1976
Braid Soundtrack,6.5.4.5,6,5 ,4  ,5   ,Downstream,0.382,"[u'album rock', u'art rock', u'classic rock', u'glam rock', u'hard rock', u'mellow gold', u'piano rock', u'progressive rock', u'rock', u'soft rock']",9,26,1977-01-01,86.65,0.156,1977
Celine Dion,6.5.4.5,6,5 ,4  ,5   ,My Heart Will Go On,0.36,"[u'canadian pop', u'dance pop', u'pop', u'pop christmas']",4,53,2008,99.414,0.0383,2008
Cold Chisel,6.5.4.5,6,5 ,4  ,5   ,Khe Sanh,0.913,[u'australian pop'],7,45,2011-10-31,164.092,0.654,2011
Crush 40,6.5.4.5,6,5 ,4  ,5   ,Escape from the City,0.956,[],6,40,2011-06-22,129.956,0.766,2011
Cyndi Lauper,6.5.4.5,6,5 ,4  ,5   ,Girls Just Want To Have Fun,0.788,"[u'album rock', u'dance pop', u'dance rock', u'europop', u'mellow gold', u'new romantic', u'new wave', u'new wave pop', u'permanent wave', u'pop', u'pop christmas', u'pop rock', u'rock', u'soft rock', u'synthpop']",6,68,2014-03-28,120.465,0.741,2014
Dash Berlin,6.5.4.5,6,5 ,4  ,5   ,Man on the Run,0.289,"[u'chamber pop', u'folk-pop', u'freak folk', u'indie folk', u'indie pop', u'indie rock', u'neo mellow', u'new americana', u'singer-songwriter', u'stomp and holler']",0,39,2010-04-13,133.705,0.17,2010
