"name"   "category"   "city"   "restdollars"   "numitems"   "origin"   "traditional"   "generous"   "participle"   "useless"   "delicious"   "choice"   "adj"   "sensoryadj"   "length"   "wordlen"
 "2014"   "Old Glory"   "bars"   "washington"   "2.0"   "49"   "0.0408"   "0.0204"   "0.1224"   "0.6122"   "0.0408"   "0.0000"   "0.2245"   "1.4286"   "0.5306"   "14.2653"   "6.2981"
 "2015"   "Martin's Tavern"   "american (traditional)"   "washington"   "2.0"   "61"   "0.0656"   "0.0656"   "0.0328"   "0.6393"   "0.0984"   "0.0000"   "0.1311"   "2.4426"   "0.4426"   "17.0820"   "6.2134"
 "2016"   "Veritas"   "bars"   "washington"   "2.0"   "7"   "0.0000"   "0.0000"   "0.0000"   "1.0000"   "0.0000"   "0.0000"   "0.0000"   "1.0000"   "0.0000"   "6.7143"   "7.4461"
 "2017"   "Thai Market"   "thai"   "nyc"   "2.0"   "94"   "0.0106"   "0.0000"   "0.0000"   "0.4043"   "0.0000"   "0.0000"   "0.0426"   "1.8511"   "0.4255"   "12.0426"   "5.9956"
 "2018"   "The Smoke Daddy"   "barbeque"   "chicago"   "2.0"   "36"   "0.0000"   "0.1667"   "0.0278"   "0.3611"   "0.0000"   "0.0000"   "0.0833"   "0.6667"   "0.0278"   "4.4444"   "5.9553"
 "2019"   "La Palapa"   "mexican"   "nyc"   "2.0"   "14"   "0.0000"   "0.3571"   "0.0000"   "0.9286"   "0.0000"   "0.0000"   "0.2143"   "2.0714"   "0.1429"   "17.8571"   "6.1427"
 "2020"   "2nd Avenue Fresh Tortillas Grill"   "mexican"   "nyc"   "1.0"   "107"   "0.0000"   "0.0000"   "0.0000"   "0.2243"   "0.0000"   "0.0000"   "0.0000"   "0.8318"   "0.0093"   "4.4299"   "6.2730"
 "2021"   "Misono"   "sushi bars"   "boston"   "2.0"   "57"   "0.0175"   "0.0000"   "0.0000"   "0.5088"   "0.0000"   "0.0000"   "0.0526"   "1.2982"   "0.2807"   "10.5088"   "6.7435"
 "2022"   "LaScala's"   "italian"   "philadelphia"   "2.0"   "121"   "0.0496"   "0.0165"   "0.0000"   "0.4050"   "0.0000"   "0.0000"   "0.0413"   "0.9587"   "0.1818"   "5.7603"   "7.4059"
 "2023"   "Al's South Street Cafe"   "sandwiches"   "boston"   "1.0"   "54"   "0.0000"   "0.2778"   "0.0556"   "1.0000"   "0.1667"   "0.1667"   "0.3333"   "2.4444"   "0.0556"   "18.3889"   "6.5020"
 "2024"   "Sausalito Espresso"   "coffee & tea"   "sf"   "1.0"   "21"   "0.0000"   "0.0000"   "0.0000"   "0.0476"   "0.0000"   "0.0000"   "0.0000"   "0.0952"   "0.0000"   "4.7143"   "5.7253"
 "2025"   "Kai Kai"   "other"   "nyc"   "1.0"   "49"   "0.0000"   "0.0000"   "0.0000"   "0.0408"   "0.0000"   "0.0000"   "0.0000"   "0.3061"   "0.1020"   "2.2653"   "5.9755"
 "2026"   "Mama-san!"   "sushi bars"   "sf"   "2.0"   "172"   "0.0000"   "0.0116"   "0.0000"   "0.1744"   "0.0116"   "0.0000"   "0.0174"   "0.5930"   "0.1453"   "7.8721"   "6.2083"
 "2027"   "Pasta Paradiso"   "italian"   "sf"   "1.0"   "16"   "0.0000"   "0.0000"   "0.0000"   "0.3750"   "0.0000"   "0.0000"   "0.0000"   "0.7500"   "0.2500"   "9.6875"   "6.2900"
 "2028"   "Doma"   "sushi bars"   "philadelphia"   "2.0"   "96"   "0.0312"   "0.0000"   "0.0000"   "0.4688"   "0.0104"   "0.0000"   "0.1042"   "1.0833"   "0.3333"   "7.5625"   "6.4994"
 "2029"   "Solo Pizza"   "pizza"   "nyc"   "1.0"   "15"   "0.0000"   "0.0000"   "0.0000"   "0.1333"   "0.0000"   "0.0000"   "0.0000"   "0.3333"   "0.0000"   "2.8667"   "6.8000"
 "2030"   "Katana Sushi"   "sushi bars"   "nyc"   "3.0"   "205"   "0.0000"   "0.0000"   "0.0000"   "0.1561"   "0.0049"   "0.0000"   "0.1366"   "0.4829"   "0.1561"   "5.6390"   "6.1654"
 "2031"   "American City Diner of Washington"   "diners"   "washington"   "2.0"   "129"   "0.0000"   "0.1318"   "0.0000"   "0.3023"   "0.0078"   "0.0000"   "0.0930"   "0.6744"   "0.1163"   "9.1628"   "5.9521"
 "2032"   "Panini & Co. Breads"   "american (traditional)"   "nyc"   "2.0"   "11"   "0.0000"   "0.0000"   "0.0000"   "0.0909"   "0.0000"   "0.0000"   "0.0000"   "0.1818"   "0.0909"   "1.3636"   "7.0000"
 "2033"   "Ana Mandara"   "otherasian"   "sf"   "3.0"   "16"   "0.0000"   "0.0000"   "0.0000"   "0.2500"   "0.0000"   "0.0000"   "0.0000"   "1.2500"   "0.3750"   "7.1250"   "6.8209"
 "2034"   "Shi Mo"   "sushi bars"   "sf"   "2.0"   "104"   "0.0000"   "0.0385"   "0.0000"   "0.2308"   "0.0192"   "0.0000"   "0.0865"   "0.9615"   "0.2692"   "9.4423"   "6.0432"
 "2035"   "Paladar Latino Food And Drinks"   "latin american"   "nyc"   "2.0"   "38"   "0.0789"   "0.0000"   "0.0000"   "0.5000"   "0.0000"   "0.0000"   "0.0000"   "0.9474"   "0.1053"   "10.4211"   "6.3987"
 "2036"   "Hunan Empire"   "chinese"   "sf"   "1.0"   "145"   "0.0000"   "0.0000"   "0.0000"   "0.1793"   "0.0000"   "0.0000"   "0.0759"   "0.7586"   "0.2207"   "5.2621"   "5.7890"
 "2037"   "Noe Restaurant & Bar At The Omni"   "american (new)"   "la"   "3.0"   "37"   "0.0270"   "0.0000"   "0.0000"   "0.4324"   "0.0000"   "0.0000"   "0.0811"   "0.7027"   "0.0541"   "6.5946"   "6.5278"
 "2038"   "Little Caesar's Pizza"   "pizza"   "la"   "1.0"   "8"   "0.0000"   "0.0000"   "0.0000"   "0.2500"   "0.0000"   "0.1250"   "0.1250"   "1.7500"   "0.5000"   "10.8750"   "5.5487"
 "2039"   "Hahn's Hibachi"   "korean"   "sf"   "1.0"   "57"   "0.0000"   "0.0351"   "0.0702"   "0.2105"   "0.1053"   "0.3860"   "0.1404"   "1.4035"   "0.3333"   "11.0877"   "6.2626"
 "2040"   "Eastern Standard"   "american (new)"   "boston"   "3.0"   "31"   "0.0968"   "0.0000"   "0.0000"   "0.2258"   "0.0000"   "0.0000"   "0.0000"   "0.7097"   "0.0968"   "5.1290"   "6.9520"
 "2041"   "Stefano's"   "pizza"   "chicago"   "2.0"   "165"   "0.0000"   "0.0727"   "0.0303"   "0.2606"   "0.0000"   "0.0000"   "0.2545"   "1.8364"   "0.2606"   "10.9515"   "6.2574"
 "2042"   "King Falafel Restaurant"   "middle eastern"   "boston"   "1.0"   "30"   "0.0000"   "0.0000"   "0.0000"   "0.4000"   "0.0000"   "0.0000"   "0.1333"   "0.9333"   "0.0667"   "9.4333"   "6.2682"
 "2043"   "Bocca Restaurant & Bar"   "italian"   "nyc"   "3.0"   "29"   "0.0000"   "0.1034"   "0.0000"   "0.3793"   "0.0000"   "0.0000"   "0.1034"   "0.7931"   "0.1724"   "22.1379"   "6.3596"
 "2044"   "Golden Mountain"   "chinese"   "sf"   "2.0"   "37"   "0.0000"   "0.0270"   "0.0000"   "0.2162"   "0.0000"   "0.0000"   "0.0000"   "0.3784"   "0.0811"   "5.6486"   "5.4169"
 "2045"   "Columbia Catering"   "american (traditional)"   "washington"   "1.0"   "111"   "0.0000"   "0.0180"   "0.0000"   "0.9189"   "0.1982"   "0.0000"   "0.0450"   "1.5405"   "0.1712"   "13.7568"   "6.5354"
 "2046"   "Playground"   "korean"   "sf"   "2.0"   "56"   "0.0000"   "0.0714"   "0.0000"   "0.4464"   "0.0000"   "0.0179"   "0.0179"   "1.5893"   "0.9107"   "10.1607"   "6.0341"
 "2047"   "Pho Xe Lua Viet Thai Restaurant"   "thai"   "philadelphia"   "1.0"   "167"   "0.0000"   "0.0000"   "0.0000"   "0.2994"   "0.0000"   "0.0000"   "0.0299"   "0.7904"   "0.1198"   "6.4132"   "5.6269"
 "2048"   "Layaly Mediterranean Grill"   "middle eastern"   "sf"   "2.0"   "57"   "0.0351"   "0.0000"   "0.0000"   "0.3860"   "0.0000"   "0.0000"   "0.2105"   "0.8596"   "0.1053"   "11.1930"   "6.2263"
 "2049"   "Crumbs & Coffee"   "coffee & tea"   "washington"   "1.0"   "44"   "0.0227"   "0.0000"   "0.0227"   "0.2500"   "0.0227"   "0.0227"   "0.2273"   "0.8636"   "0.0455"   "10.7273"   "6.3166"
 "2050"   "Native"   "latin american"   "nyc"   "2.0"   "56"   "0.0000"   "0.0000"   "0.0000"   "0.2679"   "0.0000"   "0.0000"   "0.0714"   "0.6071"   "0.0714"   "4.7679"   "6.5297"
 "2051"   "Bongo"   "seafood"   "nyc"   "2.0"   "26"   "0.0000"   "0.0385"   "0.0000"   "0.1923"   "0.0385"   "0.0000"   "0.0000"   "0.8462"   "0.0385"   "4.8462"   "5.8844"
 "2052"   "Regalito Rosticeria"   "mexican"   "sf"   "2.0"   "30"   "0.1000"   "0.0000"   "0.0000"   "0.2333"   "0.0000"   "0.0000"   "0.1000"   "0.7333"   "0.1333"   "8.6000"   "6.2468"
 "2053"   "Deluxe"   "diners"   "nyc"   "2.0"   "23"   "0.0000"   "0.0435"   "0.0000"   "0.9565"   "0.0000"   "0.0000"   "0.1304"   "2.1304"   "0.6087"   "12.6087"   "6.2064"
 "2054"   "New Asia"   "chinese"   "sf"   "2.0"   "94"   "0.0000"   "0.0000"   "0.0000"   "0.2872"   "0.0000"   "0.0000"   "0.0000"   "0.6383"   "0.1277"   "4.6702"   "5.6663"
 "2055"   "Corona Gourmet Deli"   "other"   "washington"   "1.0"   "58"   "0.0000"   "0.0345"   "0.0345"   "0.6207"   "0.0000"   "0.0000"   "0.1897"   "1.4138"   "0.1207"   "10.5172"   "6.2845"
 "2056"   "Olives"   "italian"   "boston"   "3.0"   "23"   "0.0870"   "0.0000"   "0.0000"   "1.0435"   "0.0000"   "0.0000"   "0.0000"   "2.3478"   "0.5652"   "12.3043"   "6.9977"
 "2057"   "DaKine's Hawaiian BBQ"   "fast food"   "sf"   "1.0"   "99"   "0.0303"   "0.0404"   "0.0000"   "0.1111"   "0.1111"   "0.0808"   "0.0505"   "1.3636"   "0.2222"   "7.1818"   "6.1034"
 "2058"   "Cafeteria Boston"   "american (new)"   "boston"   "2.0"   "69"   "0.1159"   "0.0145"   "0.0000"   "0.6957"   "0.0000"   "0.0000"   "0.7826"   "1.8116"   "0.2319"   "13.6232"   "6.4598"
 "2059"   "JMP Indian Restaurant"   "indian"   "boston"   "1.0"   "95"   "0.0000"   "0.0105"   "0.0000"   "0.0421"   "0.0105"   "0.0000"   "0.0000"   "0.1263"   "0.0316"   "3.4842"   "6.2090"
 "2060"   "El Paso Taqueria"   "mexican"   "nyc"   "2.0"   "97"   "0.0000"   "0.1959"   "0.0000"   "0.6907"   "0.0000"   "0.0309"   "0.3402"   "1.6804"   "0.4021"   "15.1340"   "6.3216"
 "2061"   "Patpong"   "thai"   "sf"   "2.0"   "89"   "0.0562"   "0.0000"   "0.0000"   "0.5955"   "0.0000"   "0.0000"   "0.3258"   "2.3596"   "0.7191"   "20.2697"   "6.0943"
 "2062"   "Molly's Pub And Restaurant Shebeen"   "american (traditional)"   "nyc"   "2.0"   "45"   "0.0000"   "0.1778"   "0.0000"   "0.4444"   "0.0444"   "0.0000"   "0.1556"   "1.1333"   "0.2222"   "8.3111"   "6.1980"
 "2063"   "Aroy Thai Restaurant"   "thai"   "chicago"   "1.0"   "70"   "0.0000"   "0.1143"   "0.0000"   "0.4286"   "0.0143"   "0.0286"   "0.2714"   "1.7429"   "0.7286"   "14.8143"   "5.8964"
 "2064"   "Patsy's"   "pizza"   "nyc"   "2.0"   "58"   "0.0690"   "0.1724"   "0.0000"   "0.4138"   "0.0000"   "0.0000"   "0.2069"   "1.9138"   "0.3621"   "12.7414"   "6.7773"
 "2065"   "Panda Cave"   "chinese"   "la"   "1.0"   "218"   "0.0275"   "0.0000"   "0.0000"   "0.4083"   "0.0000"   "0.0000"   "0.0000"   "1.4954"   "0.5688"   "8.9587"   "6.2247"
 "2066"   "Panda Express"   "chinese"   "sf"   "1.0"   "12"   "0.0000"   "0.0000"   "0.0000"   "0.0000"   "0.0000"   "0.0000"   "1.1667"   "0.6667"   "0.0000"   "9.0000"   "5.2088"
 "2067"   "Uno Chicago Grill"   "pizza"   "boston"   "2.0"   "112"   "0.0625"   "0.0179"   "0.0179"   "0.8125"   "0.0000"   "0.0089"   "0.7054"   "2.7232"   "0.4286"   "20.9018"   "6.2115"
 "2068"   "China King"   "chinese"   "nyc"   "1.0"   "380"   "0.0000"   "0.0053"   "0.0000"   "0.0763"   "0.0000"   "0.0000"   "0.3474"   "0.5974"   "0.1368"   "7.2553"   "5.0347"
 "2069"   "O'Neals"   "bars"   "philadelphia"   "1.0"   "55"   "0.0000"   "0.0364"   "0.0000"   "0.5273"   "0.0545"   "0.0182"   "1.2727"   "1.8364"   "0.3636"   "17.6909"   "5.8741"
 "2070"   "Diwan-E-Khass"   "other"   "nyc"   "1.0"   "15"   "0.0000"   "0.0000"   "0.0000"   "0.4000"   "0.0000"   "0.0000"   "0.0000"   "1.0000"   "0.0667"   "7.5333"   "6.2607"
 "2071"   "El Zarape"   "mexican"   "philadelphia"   "1.0"   "52"   "0.0000"   "0.0000"   "0.0000"   "0.3269"   "0.0000"   "0.0000"   "0.0385"   "0.6346"   "0.1154"   "5.4231"   "6.6420"
 "2072"   "Plaza III"   "american (new)"   "boston"   "2.0"   "83"   "0.0241"   "0.0120"   "0.0000"   "0.6145"   "0.0964"   "0.0000"   "0.0602"   "1.4458"   "0.2771"   "8.7470"   "6.1498"
 "2073"   "Shine Morida"   "sushi bars"   "chicago"   "2.0"   "121"   "0.0000"   "0.0000"   "0.0000"   "0.1074"   "0.0000"   "0.0248"   "0.0744"   "0.8017"   "0.3719"   "7.3719"   "6.1140"
 "2074"   "Chadwick's"   "american (traditional)"   "washington"   "2.0"   "49"   "0.0000"   "0.0408"   "0.0000"   "0.7347"   "0.0204"   "0.0000"   "0.0612"   "2.1224"   "0.6735"   "14.3061"   "6.1430"
 "2075"   "La Lupe"   "mexican"   "philadelphia"   "1.0"   "159"   "0.0000"   "0.0126"   "0.0000"   "0.1384"   "0.0000"   "0.0000"   "0.1321"   "0.3774"   "0.0566"   "3.8868"   "6.0894"
 "2076"   "Citizen Thai"   "thai"   "sf"   "2.0"   "81"   "0.0000"   "0.0000"   "0.0000"   "0.3827"   "0.0000"   "0.0000"   "0.1728"   "1.4074"   "0.5802"   "9.0617"   "5.9044"
 "2077"   "Taqueria Atotonilco"   "mexican"   "chicago"   "1.0"   "29"   "0.0000"   "0.0000"   "0.0000"   "0.0000"   "0.0000"   "0.0000"   "0.0000"   "0.0000"   "0.0000"   "1.1034"   "6.6034"
 "2078"   "Ayola"   "coffee & tea"   "sf"   "1.0"   "28"   "0.0000"   "0.0000"   "0.0000"   "0.2857"   "0.0000"   "0.0000"   "0.0000"   "0.8214"   "0.0000"   "7.7857"   "6.3752"
 "2079"   "Lavagna Trattoria Italiana"   "italian"   "nyc"   "3.0"   "20"   "0.0500"   "0.0500"   "0.0000"   "0.6000"   "0.0000"   "0.0000"   "0.0000"   "1.4000"   "0.3500"   "10.6000"   "6.5794"
 "2080"   "Cafe Zoet"   "coffee & tea"   "sf"   "1.0"   "41"   "0.0000"   "0.0488"   "0.0000"   "0.4878"   "0.0000"   "0.0000"   "0.1463"   "1.2195"   "0.1220"   "9.0488"   "6.1477"
 "2081"   "Minar Palace Indian Restaurant"   "indian"   "philadelphia"   "1.0"   "103"   "0.0000"   "0.0388"   "0.0000"   "0.5340"   "0.0000"   "0.0485"   "0.0874"   "1.6311"   "0.5437"   "13.4660"   "6.1502"
 "2082"   "El Pote Espanol"   "spanish"   "nyc"   "3.0"   "51"   "0.0000"   "0.0000"   "0.0000"   "0.0392"   "0.0000"   "0.0000"   "0.0196"   "0.3922"   "0.1176"   "6.6667"   "6.2995"
 "2083"   "Fuji"   "sushi bars"   "sf"   "2.0"   "77"   "0.0000"   "0.0000"   "0.0000"   "0.1818"   "0.0000"   "0.0000"   "0.0130"   "0.5455"   "0.0779"   "5.5584"   "5.9347"
 "2084"   "Brgr"   "fast food"   "nyc"   "2.0"   "35"   "0.1429"   "0.0000"   "0.0571"   "0.1143"   "0.0571"   "0.0000"   "0.1429"   "0.8571"   "0.1714"   "6.5429"   "6.0877"
 "2085"   "Izzy's Steakhouse & Chops"   "steakhouses"   "sf"   "3.0"   "44"   "0.0000"   "0.0000"   "0.0000"   "0.1136"   "0.0000"   "0.0000"   "0.0455"   "0.4091"   "0.0455"   "4.4318"   "6.2324"
 "2086"   "Taam Tov Restaurant"   "middle eastern"   "nyc"   "2.0"   "47"   "0.0000"   "0.0000"   "0.0000"   "0.1064"   "0.0000"   "0.0000"   "0.0000"   "0.1277"   "0.0000"   "3.0213"   "5.6962"
 "2087"   "Jasmine Rice"   "thai"   "chicago"   "1.0"   "109"   "0.0000"   "0.0367"   "0.0000"   "0.2844"   "0.0000"   "0.0000"   "0.1743"   "1.8532"   "0.6330"   "15.2569"   "6.0126"
 "2088"   "Zaytinya"   "middle eastern"   "washington"   "3.0"   "79"   "0.0759"   "0.0759"   "0.0000"   "0.5316"   "0.0000"   "0.0000"   "0.0253"   "1.2911"   "0.1772"   "9.5823"   "6.9837"
 "2089"   "Metro Diner"   "diners"   "nyc"   "2.0"   "176"   "0.0170"   "0.0000"   "0.0227"   "0.3807"   "0.0227"   "0.0114"   "0.0966"   "1.4830"   "0.3352"   "10.5568"   "6.3502"
 "2090"   "Papillon Bistro & Bar"   "french"   "nyc"   "3.0"   "38"   "0.0526"   "0.0263"   "0.0000"   "0.3947"   "0.0263"   "0.0000"   "0.1053"   "0.8947"   "0.0789"   "7.0789"   "6.5652"
 "2091"   "Lupa Restaurant"   "italian"   "nyc"   "3.0"   "29"   "0.0690"   "0.0000"   "0.0000"   "0.0690"   "0.0000"   "0.0000"   "0.0000"   "0.1379"   "0.0345"   "4.0345"   "6.7717"
 "2092"   "Hungry I"   "french"   "boston"   "3.0"   "15"   "0.0000"   "0.0000"   "0.0000"   "0.3333"   "0.0000"   "0.0000"   "0.0000"   "0.7333"   "0.2667"   "9.4000"   "6.5387"
 "2093"   "Ray's Cafe & Tea House"   "chinese"   "philadelphia"   "2.0"   "178"   "0.0000"   "0.0225"   "0.0000"   "0.0730"   "0.0000"   "0.0112"   "0.0169"   "0.8764"   "0.1180"   "4.5000"   "6.1305"
 "2094"   "New China"   "chinese"   "washington"   "2.0"   "431"   "0.0000"   "0.0093"   "0.0000"   "0.1462"   "0.0023"   "0.0093"   "0.0000"   "0.5499"   "0.1183"   "4.6821"   "5.4843"
 "2095"   "North Third Restaurant"   "american (new)"   "philadelphia"   "2.0"   "29"   "0.0000"   "0.0345"   "0.0000"   "0.4483"   "0.0690"   "0.0000"   "0.2414"   "1.5172"   "0.4483"   "8.5517"   "6.5003"
 "2096"   "Domino's Pizza"   "pizza"   "boston"   "2.0"   "89"   "0.0787"   "0.0000"   "0.0674"   "0.7753"   "0.0449"   "0.0899"   "0.1685"   "3.1461"   "0.7640"   "18.4045"   "6.4124"
 "2097"   "Shabu House"   "sushi bars"   "sf"   "2.0"   "17"   "0.0000"   "0.0000"   "0.0000"   "0.0588"   "0.0000"   "0.0000"   "0.0000"   "0.1765"   "0.0588"   "2.1176"   "6.1843"
 "2098"   "Olive's"   "sandwiches"   "nyc"   "2.0"   "22"   "0.0455"   "0.0000"   "0.0000"   "0.4091"   "0.0000"   "0.0000"   "0.0455"   "1.0909"   "0.1818"   "8.9545"   "6.2142"
 "2099"   "La Terrasa"   "latin american"   "boston"   "2.0"   "54"   "0.0000"   "0.0000"   "0.0000"   "0.2407"   "0.0000"   "0.0000"   "0.0926"   "0.9630"   "0.2778"   "14.2037"   "6.0396"
 "2100"   "Shiao Lan Kung Restaurant"   "chinese"   "philadelphia"   "2.0"   "231"   "0.0000"   "0.0043"   "0.0000"   "0.2771"   "0.0087"   "0.0043"   "0.0346"   "0.9307"   "0.2814"   "5.3117"   "5.7971"
 "2101"   "Mai Thai of Georgetown"   "thai"   "washington"   "2.0"   "336"   "0.0000"   "0.0000"   "0.0030"   "0.5298"   "0.0030"   "0.0060"   "0.0060"   "1.9137"   "0.7976"   "14.3780"   "6.0145"
 "2102"   "Boqueria"   "spanish"   "nyc"   "3.0"   "43"   "0.1163"   "0.0465"   "0.0000"   "0.3721"   "0.0233"   "0.0000"   "0.0000"   "1.2093"   "0.4884"   "10.4419"   "6.2752"
 "2103"   "Ruby Tuesdays"   "american (traditional)"   "philadelphia"   "2.0"   "58"   "0.0000"   "0.0000"   "0.1034"   "1.0517"   "0.0172"   "0.0517"   "0.2931"   "3.2586"   "1.2241"   "19.8621"   "6.3715"
 "2104"   "Smile Cafe"   "thai"   "philadelphia"   "2.0"   "65"   "0.0000"   "0.0308"   "0.0000"   "0.4923"   "0.0308"   "0.0000"   "0.4769"   "1.6154"   "0.3538"   "12.9846"   "5.9990"
 "2105"   "La Galleria 33"   "italian"   "boston"   "2.0"   "38"   "0.0263"   "0.1316"   "0.0000"   "0.3684"   "0.0000"   "0.0000"   "0.0789"   "1.1842"   "0.5789"   "11.5000"   "6.6298"
 "2106"   "Crispo"   "italian"   "nyc"   "3.0"   "43"   "0.0000"   "0.0000"   "0.0000"   "0.1628"   "0.0000"   "0.0000"   "0.0000"   "0.3488"   "0.1163"   "4.6047"   "7.9264"
 "2107"   "'sNice"   "coffee & tea"   "nyc"   "1.0"   "33"   "0.0000"   "0.0000"   "0.0000"   "0.4545"   "0.0000"   "0.0000"   "0.0909"   "0.9091"   "0.1515"   "8.1212"   "6.1036"
 "2108"   "Cendrillon"   "otherasian"   "nyc"   "2.0"   "23"   "0.0000"   "0.1304"   "0.0000"   "0.3478"   "0.0000"   "0.0000"   "0.0870"   "1.1304"   "0.3043"   "11.1739"   "6.5727"
 "2109"   "Bobby Van's Steakhouse"   "steakhouses"   "nyc"   "4.0"   "62"   "0.0000"   "0.0484"   "0.0161"   "0.2742"   "0.0000"   "0.0000"   "0.0000"   "0.9032"   "0.2903"   "5.7903"   "6.8955"
 "2110"   "Malecon Restaurant"   "latin american"   "nyc"   "1.0"   "195"   "0.0000"   "0.0000"   "0.0000"   "0.2769"   "0.0000"   "0.0000"   "0.0564"   "0.6667"   "0.0410"   "4.5795"   "5.8371"
 "2111"   "Cafe Bastille"   "french"   "sf"   "2.0"   "29"   "0.0345"   "0.0000"   "0.0000"   "0.2759"   "0.0000"   "0.0000"   "0.0000"   "1.2414"   "0.2759"   "10.8966"   "6.3347"
 "2112"   "Little Chihuahua Mexican"   "mexican"   "sf"   "1.0"   "36"   "0.1111"   "0.0000"   "0.0000"   "0.2778"   "0.0000"   "0.0000"   "0.3056"   "0.9167"   "0.2222"   "6.3056"   "6.4643"
 "2113"   "Osteria"   "italian"   "philadelphia"   "3.0"   "29"   "0.0690"   "0.0000"   "0.0000"   "0.3793"   "0.0000"   "0.0000"   "0.0000"   "0.5517"   "0.0345"   "8.0000"   "6.8625"
 "2114"   "Ginger Park"   "asian fusion"   "boston"   "3.0"   "38"   "0.0526"   "0.0000"   "0.0000"   "0.2632"   "0.0000"   "0.0000"   "0.0000"   "0.7105"   "0.0263"   "5.9737"   "6.5512"
 "2115"   "Zorzi"   "italian"   "nyc"   "3.0"   "6"   "0.0000"   "0.0000"   "0.0000"   "0.1667"   "0.0000"   "0.0000"   "0.0000"   "0.8333"   "0.1667"   "15.1667"   "6.2615"
 "2116"   "Mobay"   "latin american"   "nyc"   "2.0"   "75"   "0.0000"   "0.0400"   "0.0000"   "0.4000"   "0.0133"   "0.0000"   "0.0133"   "1.1200"   "0.3200"   "8.5733"   "6.3359"
 "2117"   "New Ming's Restaurant"   "chinese"   "sf"   "1.0"   "176"   "0.0000"   "0.0000"   "0.0000"   "0.0909"   "0.0000"   "0.0000"   "0.1136"   "0.4830"   "0.1705"   "4.1080"   "5.7073"
 "2118"   "Isohama"   "sushi bars"   "nyc"   "2.0"   "155"   "0.0000"   "0.0065"   "0.0065"   "0.2903"   "0.0065"   "0.0065"   "0.1613"   "0.9161"   "0.3355"   "8.1548"   "6.0516"
 "2119"   "Kotobuki"   "sushi bars"   "washington"   "2.0"   "89"   "0.0000"   "0.0000"   "0.0000"   "0.0000"   "0.0000"   "0.0000"   "0.0000"   "0.2584"   "0.1348"   "3.2472"   "6.2202"
 "2120"   "Hot Doug's"   "fast food"   "chicago"   "1.0"   "15"   "0.0000"   "0.0000"   "0.0000"   "0.0667"   "0.0000"   "0.1333"   "0.0667"   "1.6000"   "0.4667"   "13.3333"   "5.7890"
 "2121"   "Accademia Di Vino"   "italian"   "nyc"   "3.0"   "104"   "0.0577"   "0.0000"   "0.0000"   "0.1731"   "0.0000"   "0.0000"   "0.0096"   "0.4615"   "0.0000"   "5.3173"   "6.6355"
 "2122"   "Salty Dog Seafood Grille & Bar"   "seafood"   "boston"   "2.0"   "130"   "0.0231"   "0.0000"   "0.0077"   "0.5154"   "0.0231"   "0.0000"   "0.2385"   "1.4923"   "0.5231"   "8.5846"   "6.1166"
 "2123"   "Big Mouth Burgers & Beers"   "fast food"   "sf"   "1.0"   "15"   "0.0667"   "0.0000"   "0.0667"   "1.0667"   "0.0000"   "0.0000"   "0.2000"   "3.0000"   "0.3333"   "15.8667"   "5.9181"
 "2124"   "Hana Sushi"   "sushi bars"   "nyc"   "2.0"   "150"   "0.0000"   "0.0000"   "0.0000"   "0.1133"   "0.0000"   "0.0000"   "0.0933"   "0.4400"   "0.1267"   "5.3667"   "6.0035"
 "2125"   "Ming's Delight"   "chinese"   "nyc"   "1.0"   "171"   "0.0000"   "0.0117"   "0.0000"   "0.0702"   "0.0058"   "0.0058"   "0.0468"   "0.5380"   "0.1053"   "4.4971"   "5.4045"
 "2126"   "What's Up Dog!"   "fast food"   "sf"   "1.0"   "31"   "0.0000"   "0.0000"   "0.0000"   "0.2258"   "0.0000"   "0.0000"   "0.0323"   "0.9355"   "0.2258"   "5.4194"   "6.0814"
 "2127"   "Asia Wok"   "chinese"   "boston"   "1.0"   "270"   "0.0000"   "0.0074"   "0.0000"   "0.2074"   "0.0000"   "0.0000"   "0.0000"   "1.0593"   "0.3667"   "6.6963"   "5.7110"
 "2128"   "Cima"   "american (new)"   "nyc"   "1.0"   "92"   "0.0326"   "0.0217"   "0.0000"   "0.4457"   "0.0109"   "0.0000"   "0.0435"   "1.3696"   "0.3370"   "7.9239"   "6.2786"
 "2129"   "Pizzelle Di North Beach"   "pizza"   "sf"   "1.0"   "106"   "0.0000"   "0.0377"   "0.0094"   "0.2547"   "0.0000"   "0.0000"   "0.0189"   "1.9151"   "0.3396"   "10.3302"   "6.5408"
 "2130"   "Esca"   "italian"   "nyc"   "4.0"   "31"   "0.1935"   "0.0000"   "0.0000"   "0.5484"   "0.0323"   "0.0000"   "0.0000"   "1.5806"   "0.2258"   "10.5161"   "6.5274"
 "2131"   "Julien Brasserie"   "french"   "nyc"   "3.0"   "50"   "0.0800"   "0.0600"   "0.0400"   "0.5200"   "0.0000"   "0.0200"   "0.0600"   "1.3200"   "0.1600"   "10.6800"   "6.7027"
 "2132"   "Brainwash"   "coffee & tea"   "sf"   "1.0"   "55"   "0.1273"   "0.2364"   "0.0364"   "0.8545"   "0.0000"   "0.0000"   "0.7455"   "2.2000"   "0.3636"   "17.7818"   "6.0660"
