core,name,power,rating,url,series,brand,corename,rank,productname,l3cache,l2cache,freq,price,socket
2,Core 2 Duo E4300,65W,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIAAEE4ZW7891,Core 2 Duo,Intel,Allendale,215,Intel Core 2 Duo E4300 Allendale Dual-Core 1.8 GHz LGA 775 65W BX80557E4300 Processor,,2M shared,1.8 GHz,195,LGA 775
2,Core i5-661,87W,Rating + 4,http://www.newegg.com/Product/Product.aspx?Item=9SIAAEE4M23190,Core i5,Intel,Clarkdale,214,Intel Core i5-661 Clarkdale Dual-Core 3.33 GHz LGA 1156 87W BX80616I5661 Desktop Processor Intel HD Graphics,4MB,,3.33 GHz,255,LGA 1156
2,Core i5-670,73W,Rating + 4,http://www.newegg.com/Product/Product.aspx?Item=9SIAAEE4M22713,Core i5,Intel,Clarkdale,213,Intel Core i5-670 Clarkdale Dual-Core 3.46 GHz LGA 1156 73W BX80616I5670 Desktop Processor Intel HD Graphics,4MB,,3.46 GHz,255,LGA 1156
None,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA5GC4YK5539,,,,212,Intel Core i5-6400T SR2L1 2.2GHz Desktop CPU LGA1151/Socket Processor,,,,199.99,None
None,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA4MR3WA9276,,,,211,Hp 762760-L21,,,,"2,775.50",None
2,Pentium E6300,65W,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIAAEE4M09813,Pentium,Intel,Wolfdale,210,Intel Pentium E6300 Wolfdale Dual-Core 2.8 GHz LGA 775 65W BX80571E6300 Processor,,2MB,2.8 GHz,129,LGA 775
2,Core i3-3210,55W,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIAAEE4M23277,Core i3,Intel,Ivy Bridge,209,Intel Core i3-3210 Ivy Bridge Dual-Core 3.2 GHz LGA 1155 55W BX80637I33210 Desktop Processor Intel HD Graphics,3MB,,3.2 GHz,165,LGA 1155
None,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA75M46J1815,,,,208,HP Xeon E7-4850 2 GHz Processor Upgrade - Socket LGA-1567,,,,"1,649.95",None
2,Pentium E6700,65W,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIAAEE4M09815,Pentium,Intel,Wolfdale,206,Intel Pentium E6700 Wolfdale Dual-Core 3.2 GHz LGA 775 65W BX80571E6700 Desktop Processor,,2MB,3.2 GHz,145,LGA 775
2,Pentium E2140,65W,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIAAEE4M09827,Dual-Core,Intel,Allendale,205,Intel Pentium E2140 Allendale Dual-Core 1.6 GHz LGA 775 65W BX80557E2140 Processor,,1MB,1.6 GHz,150,LGA 775
