rating,chipmake,brand,memorysize,rank,boostclock,coreclock,url,memorytype,memoryclock,memoryinterface,gpu,model,productname,price
Rating + 1,AMD,MSI,4GB,469,,980 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA85V4R42433,GDDR5,5500 MHz,256-Bit,Radeon R9 380,R9 380 4GD5T OC,MSI Radeon R9 380 DirectX 12 R9 380 4GD5T OC 4GB 256-Bit GDDR5 HDCP Ready CrossFireX Support ATX Video Card,399.89
Rating + 1,NVIDIA,Inno3D,4GB,468,,700 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA5751XZ0751,DDR3,1000 MHz,128-Bit,GeForce GT 730,JSHVH07,NVIDIA Geforce GT630 PCI Express x16 PCI-E 2.1 Video Graphics Card HMDI Low profile 4GB,126.39
Rating + 1,,,2GB,467,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA30R4KR5802,,,64-Bit,,,MSI NVIDIA GeForce GT 730 2GB GDDR5 VGA/DVI/HDMI Low Profile pci-e Video,113.09
Rating + 1,,Laintek,2GB,466,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA4UB1JC5626,GDDR5,,128-Bit,,2139090947,Inno3D NVIDIA GeForce GTX 960 OC 2GB DDR5 PCIE 3.0 Video graphics Card 4K HDMI shipping from US,299.08
Rating + 1,NVIDIA,Unbranded/Generic,1GB,465,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA8TC3YP0810,,,,,For GTX 210TI Graphic,Vamery GT210 DDR2 64Bit PCI Express 2.0 x 16 DVI HDMI VGA Graphics Video Card,37.69
Rating + 1,NVIDIA,EVGA,6GB,464,1228 MHz,1140 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA1K64YS6544,GDDR5,7010 MHz,384-Bit,GeForce GTX 980 Ti Hybrid,06G-P4-1996-KR,"EVGA GeForce GTX 980 Ti 06G-P4-1996-KR 6GB HYBRID GAMING, ""All in One"" No Hassle Water Cooling, Just Plug and Play Video Graphics Card",803.99
Rating + 4,ATI,VisionTek,1GB,462,,,http://www.newegg.com/Product/Product.aspx?Item=N82E16814129189,DDR3,,,Radeon HD 5450,900358,"Visiontek Radeon 5450 1GB DDR3 (DVI-I, HDMI, VGA)",44.99
Rating + 4,NVIDIA,,2GB,461,1241 MHz,1178 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA70F4TX4838,GDDR5,,128-Bit,,,"Inno3D NVIDIA Geforce GTX 960 OC Video Graphics Card SLI,HDMI 2.0,4K,4 monitors 2GB 128-Bit GDDR5",290.76
Rating + 4,NVIDIA,PNY,4GB,460,1329 MHz,1228 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA8H53HD0249,GDDR4,7.2 Gbps,256-Bit,GeForce GTX 980,VCGGTX9804XPB-XP-OC,PNY GeForce GTX 980 4GB XLR8 OC EDITION,609.30
Rating + 4,AMD,AMD,1GB,459,,730 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA78Y4A46718,DDR3,,128-Bit,,HD 8570,Dell AMD Radeon HD8570 1GB PCIe DVI/DisplayPort Video Graphics Card - 8HW0R,64.99
Rating + 4,NVIDIA,,2GB,458,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA4UB3T94276,GDDR5,7Gbps,128-Bit,,,Inno3D NVIDIA GeForce GTX 960 OC 2GB DDR5 PCIE 3.0 Video graphics Card 4K HDMI shipping from US,308.98
Rating + 4,,,,457,,,http://www.newegg.com/Product/Product.aspx?Item=9SIAA4T50A2134,,,,,,Nvidia GeForce 7950 GTX 512MB Video Card w/ Heatsink Dell XJFPC,55.00
Rating + 4,NVIDIA,EVGA,2GB,456,1317 MHz,1127 MHz,http://www.newegg.com/Product/Product.aspx?Item=N82E16814487235,GDDR5,6610 MHz,128-Bit,GeForce GTX 950,02G-P4-1958-KR,EVGA GeForce GTX 950 DirectX 12 02G-P4-1958-KR 2GB 128-Bit GDDR5 PCI Express 3.0 x16 SLI Support SC GAMING Video Card,154.99
Rating + 4,NVIDIA,ZOTAC,4GB,455,1355 MHz,1203 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA0AJ2978245,DDR5,7200 MHz,256-Bit,GeForce GTX 970,ZT-90103-10P,ZOTAC AMP! GeForce GTX 970 ZT-90103-10P 4GB 256-Bit DDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card (AMP! Extreme Edition),649.89
Rating + 4,NVIDIA,PNY,,454,1178 MHz,1050 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA70F4TX4745,GDDR5,7.0 Gbps,256-Bit,GeForce GTX 970,,PNY NVIDIA GeForce GTX 970 4GB GDDR5 DirectX 12 OpenGL 4.4 DVI/HDMI/2Mini DisplayPort PCI-Express Video Graphics Card,455.76
Rating + 4,,inno3d,2GB,453,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA30R3Y54971,,,128-Bit,GeForce GT 630,,NVIDIA Geforce GT 730 2GB PCI Express X16 Video Graphics Card HMDI Low Profile,114.48
Rating + 4,ATI,VisionTek,64MB,452,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA4M53SN6526,DDR,,,Radeon 7000,VTKRAD7K64P,VisionTek VTKRAD7K64P Radeon 7000 64MB DDR PCI Video Card,44.87
Rating + 4,NVIDIA,JATON,512MB,451,,,http://www.newegg.com/Product/Product.aspx?Item=N82E16814139034,DDR2,,64-Bit,GeForce 6200,VIDEO-348PCI-LP,JATON GeForce 6200 DirectX 9 VIDEO-348PCI-LP 512MB 64-Bit DDR2 PCI Low Profile Ready Video Card,76.99
Rating + 4,NVIDIA,MSI,3GB,450,1759 MHz,1544 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA73M4TS8700,GDDR5,8008 MHz,192-Bit,GeForce GTX 1060,GTX 1060 ARMOR 3G OCV1,MSI GeForce GTX 1060  3GB DirectX 12 GTX 1060 ARMOR 3G OCV1 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Graphics Cards,356.77
Rating + 4,AMD,XFX,2GB,449,,625 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA1N82KJ1184,DDR3,1066 MHz,64-Bit,Radeon R5 230,R5-230A-CLH2,XFX Radeon R5 230 DirectX 11.2 R5-230A-CLH2 2GB 64-Bit DDR3 PCI Express 3.0 Plug-in Card Video Card,45.67
Rating + 4,NVIDIA,MSI,4GB,448,1241 MHz,1178 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA73M4UH3200,GDDR5,7010 MHz,128-Bit,GeForce GTX 960,GTX 960 4GD5T OC,MSI GeForce GTX 960 4GB DirectX 12 GTX 960 4GD5T OC 128-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support ATX Video Graphics Card,599.77
Rating + 4,NVIDIA,ZOTAC,4GB,447,1216 MHz,1076 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA5754RY7079,GDDR5,7010 MHz,128-Bit,GeForce GTX 970,ZT-90101-10P,ZOTAC GeForce GTX 970 4GB ZT-90101-10P GDDR5 PCI Express 3.0 HDMI Video Graphics Card,345.77
Rating + 4,NVIDIA,MSI,4GB,446,1279 MHz (OC Mode). 1253 MHz (Gaming Mode). 1178 MHz (Silent Mode).,1140 MHz (OC Mode). 1114 MHz (Gaming Mode). 1051 MHz (Silent Mode).,http://www.newegg.com/Product/Product.aspx?Item=9SIA73M4U70715,GDDR5,7010 MHz,256-Bit,GeForce GTX 970,GTX 970 GAMING 4G,MSI GeForce GTX 970 GAMING 4G 4GB Video Graphics Card,499.77
Rating + 4,,SAPPHIRE,,445,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA24G4NE4239,,,,,11256-01-20G,Sapphire Radeon NITRO+ RX 470 4GB GDDR5 DUAL HDMI / DVI-D / DUAL DP OC 11256-01-20G,223.29
Rating + 4,,inno3d,4GB,444,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA30R3Y40447,,,128-Bit,GeForce GT 630,GT 730,NVIDIA Geforce 4GB PCI Express x16 PCIE 2.1Video Graphics Card HMDI Low profile,135.82
Rating + 4,NVIDIA,EVGA,8GB,443,1683 MHz,1506 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA73M4T19873,GDDR5,8000 MHz,256-Bit,GeForce GTX 1070 FE,08G-P4-6170-KR,"EVGA GeForce GTX 1070 Founders Edition 8GB, 08G-P4-6170-KR, GDDR5, LED, DX12 OSD Support (PXOC) Video Graphics Card",631.77
Rating + 4,,Vamery GTX650Ti,2GB,442,Memory: 650 MHz;,650 MHz;,http://www.newegg.com/Product/Product.aspx?Item=9SIA8TC3YP0862,GDDR3,,,GK106,For GTX 650TI Graphic,Vamery GTX650Ti Durable CPU 2GB 384Bit GDDR3 PCI-E Graphics Video Card,169.83
Rating + 4,NVIDIA,EVGA,1GB,441,,520 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA1N83U89799,DDR3,1200 MHz,64-Bit,GeForce 210,01G-P3-1312-LR,EVGA 200 GeForce 210 DirectX 10.1 01G-P3-1312-LR 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card,33.75
Rating + 4,AMD,VisionTek,2GB,440,,1050 MHz,http://www.newegg.com/Product/Product.aspx?Item=N82E16814129312,GDDR5,1625MHz x4 (7Gb/s),128-Bit,Radeon R7 360,900806,"Visiontek Radeon R7 360 2GB GDDR5 3M (DVI-I, HDMI, DisplayPort)",129.99
Rating + 4,AMD,PowerColor,4GB,439,1210 MHz,,http://www.newegg.com/Product/Product.aspx?Item=N82E16814131705,GDDR5,1650 MHz (6.6 Gbps),256-Bit,Radeon RX 470,AXRX 470 4GBD5-3DHDV2/OC,PowerColor Radeon RX 470 DirectX 12 AXRX 470 4GBD5-3DHDV2/OC 4GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Video Card,179.99
Rating + 4,NVIDIA,EVGA,2GB,438,,1059MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA1N83U90706,DDR3,1334MHz,128-Bit,GeForce GT 740 Superclocked,02G-P4-2742-KR,EVGA GeForce GT 740 Superclocked DirectX 12 (feature level 11_0) 02G-P4-2742-KR 2GB 128-Bit DDR3 PCI Express 3.0 Video Card,91.86
Rating + 4,,SAPPHIRE,8GB,437,,1080 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA5753N85542,GDDR5,6000 MHz,512-Bit,Radeon R9 390X,11241-02-20G,Sapphire Tri-X AMD Radeon R9 390X OC 8GB GDDR5 DVI/HDMI/3DisplayPort PCI-Express Video Graphics Card,657.77
Rating + 4,,SAPPHIRE,,436,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA70F4TW7657,GDDR5,6000 MHz,512-Bit,Radeon R9 390X,,"Sapphire Tri-X AMD Radeon R9 390X OC 8GB 512-Bit GDDR5 DirectX 12 OpenGL 4.5

 DVI/HDMI/3DisplayPort PCI-Express Video Graphics Card",657.76
Rating + 4,AMD,SAPPHIRE,,435,,1010 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA70F4TX4828,GDDR5,,,Radeon R9 380,,Sapphire AMD Radeon Nitro R9 380 4GB GDDR5 DirectX 12 OpenGL 4.5 2DVI/HDMI/DisplayPort PCI-Express Video Graphics Card,298.76
Rating + 4,AMD,ASUS,4GB,434,,1220 MHz (OC Mode),http://www.newegg.com/Product/Product.aspx?Item=9SIA24G4R63810,GDDR5,7000 MHz,128-Bit,Radeon RX 460,STRIX-RX460-4G-GAMING,ASUS ROG STRIX Radeon RX 460 4GB DP 1.4 HDMI 2.0 AMD Gaming Graphics Card (STRIX-RX460-4G-GAMING),148.73
Rating + 4,NVIDIA,EVGA,8GB,433,1784 MHz,1594 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA73M4SG0079,GDDR5,8008 MHz,256-Bit,GeForce GTX 1070,08G-P4-6173-KR,"EVGA GeForce GTX 1070 SC GAMING ACX 3.0, 08G-P4-6173-KR, 8GB GDDR5, LED, DX12 OSD Support (PXOC) Video Graphics Card",587.77
Rating + 4,NVIDIA,EVGA,512MB,432,,520 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA1N83U88397,DDR3,600 MHz,32-Bit,GeForce 8400 GS,512-P3-1300-LR,EVGA 8 GeForce 8400 GS DirectX 10 512-P3-1300-LR 512MB 32-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card,30.92
