reviewScorePro,gameName,reviewScoreUser
52,Transformers: The Game,5.5
52,Hail to the Chimp,6.1
52,Kinect Joy Ride,5.0
52,Xotic,
52,South Park: Tenorman's Revenge,7.5
70,Virtua Fighter 2,7.2
70,Apache: Air Assault,6.4
70,Scene It? Movie Night,
70,UEFA Euro 2012,2.8
70,X-Men: The Arcade Game,6.7
69,World Gone Sour,7.4
69,Alien Breed: Evolution,8.0
69,World Series of Poker: Tournament of Champions,7.3
69,Section 8,7.3
69,Fusion: Genesis,8.0
69,Sega Vintage Collection: ToeJam & Earl,8.2
69,Enchanted Arms,6.9
76,The Bridge,7.4
64,Zombie Driver HD,4.7
68,Silent Hill: Downpour,7.3
78,Call of Duty: Black Ops - First Strike,6.4
72,"Wallace & Gromit's Grand Adventures, Episode 4: The Bogey Man",
72,Mercenaries 2: World in Flames,7.2
72,Amped 3,7.1
72,After Burner Climax,5.0
72,Mortal Kombat vs. DC Universe,7.5
72,Gel: Set & Match,
72,Blazing Angels 2: Secret Missions of WWII,7.8
72,Star Ocean: The Last Hope,7.2
72,Need for Speed ProStreet,7.1
72,Pid,8.3
72,Dragon Ball Z: Burst Limit,7.6
74,Binary Domain,8.0
74,Batman: Arkham Origins,7.5
74,Magrunner: Dark Pulse,7.2
74,Mercury Hg,8.0
74,Def Jam Rapstar,5.4
74,Galaga Legions DX,
74,Borderlands: The Pre-Sequel,6.3
74,Disney Infinity,6.5
74,CAPSIZED,6.9
74,Hasbro Family Game Night: Connect Four,
74,Left 4 Dead 2: The Passing,8.1
65,Feeding Frenzy,7.1
65,Armored Core: Verdict Day,7.5
65,Afro Samurai,6.2
65,Dance Dance Revolution Universe 3,7.7
65,Elements of Destruction,
65,Disney's Meet the Robinsons,
65,Ms. Pac-Man,7.0
65,Capcom Digital Collection,5.3
65,007: Quantum of Solace,7.1
65,Mass Effect 2: Arrival,6.0
65,Texas Cheat 'Em,
60,Risen,6.4
60,Jurassic: The Hunted,7.2
60,Legend of the Guardians: The Owls of Ga'Hoole,8.0
60,Risen 2: Dark Waters,6.0
60,JAM Live Music Arcade,
60,Crash: Mind Over Mutant,6.4
60,Shaun White Snowboarding,7.6
60,Captain America: Super Soldier,6.3
60,Defiance,7.2
60,Tomb Raider Underworld: Beneath the Ashes,7.5
60,Buku Sudoku,
52,Blades of Time,6.5
52,Crystal Defenders,6.3
52,Spare Parts,
52,Resident Evil: Operation Raccoon City,4.9
52,Tetris Evolution,
52,Defenders of Ardania,7.7
52,Game of Thrones,5.2
52,Dark Messiah of Might and Magic: Elements,7.0
52,Red Faction: Battlegrounds,7.0
52,X-Men: The Official Game,6.1
69,Earth Defense Force 2017,7.5
69,Trouble Witches Neo!,7.0
69,NCAA March Madness 08,
69,Wet,7.3
69,NHL 2K9,6.7
69,NASCAR 09,7.8
69,Magna Carta 2,7.0
69,Blitz: The League,6.5
69,Operation Flashpoint: Red River,6.1
69,Golf: Tee It Up!,8.4
69,MotoGP 09/10,5.7
76,Forza Horizon: Rally Expansion Pack,6.0
76,Quantum Conundrum,6.5
76,R-Type Dimensions,7.3
76,Half-Minute Hero: Super Mega Neo Climax,8.0
76,Shadows of the Damned,8.4
76,Street Fighter II' Hyper Fighting,6.7
76,Band Hero,5.0
76,Dead or Alive 5,7.8
76,Major League Baseball 2K10,7.6
76,The Bigs 2,6.2
76,SoulCalibur II HD Online,7.2
64,Storm,2.9
64,nail'd,7.1
63,The Adventures of Tintin: The Game,6.1
63,Bass Pro Shops: The Strike,5.8
63,FIFA Street 3,6.9
63,Alpha Protocol,7.2
63,DarkStar One: Broken Alliance,7.2
63,Big Bumpin',5.8
63,Assassin's Creed III - The Redemption,5.7
63,Namco Museum: Virtual Arcade,
68,Cloudberry Kingdom,7.0
68,Hasbro Family Game Night: Boggle,
68,Stoked,8.6
68,Earth Defense Force 2025,8.1
68,Joust,
68,Kinect Rush: A Disney-Pixar Adventure,5.1
68,Spider-Man: Web of Shadows,8.6
68,Blitz: The League II,7.2
68,Brink,5.8
68,Lost Planet 2,6.1
78,Lost Planet: Extreme Condition Colonies Edition,8.1
78,Space Channel 5 Part 2,7.7
78,NFL Blitz,6.3
78,Skullgirls,6.7
78,Call of Duty: Modern Warfare 3 - Collection 2,2.7
78,MotoGP '07,7.3
78,NHL 2K7,7.9
78,Pro Evolution Soccer 2012,6.6
78,State of Decay,7.2
78,Far Cry Instincts Predator,6.2
78,Bangai-O HD: Missile Fury,7.1
78,Rock Band Blitz,7.5
72,NiGHTS into Dreams...,8.1
72,Dungeon Siege III,5.9
72,Wolfenstein,7.5
72,Game of Thrones: Episode One - Iron From Ice,6.4
72,Tales From Space: Mutant Blobs Attack,7.0
72,Phantom Breaker: Battle Grounds,6.8
72,Sega Vintage Collection: Monster World,8.0
72,Stoked: Big Air Edition,7.7
72,South Park Let's Go Tower Defense Play!,6.5
72,"Wallace & Gromit's Grand Adventures, Episode 3: Muzzled!",
72,Rocket Knight,8.0
74,Gatling Gears,8.0
74,Weapon of Choice,7.4
74,World Series of Poker 2008: Battle for the Bracelets,6.7
74,Ridge Racer 6,7.1
74,Kinectimals,3.2
74,Mass Effect 3: Leviathan,6.8
74,Child of Light,7.4
74,Naruto Shippuden: Ultimate Ninja Storm Generations,7.2
74,Guilty Gear XX Accent Core Plus,6.6
65,Dynasty Warriors: Gundam 3,7.8
65,Jimmie Johnson's Anything With an Engine,8.8
65,Cars,6.1
65,Dynasty Warriors 8,7.5
65,The Godfather II,6.9
65,Kung Fu Strike: The Warrior's Rise,
65,Baja: Edge of Control,7.1
65,Kane & Lynch: Dead Men,3.2
65,Black Knight Sword,7.3
65,Feeding Frenzy 2: Shipwreck Showdown,7.6
60,Create,5.8
60,Bakugan Battle Brawlers,5.2
60,Sonic Unleashed,7.7
60,Jurassic Park: The Game,3.6
60,All Zombies Must Die!,5.1
60,Beijing 2008 - The Official Video Game of the Olympic Games,6.5
60,Sonic Adventure 2,7.8
60,Sega Vintage Collection: Golden Axe,8.0
60,Leedmees,
60,Rio,7.0
60,Encleverment Experiment,5.8
52,The First Templar,6.3
52,NeverDead,5.5
52,Sniper: Ghost Warrior 2,5.7
52,Conflict: Denied Ops,4.9
51,Ben 10 Ultimate Alien: Cosmic Destruction,5.3
51,Unbound Saga,
51,Le Tour de France 2013 - 100th Edition,5.9
51,Warlords,
51,Cabela's North American Adventures,9.2
51,Rush'N Attack Ex-Patriot,6.6
69,Swarm,7.6
