"year","make","model","carline_class","carline_broad","cyl","disp","air_asp","trans_desc","gears","drive_desc","fuel_type","mpg_city","mpg_hwy","mpg_mix","ann_fuel","condition","lux","trans_broad"
2012,"Jaguar","jaguar xk","Minicompact Cars","Cars",8,5,"Supercharged","Automated Manual",6,"Rear Wheel Drive","Premium Gasoline",15,22,17,3484,"Used","Luxury","Automatic"
2012,"Jaguar","jaguar xk convertible","Minicompact Cars","Cars",8,5,"Supercharged","Automated Manual",6,"Rear Wheel Drive","Premium Gasoline",15,22,17,3484,"Used","Luxury","Automatic"
2012,"Jaguar","jaguar xk convertible","Minicompact Cars","Cars",8,5,"Naturally Aspirated","Automated Manual",6,"Rear Wheel Drive","Premium Gasoline",16,22,18,3294,"Used","Luxury","Automatic"
2012,"Lotus","evora","Minicompact Cars","Cars",6,3.5,"Naturally Aspirated","Automated Manual",6,"Rear Wheel Drive","Premium Gasoline",20,28,23,2577,"Used","Super","Automatic"
2012,"Lotus","evora","Minicompact Cars","Cars",6,3.5,"Supercharged","Automated Manual",6,"Rear Wheel Drive","Premium Gasoline",19,28,22,2696,"Used","Super","Automatic"
2012,"Lotus","evora","Minicompact Cars","Cars",6,3.5,"Naturally Aspirated","Manual",6,"Rear Wheel Drive","Premium Gasoline",18,26,21,2820,"Used","Super","Manual"
2012,"Lotus","evora","Minicompact Cars","Cars",6,3.5,"Supercharged","Manual",6,"Rear Wheel Drive","Premium Gasoline",17,26,20,2962,"Used","Super","Manual"
2012,"Mini","mini cooper","Minicompact Cars","Cars",4,1.6,"Naturally Aspirated","Automated Manual",6,"Front Wheel Drive","Premium Gasoline",28,36,31,1914,"Used","Luxury","Automatic"
2012,"Mini","mini cooper","Minicompact Cars","Cars",4,1.6,"Naturally Aspirated","Manual",6,"Front Wheel Drive","Premium Gasoline",29,37,32,1849,"Used","Luxury","Manual"
2012,"Mini","mini cooper convertible","Minicompact Cars","Cars",4,1.6,"Naturally Aspirated","Automated Manual",6,"Front Wheel Drive","Premium Gasoline",27,35,30,1973,"Used","Luxury","Automatic"
2012,"Mini","mini cooper convertible","Minicompact Cars","Cars",4,1.6,"Naturally Aspirated","Manual",6,"Front Wheel Drive","Premium Gasoline",27,35,30,1973,"Used","Luxury","Manual"
2012,"Mini","mini cooper s","Minicompact Cars","Cars",4,1.6,"Turbocharged","Automated Manual",6,"Front Wheel Drive","Premium Gasoline",26,34,29,2044,"Used","Luxury","Automatic"
