"","Name","appid","Owners_Before","Owners_After","Sales","Increase","Price_Before_Sale","Review_Score_Steam_Users","Sale_Percent","Price_After_Sale","Owners_As_Of_Today","Players_Forever_As_Of_Today","average_forever.x","median_forever.x","owners","owners_variance","players_forever","players_forever_variance","players_2weeks","players_2weeks_variance","average_forever.y","average_2weeks","median_forever.y","median_2weeks","Price_Now","publisher","score","Review_Score_Metacritic_User","Review_Score_IGN","Genre","Release_Date","Review_Score_Metacritic","main_story_length","GameAge"
"338","DIG IT A Digger Simulator",NA,16785,23256,6471,38.55,17.99,58,80,3.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2014-10-14,NA,NA,629
"339","DiggerOnline",278970,473262,485290,12028,2.54,9.99,44,0,9.99,457613,374241,134,35,466526,17656,380159,15940,4205,1677,145,23,34,6,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340","DiRT 3 Complete Edition",321040,1256939,1288164,31225,2.48,29.99,88,77,6.89,1259184,529770,428,150,1278699,29194,531696,18847,35388,4865,388,76,142,21,29.99,"",NA,80,NA,NA,2015-04-01,80,NA,460
"341","DiRT Rally",310560,323943,333863,9920,3.06,59.99,91,40,35.99,332742,316478,1416,402,348449,15261,325675,14755,45199,5499,1315,175,443,43,49.99,"",86,88,NA,NA,2015-12-07,88,NA,210
"342","Disgaea PC",405900,50107,82690,32583,65.03,19.99,86,25,14.99,82998,64492,971,186,83915,7492,67798,6734,8759,2421,1084,499,303,144,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","Dishonored",205100,2454251,2515343,61092,2.49,9.99,97,50,4.99,2631837,2257035,1026,606,2591735,41480,2206496,38296,73929,7032,1038,264,599,94,9.99,"Bethesda Softworks",91,83,92,"Action",2012-10-07,83,12.5,1366
"344","Disillusions Manga Horror",343270,24803,34368,9565,38.56,0.99,59,20,0.55,32340,21497,150,113,31184,4567,19971,3655,502,983,151,65,94,65,0.99,"",NA,NA,NA,NA,2015-01-16,NA,0.283333333333333,535
"345","Distance",233610,89691,111890,22199,24.75,19.99,95,50,9.99,113469,106365,322,110,116500,8827,107916,8496,4905,1811,303,33,111,23,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346","Distant Worlds Universe",NA,45848,50906,5058,11.03,59.99,79,50,29.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",81,79,NA,NA,2014-05-23,79,NA,773
"347","Divinity Original Sin Enhanced Edition",NA,1055759,1096425,40666,3.85,39.99,88,50,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",93,80,90,"RPG",2015-10-27,80,78,251
"348","DLC Quest",230050,372046,385027,12981,3.49,2.99,88,67,0.98,388635,355548,149,101,405911,16470,360362,15520,2453,1281,135,49,99,53,2.99,"",NA,64,NA,NA,2013-03-18,64,1,1204
"349","DmC Devil May Cry",220440,794700,800289,5589,0.7,29.99,95,70,8.99,848117,608656,675,441,855619,23896,621743,20378,27855,4317,644,185,426,83,29.99,"Capcom",85,67,85,"Action",2013-11-04,67,9,973
"350","DmC Devil May Cry",220440,794700,800289,5589,0.7,29.99,95,70,8.99,848117,608656,675,441,855619,23896,621743,20378,27855,4317,644,185,426,83,29.99,"Capcom",85,67,89,"Action",2013-11-04,67,9,973
"351","Dollar Dash",214320,48102,55299,7197,14.96,9.99,NA,NA,0,54585,18880,50,16,58163,6238,19096,3574,0,0,31,0,14,0,0,"Kalypso",NA,34,48,"Action",2013-03-06,34,NA,1216
"352","Dont Starve",NA,3416561,3433726,17165,0.5,14.99,97,75,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",79,83,75,"Adventure",2014-11-04,83,35,608
"353","Dont Starve Together Beta",NA,4401168,4497850,96682,2.2,14.99,96,35,9.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","DOOM",379720,645882,889698,243816,37.75,59.99,89,40,35.99,1075429,1029630,973,608,1049378,26456,994894,25763,202693,11642,935,217,592,57,59.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355","DOOM 3 BFG Edition",NA,518609,524826,6217,1.2,19.99,81,50,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","DOOM II Hell on Earth",NA,402110,418621,16511,4.11,4.99,90,50,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357","Door Kickers",248610,299390,331279,31889,10.65,19.99,96,85,2.99,358352,243201,451,203,364392,15606,246665,12842,13665,3023,409,192,168,50,18.99,"",82,81,NA,NA,2014-10-20,81,5,623
"358","Downwell",360740,141051,157370,16319,11.57,2.99,96,50,1.49,168988,142256,250,93,168356,10611,138048,9609,10862,2695,244,47,93,18,1.49,"",84,62,NA,NA,2015-10-15,62,12.5,263
"359","Dracula 2 The Last Sanctuary",NA,34323,40053,5730,16.69,4.99,21,60,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360","Dracula 3 The Path of the Dragon",NA,33321,38502,5181,15.55,7.99,25,75,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Encore Software, Inc.",65,72,72,"Adventure",2008-08-21,72,11,2874
"361","Dracula The Resurrection",NA,37830,45221,7391,19.54,4.99,38,60,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DreamCatcher Interactive",67,65,NA,NA,2000-06-14,65,2.5,5864
"362","Dragon Age Origins",NA,733068,750933,17865,2.44,19.99,93,75,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Electronic Arts",91,86,90,"RPG",2009-11-03,86,41,2435
"363","Dragon Age Origins",NA,733068,750933,17865,2.44,19.99,93,75,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Electronic Arts",91,86,87,"RPG",2009-11-03,86,41,2435
"364","Dragon Age Origins Awakening",NA,133034,144191,11157,8.39,9.99,93,75,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Electronic Arts",82,77,85,"RPG",2010-03-16,77,NA,2302
"365","Dragon Age Origins Ultimate Edition",NA,1051249,1075752,24503,2.33,29.99,93,75,7.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,84,NA,NA,2010-10-25,84,53,2079
"366","DRAGON BALL XENOVERSE",323470,432926,514490,81564,18.84,49.99,88,75,12.49,556501,532013,1915,1090,543784,19059,520835,18654,41169,5248,2075,348,1128,102,49.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367","Dragons Dogma Dark Arisen",NA,320936,382443,61507,19.16,29.99,89,33,20.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"368","Dragons Lair",NA,43593,54265,10672,24.48,9.99,79,50,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,55,80,"Action",2001-11-02,55,0.85,5358
"369","Dragons Lair",NA,43593,54265,10672,24.48,9.99,79,50,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,55,45,"Action",2010-11-29,55,0.85,2044
"370","Dragons Lair",NA,43593,54265,10672,24.48,9.99,79,50,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,55,70,"Action",2009-12-21,55,0.85,2387
"371","Draw a Stickman EPIC",NA,171617,177526,5909,3.44,3.99,78,0,3.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,76,NA,NA,2013-12-03,76,1.5,944
"372","Draw a Stickman EPIC 2",NA,13278,18863,5585,42.06,4.99,85,0,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2015-11-06,NA,NA,241
"373","Drawful 2",442070,2004,15246,13242,660.78,9.99,89,10,8.99,20376,17572,260,137,16643,3337,14541,3119,4205,1677,217,78,128,71,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","DreadOut",269790,79419,86566,7147,9,14.99,79,75,3.74,90850,59445,224,111,92149,7851,62717,6477,2277,1234,166,120,105,173,14.99,"",55,62,NA,NA,2014-05-15,62,2.5,781
"375","DreadOut Keepers of The Dark",NA,5010,10336,5326,106.31,6.99,87,25,5.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","Dream",229580,77165,82173,5008,6.49,16.99,62,75,4.24,75334,57202,208,68,83915,7492,63243,6504,807,911,132,18,58,26,15.99,"",59,60,NA,NA,2015-07-13,60,NA,357
"377","Dreamfall Chapters",237850,204186,211894,7708,3.77,29.99,83,66,10.19,226377,112347,682,307,212153,11911,114924,8767,5956,1996,708,159,277,123,29.99,"",NA,81,65,"Adventure",2014-11-12,81,NA,600
"378","Dreaming Sarah",296870,57372,65635,8263,14.4,5.99,91,90,0.59,76269,50098,167,133,67272,6708,40468,5203,1051,838,147,71,129,82,5.99,"",NA,90,NA,NA,2015-03-12,90,NA,480
"379","Driver San Francisco",33440,199426,213186,13760,6.9,19.99,72,50,9.99,204131,168801,818,270,206722,11757,165903,10533,2978,1411,854,173,273,107,9.99,"Ubisoft",80,70,70,"Racing, Action",2011-09-27,70,8.5,1742
"380","Driver San Francisco",33440,199426,213186,13760,6.9,19.99,72,50,9.99,204131,168801,818,270,206722,11757,165903,10533,2978,1411,854,173,273,107,9.99,"Ubisoft",80,70,80,"Racing, Action",2011-09-27,70,8.5,1742
"381","Drunk Wizards",479170,0,19897,19897,0,7.99,NA,0,7.99,20750,1309,8,2,22424,3873,514,711,0,0,1,0,1,0,7.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","Duck Game",312530,248030,273654,25624,10.33,12.99,95,33,8.7,300215,278344,787,313,302550,14222,279776,13676,49753,5769,793,173,304,75,12.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","Duke Nukem 3D Megaton Edition",NA,564207,587878,23671,4.2,9.99,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,87,NA,NA,2013-03-20,87,10,1202
"384","Dungelot Shattered Lands",NA,13027,18088,5061,38.85,9.99,70,75,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385","Dungeon Journey",485490,4259,10077,5818,136.6,1.99,83,70,0.59,19628,11590,293,276,15767,3248,8234,2347,876,765,400,352,273,584,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","Dungeon of the Endless",249050,488044,511389,23345,4.78,11.99,90,66,4.07,529209,418357,715,269,528718,18794,415897,16671,10862,2695,672,186,265,89,11.99,"",79,79,81,"Adventure, RPG",2014-11-13,79,4,599
"387","Dungeon of Zolthan",463220,20543,44187,23644,115.1,0.99,81,0,0.99,54958,39817,215,213,48702,5708,33987,4768,1577,1027,232,189,213,185,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","Dungeon Siege",39190,356262,367714,11452,3.21,6.99,76,75,1.74,379475,188055,354,31,364917,15617,175889,10845,2102,1186,367,111,48,80,6.99,"Microsoft Game Studios",86,78,85,"Action, RPG",2002-03-31,78,30.5,5209
"389","Dungeon Siege 2",39200,367035,380376,13341,3.63,6.99,81,75,1.74,393308,168988,440,33,385414,16050,165553,10522,2803,1369,598,153,33,43,6.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","Dungeonmans",288120,15032,23773,8741,58.15,14.99,91,50,7.49,19441,17385,983,467,20322,3687,18044,3474,514,711,1138,1009,572,1009,14.99,"",NA,NA,NA,NA,2014-12-09,NA,NA,573
"391","Dungeons of Dredmor",98800,554436,565913,11477,2.07,4.99,95,50,2.49,574260,442659,1044,235,564457,19418,436394,17077,4205,1677,961,718,224,330,4.99,"",79,78,85,"RPG",2011-07-13,78,17.5,1818
"392","DungeonUp",388620,14030,19639,5609,39.98,4.99,87,90,0.49,29535,15329,251,211,20672,3719,8409,2372,1402,968,271,555,236,493,4.99,"",NA,NA,NA,NA,2015-09-04,NA,NA,304
"393","Dwarfs",NA,320936,331279,10343,3.22,9.99,78,75,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,75,NA,NA,2011-05-04,75,5,1888
"394","Dying Light",239140,1388721,1456646,67925,4.89,59.99,92,50,29.99,1428172,1374335,2141,1397,1456165,31146,1387666,30408,92149,7851,2139,280,1397,76,49.99,"",75,78,85,"Action",2015-12-07,78,15.5,210
"395","DYNASTY WARRIORS 8 Xtreme Legends Complete Edition",NA,176377,182694,6317,3.58,49.99,81,60,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396","Earth 2140 HD",253860,79169,85533,6364,8.04,4.99,53,87,0.64,89167,16824,81,8,94777,7962,16818,3354,514,711,132,3,10,3,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397","Earth 2160",1900,186398,199232,12834,6.89,4.99,65,87,0.64,221890,96832,398,162,215482,12004,92499,7866,1226,905,389,135,142,201,4.99,"Midway",73,74,79,"Strategy",2005-11-15,74,20,3884
"398","Eastside Hockey Manager Early Access",NA,129777,139023,9246,7.12,19.99,87,66,6.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","Eaten Alive",403560,77165,84241,7076,9.17,0.99,36,51,0.49,93654,68418,241,211,93726,7918,67447,6717,1402,968,213,62,206,91,0.99,"",NA,NA,NA,NA,2015-09-30,NA,NA,278
"400","Edna Harvey The Breakout",NA,159340,166931,7591,4.76,14.99,80,90,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merscom LLC",56,64,NA,NA,2011-01-03,64,7.5,2009
"401","Eets",6100,251538,270553,19015,7.56,9.99,NA,NA,0,257594,134779,80,9,267162,13365,141902,9742,0,0,121,0,8,0,0,"",81,64,NA,NA,2006-03-29,64,4.5,3750
"402","Elements II Hearts of Light",NA,8267,68219,59952,725.2,4.99,94,90,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","Elements Soul of Fire",NA,54616,112924,58308,106.76,7.99,51,90,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2015-01-12,NA,NA,539
"404","Elite Dangerous",NA,784679,791245,6566,0.84,29.99,66,33,20.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",80,64,74,"Action",2014-12-19,64,100,563
"405","Elven Legacy",25850,63135,71579,8444,13.37,4.99,70,75,1.24,75147,26545,467,104,79535,7294,29081,4411,550,1076,308,391,73,391,4.99,"Paradox Interactive",71,71,77,"Strategy",2009-04-07,71,NA,2645
"406","Elven Legacy Magic",NA,38081,49614,11533,30.29,1.99,60,66,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2009-12-01,NA,7.5,2407
"407","Elven Legacy Ranger",NA,39835,50647,10812,27.14,1.99,66,66,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",68,NA,NA,NA,2009-10-20,68,NA,2449
"408","Elven Legacy Siege",NA,38081,49614,11533,30.29,1.99,50,66,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2009-11-17,NA,13,2421
"409","Ember Kaboom",451000,16535,23773,7238,43.77,4.99,88,33,3.34,22993,2617,167,236,25052,4094,3504,1531,514,711,42,2,23,2,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","Endless Legend",289130,745344,782976,37632,5.05,29.99,83,66,10.19,785869,721750,1696,615,776434,22767,714418,21840,25052,4094,1547,444,606,124,29.99,"",82,79,83,"Strategy",2014-09-18,79,12.5,655
"411","Endorlight",428430,252790,261508,8718,3.45,2.99,59,83,0.5,302645,176839,278,266,288185,13880,168006,10600,4905,1811,263,132,267,119,2.99,"",NA,NA,NA,NA,2015-12-22,NA,NA,195
"412","Enemy Front",256190,114996,127136,12140,10.56,29.99,58,90,2.99,136648,108235,471,136,139275,9651,112996,8694,7183,2192,495,106,158,47,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","Energy Cycle",415960,15282,23256,7974,52.18,0.99,80,30,0.69,25236,15702,219,215,20847,3734,10511,2652,1575,1257,246,126,198,124,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","Enter the Gungeon",311690,342733,364872,22139,6.46,14.99,89,20,11.99,430321,417609,1161,485,414495,16643,397327,16295,61141,6395,1092,259,426,48,8.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","Epic Battle Fantasy 4",265610,74659,80881,6222,8.33,11.99,97,75,2.99,71969,52341,893,328,80236,7326,59564,6312,2277,1234,1110,363,554,452,10.99,"",NA,80,NA,NA,2014-02-25,80,17.5,860
"416","Era The Fantasy Settlement Sim",NA,12526,18346,5820,46.46,5.99,60,0,5.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","Escape Dead Island",226560,44094,57366,13272,30.1,14.99,58,80,3.99,53089,30096,325,184,50805,5830,29256,4424,2422,1579,293,394,170,211,19.99,"",52,37,68,"Action",2014-11-18,37,6,594
"418","Escape Machines",363490,89942,104138,14196,15.78,0.99,44,51,0.49,105431,60753,188,175,108091,8503,66221,6656,1402,968,151,116,151,201,0.99,"",NA,NA,NA,NA,2015-04-14,NA,NA,447
"419","Escape This",467370,27308,42378,15070,55.19,0.99,60,0,0.99,44677,31218,204,200,44498,5456,30132,4490,1752,1082,224,167,206,133,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420","Ether One",265950,45096,52456,7360,16.32,19.99,77,75,4.99,54211,28601,370,153,51155,5850,27329,4276,1004,1390,229,137,121,273,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","Etherium",245370,67394,73646,6252,9.28,19.99,40,80,3.99,84681,35891,703,164,63944,6540,26103,4179,502,983,225,125,112,125,19.99,"",62,63,NA,NA,2015-03-25,63,NA,467
"422","Etherlords",270770,64137,72095,7958,12.41,4.99,40,60,1.99,75521,16637,53,10,73404,7007,13139,2965,502,983,115,1,9,1,4.99,"Fishtank Interactive",77,82,81,"Strategy",2001-12-05,82,NA,5325
"423","Etherlords II",270790,69899,81915,12016,17.19,4.99,83,60,1.99,83185,20189,443,66,83390,7469,21548,3797,550,1076,521,312,76,312,4.99,"Strategy First",78,80,80,"Strategy",2003-09-30,80,17.5,4661
"424","Euro Truck Simulator",232010,501573,518624,17051,3.4,8.99,80,75,2.24,544350,269932,208,49,548865,19148,271016,13461,6132,2025,196,158,50,20,7.99,"SCS Software",NA,75,NA,NA,2013-03-08,75,NA,1214
"425","Euro Truck Simulator 2",227300,2816777,2887968,71191,2.53,22.99,97,70,6.89,2985141,2754652,3855,1142,2973821,44407,2744675,42677,443927,17223,3683,433,1102,144,19.99,"",79,87,NA,NA,2013-01-16,87,59,1265
"426","Europa Universalis IV",236850,932996,957143,24147,2.59,39.99,91,75,9.99,990374,911301,10925,1648,983857,25620,909577,24636,163976,10472,10805,817,1993,340,9.99,"Paradox Interactive",87,87,89,"Strategy",2013-08-13,87,966,1056
"427","Europa Universalis Rome Gold Edition",NA,63636,79848,16212,25.48,9.99,68,75,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428","Eventide Slavic Fable",NA,11023,18346,7323,66.43,9.99,98,40,5.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","Everyday Genius SquareLogic",NA,11524,16538,5014,43.51,4.99,99,0,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,84,NA,NA,2009-10-22,84,17,2447
"430","Evil Genius",3720,185647,214220,28573,15.39,9.99,94,75,2.49,219086,163193,835,374,210226,11856,155567,10200,2102,1186,921,272,319,182,9.99,"VU Games",75,85,78,"Strategy",2004-09-28,85,25.5,4297
"431","EvilMaze",484950,4008,32042,28034,699.45,1.99,78,40,1.19,80008,57389,274,283,87419,7647,58513,6256,4905,1811,269,168,270,125,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432","Evoland",233470,399104,411902,12798,3.21,9.99,83,75,2.49,420414,329377,222,153,420627,16766,321996,14671,1312,1148,215,39,137,57,9.99,"",61,66,NA,NA,2013-04-04,66,3.5,1187
"433","Evoland 2",359310,90694,102329,11635,12.83,19.99,91,50,9.99,94401,66361,638,366,98631,8122,67973,6743,1402,968,727,74,404,127,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434","F1 2010",44310,75160,85791,10631,14.14,9.99,71,75,2.49,82064,73278,1654,471,81988,7406,73579,7016,1927,1135,1846,48,594,49,9.99,"",84,65,NA,NA,2010-09-22,65,40.5,2112
"435","F1 2014",226580,119004,127136,8132,6.83,29.99,75,66,10.19,128236,120198,2234,703,129815,9318,124208,9115,9986,2584,1994,142,648,60,24.99,"",61,47,NA,NA,2014-10-17,47,NA,626
"436","Fable Anniversary",288470,292626,434642,142016,48.53,34.99,72,85,5.24,435181,329751,622,252,412568,16605,314989,14511,8759,2421,660,231,239,80,31.99,"",NA,46,80,"RPG",2014-09-12,46,15,661
"437","FaceRig",274920,273835,281923,8088,2.95,14.99,84,50,7.49,290495,277409,294,80,282579,13745,262958,13259,14541,3119,379,173,80,23,14.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","Fairy Fencer F",347830,108482,123260,14778,13.62,29.99,93,75,7.49,120572,90476,937,394,113697,8720,83915,7492,2453,1281,857,417,386,221,27.99,"",66,78,73,"RPG",2014-10-04,78,24,639
"439","Fairy Tale Mysteries The Puppet Thief",NA,8768,13954,5186,59.15,9.99,66,50,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2014-06-11,NA,NA,754
"440","Fallout",38400,772653,782976,10323,1.34,9.99,93,50,4.99,771101,505281,330,63,789048,22950,523112,18694,8759,2421,358,138,61,28,9.99,"Interplay",89,89,NA,NA,1997-09-30,89,18,6852
"441","Fallout 2",38410,788186,820703,32517,4.13,9.99,93,50,4.99,802693,346388,601,68,817428,23358,348800,15269,5431,1906,562,489,62,119,9.99,"Interplay",86,92,89,"RPG",1998-11-13,92,31.5,6443
"442","Fallout 2",38410,788186,820703,32517,4.13,9.99,93,50,4.99,802693,346388,601,68,817428,23358,348800,15269,5431,1906,562,489,62,119,9.99,"Interplay",86,92,89,"RPG",1998-09-30,92,31.5,6487
"443","Fallout 3",22300,710019,719149,9130,1.29,9.99,81,50,4.99,703992,620059,963,227,710388,21779,621743,20378,17519,3423,918,177,240,13,9.99,"Bethesda Softworks",91,79,94,"Action, RPG",2008-10-27,79,23,2807
"444","Fallout 3",22300,710019,719149,9130,1.29,9.99,81,50,4.99,703992,620059,963,227,710388,21779,621743,20378,17519,3423,918,177,240,13,9.99,"Bethesda Softworks",91,79,96,"Action, RPG",2008-10-27,79,23,2807
"445","Fallout 4",377160,3258472,3361113,102641,3.15,59.99,77,50,29.99,3462196,3391161,6221,3645,3441749,47739,3359235,47169,625247,20435,6099,717,3681,255,59.99,"",84,54,95,"RPG",2015-11-09,54,22.5,238
"446","Fallout New Vegas",NA,4397911,4413609,15698,0.36,9.99,95,50,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bethesda Softworks",84,85,90,"RPG",2010-10-19,85,28.5,2085
"447","Fallout New Vegas",NA,4397911,4413609,15698,0.36,9.99,95,50,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bethesda Softworks",84,85,85,"RPG",2010-10-19,85,28.5,2085
"448","Fallout Tactics",38420,672438,688915,16477,2.45,9.99,84,50,4.99,684924,201140,447,34,695497,21550,203744,11672,1752,1082,368,65,29,102,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449","Far Cry 3",220240,2769175,2806569,37394,1.35,19.99,89,75,4.99,2884197,2555942,1668,999,2885000,43745,2553019,41172,94426,7947,1670,423,977,128,19.99,"Ubisoft",88,82,90,"Shooter",2012-11-21,82,15.5,1321
"450","Far Cry 4",298110,696740,720958,24218,3.48,39.99,76,50,19.99,748856,695393,2206,1520,763470,22576,704958,21696,63944,6540,2216,486,1483,195,29.99,"",80,66,85,"Shooter",2014-11-14,66,15.5,598
"451","Far Cry Primal",371660,166105,181144,15039,9.05,59.99,70,35,38.99,215347,208618,1445,1094,198138,11511,190955,11300,28380,4357,1429,524,1054,271,59.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"452","Farming Simulator 15",313160,547671,575216,27545,5.03,24.99,90,50,12.49,603048,588841,5107,1488,607553,20144,594939,19934,100908,8216,5011,672,1615,220,24.99,"",64,70,NA,NA,2014-10-30,70,NA,613
"453","Farming Simulator 2011",90200,75661,82173,6512,8.61,9.99,86,50,4.99,79447,77390,3549,1104,76908,7172,75331,7099,1226,905,3559,314,1157,371,9.99,"",NA,71,NA,NA,2010-10-29,71,NA,2075
"454","Fermis Path",NA,13027,18088,5061,38.85,8.99,78,30,6.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2015-04-20,NA,NA,441
"455","FEZ",224760,1344376,1361035,16659,1.24,9.99,91,50,4.99,1365549,925695,213,74,1379783,30322,957929,25281,8584,2396,205,145,72,21,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456","Fieldrunners",209690,147064,159437,12373,8.41,4.99,65,75,1.24,152538,48790,446,65,157494,10263,41169,5248,527,1031,403,7,62,7,4.99,"",NA,58,75,"Strategy",2012-05-24,58,7,1502
"457","Fieldrunners 2",215710,118253,124294,6041,5.11,9.99,86,75,2.49,122815,43929,1179,241,119478,8939,37665,5020,1285,1124,840,292,237,518,9.99,"",73,74,81,"Strategy",2013-12-05,74,11,942
"458","Fiends of Imprisonment",410590,134788,144191,9403,6.98,1.99,44,75,0.49,180391,128610,216,213,173612,10775,117376,8860,6482,2082,233,171,215,199,0.9,"",NA,NA,NA,NA,2015-10-20,NA,NA,258
"459","Final Approach Pilot Edition",NA,0,13437,13437,0,24.99,63,0,24.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
