"#","Game","Owners before","Owners after","Sales","Increase","Price","Max discount","Userscore (Metascore)"
"388","Geometry Dash","391,838 ±19,368","434,125 ±20,705","42,287","10.79%","$3.99","75% ($0.99)","96% (N/A)"
"193","S.T.A.L.K.E.R.: Shadow of Chernobyl","933,497 ±29,870","975,748 ±31,014","42,251","4.53%","$19.99","60% ($7.99)","94% (82%)"
"81","Super Meat Boy","2,388,110 ±47,664","2,430,069 ±48,832","41,959","1.76%","$14.99","90% ($1.49)","95% (87%)"
"320","Warhammer: End Times - Vermintide","521,115 ±22,332","563,071 ±23,575","41,956","8.05%","$29.99","50% ($14.99)","80% (79%)"
"1122","Klabi","0 ±0","41,862 ±6,433","41,862","0%","$2.99","83% ($0.5)","42% (N/A)"
"1051","Rolling Sun","11,274 ±3,287","52,973 ±7,237","41,699","369.87%","$4.99","90% ($0.49)","41% (N/A)"
"316","Spore: Creepy & Cute Parts Pack","527,128 ±22,460","567,980 ±23,678","40,852","7.75%","$19.99","75% ($4.99)","83% (N/A)"
"173","Divinity: Original Sin - Enhanced Edition","1,055,759 ±31,759","1,096,425 ±32,870","40,666","3.85%","$39.99","50% ($19.99)","88% (94%)"
"390","HuniePop","388,581 ±19,288","429,215 ±20,587","40,634","10.46%","$9.99","69% ($3.09)","96% (N/A)"
"298","The Banner Saga","583,999 ±23,638","624,572 ±24,827","40,573","6.95%","$19.99","75% ($4.99)","90% (80%)"
"238","S.T.A.L.K.E.R.: Call of Pripyat","747,850 ±26,743","788,144 ±27,882","40,294","5.39%","$19.99","60% ($7.99)","95% (80%)"
"125","The Binding of Isaac: Rebirth","1,472,901 ±37,488","1,512,979 ±38,587","40,078","2.72%","$14.99","40% ($8.99)","97% (N/A)"
"204","Transistor","884,141 ±29,071","924,067 ±30,184","39,926","4.52%","$19.99","75% ($4.99)","95% (83%)"
"1062","Avernum 2: Crystal Souls","12,025 ±3,395","51,940 ±7,166","39,915","331.93%","$19.99","50% ($9.99)","92% (78%)"
"186","Warhammer 40,000: Dawn of War - Soulstorm","963,311 ±30,341","1,003,140 ±31,445","39,829","4.13%","$12.99","75% ($3.24)","94% (N/A)"
"351","Wargame: Red Dragon","447,708 ±20,701","487,357 ±21,936","39,649","8.86%","$39.99","70% ($11.99)","87% (78%)"
"187","Football Manager 2016","963,311 ±30,341","1,002,623 ±31,437","39,312","4.08%","$49.99","66% ($16.99)","70% (81%)"
"95","The Forest","2,030,595 ±43,977","2,069,848 ±45,094","39,253","1.93%","$14.99","20% ($11.99)","90% (N/A)"
"476","BeamNG.drive","260,307 ±15,790","299,494 ±17,201","39,187","15.05%","$24.99","25% ($18.74)","87% (N/A)"
"165","Arma 2","1,134,678 ±32,921","1,173,689 ±34,004","39,011","3.44%","$12.99","80% ($2.59)","83% (77%)"
"547","Audiosurf 2","193,163 ±13,603","232,050 ±15,142","38,887","20.13%","$14.99","67% ($4.94)","87% (76%)"
"307","FINAL FANTASY XIII","550,678 ±22,955","589,428 ±24,120","38,750","7.04%","$15.99","50% ($7.99)","72% (N/A)"
"541","Hearts of Iron IV","197,673 ±13,761","236,184 ±15,276","38,511","19.48%","$39.99","0% ($39.99)","82% (83%)"
"339","Rocksmith 2014","476,018 ±21,345","514,232 ±22,531","38,214","8.03%","$39.99","75% ($9.99)","92% (N/A)"
"40","Saints Row: The Third","3,746,016 ±59,567","3,784,127 ±60,806","38,111","1.02%","$9.99","75% ($3.74)","96% (84%)"
"169","Call of Duty: Black Ops III","1,091,084 ±32,284","1,128,984 ±33,353","37,900","3.47%","$59.99","50% ($29.99)","53% (N/A)"
"297","Shadowrun: Dragonfall - Director's Cut","588,759 ±23,734","626,639 ±24,868","37,880","6.43%","$14.99","80% ($2.99)","91% (87%)"
"273","Stronghold Crusader HD","661,415 ±25,153","699,252 ±26,266","37,837","5.72%","$9.99","75% ($2.49)","95% (78%)"
"241","Endless Legend","745,344 ±26,698","782,976 ±27,791","37,632","5.05%","$29.99","66% ($10.19)","83% (82%)"
"632","Turbo Pug","139,047 ±11,542","176,492 ±13,207","37,445","26.93%","$0.99","51% ($0.49)","93% (N/A)"
"452","Scrap Mechanic","293,878 ±16,776","331,279 ±18,089","37,401","12.73%","$19.99","20% ($15.99)","84% (N/A)"
"64","Far Cry 3","2,769,175 ±51,295","2,806,569 ±52,448","37,394","1.35%","$19.99","75% ($4.99)","89% (88%)"
"987","Vengeance Road","29,312 ±5,300","66,669 ±8,118","37,357","127.45%","$1.99","40% ($1.19)","N/A (N/A)"
"566","NEKOPARA Vol. 0","177,630 ±13,045","214,737 ±14,567","37,107","20.89%","$2.99","60% ($1.19)","94% (N/A)"
"494","Planetary Annihilation: TITANS","242,518 ±15,241","279,339 ±16,612","36,821","15.18%","$39.99","80% ($7.99)","76% (N/A)"
"132","Trine","1,410,267 ±36,685","1,446,826 ±37,738","36,559","2.59%","$14.99","85% ($2.24)","96% (80%)"
"1145","LEGO® STAR WARS™: The Force Awakens","0 ±0","36,435 ±6,002","36,435","0%","$39.99","0% ($39.99)","80% (N/A)"
"172","Aliens vs. Predator","1,066,281 ±31,917","1,102,368 ±32,959","36,087","3.38%","$14.99","75% ($3.74)","N/A (68%)"
"480","Hyperdimension Neptunia Re;Birth1","260,307 ±15,790","296,394 ±17,111","36,087","13.86%","$29.99","85% ($4.49)","95% (72%)"
"484","Risen 3 - Titan Lords","256,548 ±15,675","292,517 ±16,999","35,969","14.02%","$14.99","75% ($4.99)","71% (65%)"
"118","Surgeon Simulator","1,587,647 ±38,913","1,623,577 ±39,966","35,930","2.26%","$9.99","80% ($1.99)","83% (71%)"
"712","The Room","103,220 ±9,945","139,023 ±11,722","35,803","34.69%","$4.99","75% ($1.24)","96% (73%)"
"217","Worms Reloaded","825,767 ±28,098","861,532 ±29,148","35,765","4.33%","$19.99","85% ($2.99)","86% (79%)"
"223","Hero Siege","800,462 ±27,665","836,208 ±28,717","35,746","4.47%","$5.99","90% ($0.59)","80% (N/A)"
"504","RollerCoaster Tycoon 2: Triple Thrill Pack","236,005 ±15,035","271,328 ±16,373","35,323","14.97%","$9.99","60% ($3.99)","87% (74%)"
"508","Saviors","235,002 ±15,003","270,294 ±16,341","35,292","15.02%","$1.99","75% ($0.49)","85% (N/A)"
"291","The Talos Principle","599,282 ±23,945","634,391 ±25,021","35,109","5.86%","$39.99","75% ($9.99)","96% (85%)"
"114","Max Payne 3","1,649,028 ±39,655","1,684,045 ±40,699","35,017","2.12%","$19.99","75% ($4.99)","83% (87%)"
"574","Shadowrun: Hong Kong","176,878 ±13,017","211,894 ±14,470","35,016","19.8%","$19.99","65% ($6.99)","86% (81%)"
"730","Hyperdimension Neptunia Re;Birth3 V Generation","93,199 ±9,450","128,170 ±11,255","34,971","37.52%","$29.99","80% ($5.99)","96% (N/A)"
"234","Injustice: Gods Among Us Ultimate Edition","758,122 ±26,925","793,054 ±27,968","34,932","4.61%","$19.99","75% ($4.99)","85% (N/A)"
"404","Magicka 2","361,273 ±18,599","396,139 ±19,779","34,866","9.65%","$14.99","60% ($5.99)","71% (69%)"
"28","Metro 2033","4,561,010 ±65,643","4,595,270 ±66,921","34,260","0.75%","$14.99","75% ($3.74)","93% (81%)"
"84","Goat Simulator","2,307,437 ±46,859","2,341,693 ±47,943","34,256","1.48%","$9.99","75% ($2.49)","88% (62%)"
"85","SEGA Genesis & Mega Drive Classics","2,255,326 ±46,330","2,289,236 ±47,407","33,910","1.5%","$2.99","75% ($0.74)","N/A (N/A)"
"222","Anno 2070","803,719 ±27,721","837,242 ±28,735","33,523","4.17%","$19.99","75% ($4.99)","62% (83%)"
"1094","Airscape: The Fall of Gravity","12,777 ±3,499","46,255 ±6,762","33,478","262.02%","$4.99","90% ($0.99)","82% (N/A)"
"663","Gun Rocket","124,265 ±10,912","157,628 ±12,481","33,363","26.85%","$1.99","75% ($0.49)","74% (N/A)"
"262","RollerCoaster Tycoon 3: Platinum!","691,730 ±25,722","724,834 ±26,741","33,104","4.79%","$19.99","60% ($7.99)","88% (81%)"
"202","The Darkness II","907,191 ±29,447","940,088 ±30,444","32,897","3.63%","$29.99","80% ($5.99)","90% (77%)"
"602","LIGHTNING RETURNSâ„¢: FINAL FANTASYÂ® XIII","159,591 ±12,365","192,255 ±13,784","32,664","20.47%","$19.99","50% ($9.99)","82% (N/A)"
"127","Sanctum 2","1,467,139 ±37,415","1,499,800 ±38,420","32,661","2.23%","$14.99","80% ($2.99)","91% (77%)"
"198","Crysis","922,223 ±29,689","954,817 ±30,681","32,594","3.53%","$19.99","75% ($4.99)","83% (91%)"
"889","Disgaea PC","50,107 ±6,930","82,690 ±9,041","32,583","65.03%","$19.99","25% ($14.99)","86% (74%)"
"665","ONE PIECE PIRATE WARRIORS 3","124,015 ±10,901","156,595 ±12,440","32,580","26.27%","$49.99","75% ($12.49)","83% (N/A)"
"226","Fallout 2","788,186 ±27,453","820,703 ±28,451","32,517","4.13%","$9.99","50% ($4.99)","93% (86%)"
"357","Grim Dawn","449,461 ±20,742","481,931 ±21,813","32,470","7.22%","$24.99","25% ($18.74)","93% (83%)"
"416","Men of War: Assault Squad 2","357,515 ±18,502","389,937 ±19,624","32,422","9.07%","$29.99","75% ($7.49)","80% (68%)"
"334","Mount Your Friends","488,795 ±21,629","521,209 ±22,683","32,414","6.63%","$4.99","60% ($1.99)","95% (N/A)"
"190","Call of Duty 4: Modern Warfare","957,549 ±30,251","989,961 ±31,239","32,412","3.38%","$19.99","50% ($9.99)","91% (92%)"
"666","Kentucky Route Zero","124,015 ±10,901","156,336 ±12,430","32,321","26.06%","$24.99","50% ($12.49)","86% (81%)"
"233","Five Nights at Freddy's","762,130 ±26,996","794,346 ±27,991","32,216","4.23%","$4.99","0% ($4.99)","88% (78%)"
"141","Torchlight","1,352,393 ±35,928","1,384,291 ±36,917","31,898","2.36%","$14.99","80% ($2.99)","93% (83%)"
"517","Car Mechanic Simulator 2015","233,750 ±14,963","265,643 ±16,200","31,893","13.64%","$19.99","60% ($7.99)","92% (68%)"
"455","Door Kickers","299,390 ±16,933","331,279 ±18,089","31,889","10.65%","$19.99","85% ($2.99)","96% (83%)"
"538","Labyronia RPG","207,694 ±14,105","239,544 ±15,384","31,850","15.34%","$1.99","75% ($0.49)","71% (N/A)"
"457","Keep Talking and Nobody Explodes","296,634 ±16,855","328,436 ±18,012","31,802","10.72%","$14.99","34% ($9.89)","98% (67%)"
"74","Quake Live","2,541,438 ±49,159","2,572,968 ±50,236","31,530","1.24%","$9.99","50% ($4.99)","82% (N/A)"
"591","Squad","171,366 ±12,813","202,850 ±14,158","31,484","18.37%","$39.99","25% ($29.99)","78% (N/A)"
"1049","Spaceport Hope","22,047 ±4,597","53,490 ±7,272","31,443","142.62%","$1.99","90% ($0.49)","80% (N/A)"
"815","The Next Door","68,897 ±8,126","100,262 ±9,955","31,365","45.52%","$2.99","0% ($2.99)","60% (N/A)"
"66","Insurgency","2,733,098 ±50,963","2,764,449 ±52,056","31,351","1.15%","$9.99","70% ($4.49)","91% (74%)"
"151","DiRT 3 Complete Edition","1,256,939 ±34,642","1,288,164 ±35,618","31,225","2.48%","$29.99","77% ($6.89)","88% (86%)"
"358","Depth","448,710 ±20,725","479,863 ±21,766","31,153","6.94%","$24.99","75% ($6.24)","86% (65%)"
"613","SOMA","152,075 ±12,071","183,211 ±13,456","31,136","20.47%","$29.99","50% ($14.99)","95% (84%)"
"1014","Oxenfree","29,813 ±5,345","60,725 ±7,748","30,912","103.69%","$19.99","50% ($9.99)","94% (80%)"
"434","Baldur's Gate II: Enhanced Edition","331,459 ±17,815","362,288 ±18,916","30,829","9.3%","$19.99","60% ($7.99)","80% (78%)"
"78","H1Z1","2,462,269 ±48,393","2,492,604 ±49,452","30,335","1.23%","$19.99","35% ($12.99)","64% (N/A)"
"623","PARTICLE MACE","150,071 ±11,991","180,368 ±13,351","30,297","20.19%","$9.99","90% ($0.99)","90% (N/A)"
"244","Serious Sam 2","749,604 ±26,774","779,875 ±27,736","30,271","4.04%","$9.99","90% ($0.99)","87% (74%)"
"645","Windward","140,049 ±11,584","170,290 ±12,973","30,241","21.59%","$9.99","60% ($3.99)","82% (61%)"
"115","Red Faction: Armageddon","1,648,527 ±39,649","1,678,618 ±40,634","30,091","1.83%","$19.99","90% ($1.99)","74% (75%)"
"1177","Flight of the Paladin","1,503 ±1,200","31,267 ±5,560","29,764","1980.31%","$1.99","75% ($0.49)","58% (N/A)"
"311","The Elder Scrolls Online: Tamriel Unlimited","552,181 ±22,987","581,934 ±23,966","29,753","5.39%","$29.99","50% ($19.99)","76% (N/A)"
"804","Tales of Symphonia","73,908 ±8,416","103,621 ±10,120","29,713","40.2%","$19.99","60% ($7.99)","68% (N/A)"
"1108","Catch a Falling Star","14,781 ±3,764","44,446 ±6,629","29,665","200.7%","$0.99","51% ($0.49)","87% (N/A)"
"54","Arma 2","2,965,596 ±53,067","2,995,207 ±54,166","29,611","1%","$12.99","80% ($2.59)","83% (77%)"
"71","Batman: Arkham Asylum GOTY Edition","2,601,817 ±49,735","2,631,369 ±50,798","29,552","1.14%","$19.99","75% ($4.99)","96% (91%)"
"854","Blood and Bacon","60,128 ±7,591","89,667 ±9,415","29,539","49.13%","$0.99","10% ($0.89)","96% (N/A)"
"797","The Witcher Adventure Game","76,162 ±8,543","105,430 ±10,208","29,268","38.43%","$9.99","85% ($1.49)","79% (68%)"
"197","Sniper: Ghost Warrior","925,730 ±29,745","954,817 ±30,681","29,087","3.14%","$7.99","75% ($4.99)","59% (55%)"
"1027","Withering Kingdom: Arcane War","28,561 ±5,232","57,624 ±7,548","29,063","101.76%","$0.99","51% ($0.49)","25% (N/A)"
"143","Borderlands: The Pre-Sequel","1,350,640 ±35,905","1,379,640 ±36,855","29,000","2.15%","$39.99","60% ($15.99)","80% (75%)"
"201","The Wolf Among Us","912,452 ±29,532","941,380 ±30,465","28,928","3.17%","$24.99","50% ($12.49)","97% (85%)"
"213","Resident Evil 6 / Biohazard 6","846,561 ±28,449","875,486 ±29,382","28,925","3.42%","$29.99","75% ($7.49)","80% (69%)"
"787","Pony Island","79,670 ±8,738","108,531 ±10,357","28,861","36.23%","$4.99","40% ($2.99)","95% (86%)"
"576","Labyronia RPG 2","182,891 ±13,237","211,636 ±14,461","28,745","15.72%","$1.99","75% ($0.49)","76% (N/A)"
"825","The Jackbox Party Pack 2","67,644 ±8,051","96,386 ±9,761","28,742","42.49%","$24.99","65% ($8.74)","90% (N/A)"
"170","Brutal Legend","1,095,093 ±32,343","1,123,816 ±33,277","28,723","2.62%","$14.99","90% ($1.49)","93% (80%)"
"699","Move or Die","114,495 ±10,474","143,158 ±11,895","28,663","25.03%","$14.99","40% ($8.99)","85% (80%)"
"335","Grim Fandango Remastered","491,802 ±21,695","520,433 ±22,667","28,631","5.82%","$14.99","75% ($3.74)","89% (84%)"
"567","Evil Genius","185,647 ±13,336","214,220 ±14,549","28,573","15.39%","$9.99","75% ($2.49)","94% (75%)"
"1031","Momodora: Reverie Under the Moonlight","28,561 ±5,232","57,108 ±7,514","28,547","99.95%","$9.99","20% ($7.99)","96% (80%)"
"897","Lup","53,113 ±7,134","81,656 ±8,984","28,543","53.74%","$0.99","51% ($0.49)","53% (N/A)"
"903","Salt and Sanctuary","52,362 ±7,084","80,881 ±8,942","28,519","54.47%","$17.99","10% ($16.19)","91% (84%)"
"851","The Walking Dead: Michonne","61,631 ±7,685","89,926 ±9,428","28,295","45.91%","$14.99","50% ($7.49)","79% (N/A)"
"324","Game of Thrones - A Telltale Games Series","522,117 ±22,353","550,409 ±23,309","28,292","5.42%","$29.99","75% ($7.49)","77% (N/A)"
"905","Sins Of The Demon","51,860 ±7,050","80,106 ±8,899","28,246","54.47%","$1.99","75% ($0.49)","88% (N/A)"
"1172","EvilMaze","4,008 ±1,960","32,042 ±5,628","28,034","699.45%","$1.99","40% ($1.19)","78% (N/A)"
"191","Warhammer 40,000: Dawn of War - Dark Crusade","952,037 ±30,164","979,883 ±31,080","27,846","2.92%","$12.99","75% ($3.24)","95% (87%)"
"166","Braid","1,144,699 ±33,065","1,172,397 ±33,986","27,698","2.42%","$14.99","83% ($2.54)","94% (90%)"
"473","3DMark","278,846 ±16,342","306,471 ±17,400","27,625","9.91%","$29.99","80% ($4.99)","88% (N/A)"
"227","Crysis Wars","788,687 ±27,461","816,311 ±28,375","27,624","3.5%","$19.99","75% ($4.99)","85% (84%)"
"229","Crysis Warhead","788,687 ±27,461","816,311 ±28,375","27,624","3.5%","$19.99","75% ($4.99)","85% (84%)"
"314","Farming Simulator 15","547,671 ±22,893","575,216 ±23,828","27,545","5.03%","$24.99","50% ($12.49)","90% (64%)"
"510","Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad","241,266 ±15,202","268,744 ±16,294","27,478","11.39%","$0.99","30% ($0.69)","95% (N/A)"
"157","Risen 2 - Dark Waters","1,191,549 ±33,733","1,218,910 ±34,651","27,361","2.3%","$9.99","75% ($2.49)","77% (69%)"
"705","New kind of adventure","113,993 ±10,451","141,349 ±11,819","27,356","24%","$0.99","51% ($0.49)","41% (N/A)"
"62","Total War: SHOGUN 2","2,802,998 ±51,605","2,830,343 ±52,667","27,345","0.98%","$24.99","75% ($7.49)","92% (N/A)"
"353","Stellaris","458,230 ±20,943","485,548 ±21,895","27,318","5.96%","$39.99","10% ($35.99)","85% (78%)"
"200","Shadowrun Returns","915,960 ±29,588","943,189 ±30,494","27,229","2.97%","$14.99","80% ($2.99)","90% (76%)"
"330","Yet Another Zombie Defense","504,329 ±21,970","531,545 ±22,907","27,216","5.4%","$1.99","75% ($0.49)","87% (N/A)"
"65","Saints Row IV","2,770,177 ±51,305","2,797,267 ±52,362","27,090","0.98%","$14.99","75% ($3.74)","92% (86%)"
"300","Serious Sam 3 Bonus Content","575,732 ±23,471","602,607 ±24,387","26,875","4.67%","$9.99","90% ($0.99)","92% (N/A)"
"1018","Guardians of Victoria","33,070 ±5,630","59,692 ±7,682","26,622","80.5%","$1.99","75% ($0.49)","24% (N/A)"
"530","NEKOPARA Vol. 1","220,221 ±14,524","246,779 ±15,615","26,558","12.06%","$9.99","60% ($3.99)","95% (N/A)"
"327","FORCED","513,849 ±22,176","540,331 ±23,095","26,482","5.15%","$14.99","80% ($2.99)","76% (72%)"
"326","Wargame: AirLand Battle","514,100 ±22,181","540,331 ±23,095","26,231","5.1%","$19.99","75% ($4.99)","90% (80%)"
"380","FINAL FANTASY XIV: A Realm Reborn","419,397 ±20,037","445,495 ±20,974","26,098","6.22%","$19.99","50% ($9.99)","87% (83%)"
"174","Plants vs. Zombies: Game of the Year","1,068,286 ±31,946","1,094,358 ±32,839","26,072","2.44%","$4.99","75% ($1.24)","96% (87%)"
"1036","Super Mega Neo Pug","29,312 ±5,300","55,299 ±7,394","25,987","88.66%","$0.99","51% ($0.49)","87% (N/A)"
"183","Poker Night at the Inventory","989,116 ±30,744","1,015,026 ±31,630","25,910","2.62%","$4.99","75% ($1.24)","85% (71%)"
"975","Hyperdimension Neptunia U: Action Unleashed","41,839 ±6,332","67,702 ±8,181","25,863","61.82%","$29.99","70% ($8.99)","94% (N/A)"
"400","American Truck Simulator","376,054 ±18,975","401,824 ±19,920","25,770","6.85%","$19.99","20% ($15.99)","92% (76%)"
"219","Two Worlds II","824,514 ±28,077","850,162 ±28,955","25,648","3.11%","$19.99","0% ($19.99)","62% (76%)"
"503","Duck Game","248,030 ±15,413","273,654 ±16,443","25,624","10.33%","$12.99","33% ($8.7)","95% (82%)"
"90","Napoleon: Total War","2,147,345 ±45,215","2,172,694 ±46,193","25,349","1.18%","$19.99","75% ($4.99)","93% (81%)"
"489","The Howler","260,307 ±15,790","285,540 ±16,796","25,233","9.69%","$1.99","75% ($0.49)","80% (N/A)"
"774","Sheltered","86,936 ±9,127","112,149 ±10,529","25,213","29%","$14.99","50% ($7.49)","80% (62%)"
"1011","Ultimate Chicken Horse","36,077 ±5,880","61,242 ±7,781","25,165","69.75%","$14.99","34% ($9.89)","90% (N/A)"
"872","Super Mustache","59,878 ±7,575","85,016 ±9,167","25,138","41.98%","$0.99","51% ($0.49)","76% (N/A)"
"116","Awesomenauts","1,627,733 ±39,399","1,652,777 ±40,322","25,044","1.54%","$9.99","80% ($1.99)","88% (78%)"
"728","NARUTO SHIPPUDEN: Ultimate Ninja STORM 4","103,721 ±9,969","128,687 ±11,278","24,966","24.07%","$49.99","50% ($24.99)","73% (N/A)"
"422","Heroes of Might & Magic III - HD Edition","356,763 ±18,482","381,668 ±19,415","24,905","6.98%","$14.99","50% ($7.49)","60% (65%)"
"403","Wolfenstein: The Old Blood","372,046 ±18,874","396,914 ±19,799","24,868","6.68%","$19.99","50% ($9.99)","84% (76%)"
"248","Kingdoms of Amalur: Reckoning","741,085 ±26,622","765,921 ±27,487","24,836","3.35%","$19.99","75% ($4.99)","88% (81%)"
"77","Trine 2","2,476,048 ±48,527","2,500,873 ±49,533","24,825","1%","$19.99","85% ($2.99)","96% (84%)"
"247","Need for Speed: Hot Pursuit","747,098 ±26,729","771,864 ±27,593","24,766","3.31%","$19.99","75% ($4.99)","81% (86%)"
"344","Commandos 2: Men of Courage","477,772 ±21,384","502,345 ±22,270","24,573","5.14%","$3.99","85% ($0.59)","85% (87%)"
"496","Slime Rancher","254,544 ±15,614","279,080 ±16,605","24,536","9.64%","$19.99","20% ($15.99)","95% (N/A)"
"176","Dragon Age: Origins - Ultimate Edition","1,051,249 ±31,692","1,075,752 ±32,560","24,503","2.33%","$29.99","75% ($7.49)","93% (91%)"
"945","HomeBehind","47,601 ±6,754","72,095 ±8,442","24,494","51.46%","$5.99","22% ($3.11)","91% (N/A)"
"760","The Chosen RPG","94,702 ±9,526","119,126 ±10,851","24,424","25.79%","$1.99","75% ($0.49)","67% (N/A)"
"371","Thief 2","436,684 ±20,445","460,999 ±21,335","24,315","5.57%","$6.99","75% ($1.74)","95% (87%)"
"568","Invisible, Inc.","189,655 ±13,479","213,961 ±14,540","24,306","12.82%","$19.99","66% ($6.79)","93% (82%)"
"264","Far Cry 4","696,740 ±25,815","720,958 ±26,670","24,218","3.48%","$39.99","50% ($19.99)","76% (80%)"
"195","Europa Universalis IV","932,996 ±29,862","957,143 ±30,718","24,147","2.59%","$39.99","75% ($9.99)","91% (87%)"
"518","HELLDIVERS","241,015 ±15,194","265,126 ±16,185","24,111","10%","$19.99","40% ($11.99)","92% (83%)"
"91","Dead Space","2,132,312 ±45,058","2,156,415 ±46,021","24,103","1.13%","$19.99","75% ($4.99)","89% (86%)"
"740","Mordheim: City of the Damned","100,464 ±9,812","124,552 ±11,095","24,088","23.98%","$39.99","60% ($15.99)","70% (74%)"
"305","Out There Somewhere","568,967 ±23,333","593,046 ±24,193","24,079","4.23%","$14.99","90% ($0.49)","93% (N/A)"
"267","The Long Dark","690,978 ±25,708","715,015 ±26,560","24,037","3.48%","$19.99","66% ($6.79)","94% (N/A)"
"414","Beatbuddy: Tale of the Guardians","367,285 ±18,753","391,229 ±19,656","23,944","6.52%","$9.99","70% ($3.89)","78% (75%)"
"282","Watch_Dogs","653,899 ±25,010","677,804 ±25,861","23,905","3.66%","$29.99","60% ($11.99)","63% (77%)"
"1105","Neon Hardcorps","20,543 ±4,437","44,446 ±6,629","23,903","116.36%","$0.99","50% ($0.99)","45% (N/A)"
"418","Worms Clan Wars","364,530 ±18,682","388,387 ±19,585","23,857","6.54%","$24.99","85% ($3.74)","77% (73%)"
"290","Might & Magic: Heroes VI","617,321 ±24,302","641,110 ±25,153","23,789","3.85%","$19.99","50% ($9.99)","49% (77%)"
"309","Duke Nukem 3D: Megaton Edition","564,207 ±23,235","587,878 ±24,088","23,671","4.2%","$9.99","% ($0)","N/A (89%)"
"442","Morphopolis","324,945 ±17,640","348,592 ±18,556","23,647","7.28%","$1.99","75% ($0.49)","85% (N/A)"
"1109","Dungeon of Zolthan","20,543 ±4,437","44,187 ±6,609","23,644","115.1%","$0.99","0% ($0.99)","81% (N/A)"
"1149","Calcu-Late","11,775 ±3,359","35,401 ±5,916","23,626","200.65%","$0.99","51% ($0.49)","50% (N/A)"
"526","The Night of the Rabbit","224,480 ±14,664","248,071 ±15,656","23,591","10.51%","$19.99","90% ($4.99)","91% (75%)"
"548","Legend of Mysteria","206,692 ±14,071","230,241 ±15,083","23,549","11.39%","$1.99","75% ($0.49)","73% (N/A)"
"1091","The Last Photon","23,550 ±4,751","47,030 ±6,819","23,480","99.7%","$3.99","87% ($0.51)","77% (N/A)"
"1137","Mighty No. 9","15,282 ±3,827","38,761 ±6,190","23,479","153.64%","$19.99","0% ($19.99)","60% (51%)"
"252","Total War: ATTILA","737,578 ±26,559","761,011 ±27,399","23,433","3.18%","$44.99","75% ($11.24)","70% (80%)"
"182","FINAL FANTASY VII","992,373 ±30,794","1,015,802 ±31,642","23,429","2.36%","$11.99","0% ($11.99)","93% (N/A)"
"230","Thomas Was Alone","786,683 ±27,427","810,109 ±28,267","23,426","2.98%","$9.99","75% ($2.49)","95% (77%)"
"964","WWE 2K16","45,848 ±6,629","69,253 ±8,274","23,405","51.05%","$49.99","70% ($14.99)","66% (74%)"
"340","Dungeon of the Endless","488,044 ±21,613","511,389 ±22,469","23,345","4.78%","$11.99","66% ($4.07)","90% (79%)"
"1078","PulseCharge","26,556 ±5,045","49,872 ±7,022","23,316","87.8%","$0.99","51% ($0.49)","51% (N/A)"
"342","LEGO Lord of the Rings","485,037 ±21,546","508,288 ±22,401","23,251","4.79%","$19.99","75% ($4.99)","91% (80%)"
"578","Kingdom","187,150 ±13,390","210,344 ±14,417","23,194","12.39%","$9.99","50% ($4.99)","N/A (74%)"
"1061","You Must Build A Boat","28,811 ±5,255","51,940 ±7,166","23,129","80.28%","$4.99","66% ($1.69)","84% (71%)"
"487","Goodbye Deponia","266,820 ±15,986","289,933 ±16,924","23,113","8.66%","$19.99","85% ($2.99)","88% (80%)"
"752","METAL SLUG","98,961 ±9,738","121,968 ±10,980","23,007","23.25%","$7.99","50% ($3.99)","91% (N/A)"
"1249","The Technomancer","0 ±0","22,998 ±4,768","22,998","0%","$44.99","15% ($38.24)","N/A (N/A)"
"785","HunieCam Studio","85,933 ±9,074","108,789 ±10,370","22,856","26.6%","$6.99","34% ($4.61)","79% (N/A)"
"203","Warhammer 40,000: Dawn of War - Winter Assault","907,942 ±29,459","930,785 ±30,293","22,843","2.52%","$12.99","75% ($3.24)","90% (N/A)"
"479","RollerCoaster Tycoon: Deluxe","274,086 ±16,202","296,910 ±17,126","22,824","8.33%","$5.99","60% ($2.39)","94% (N/A)"
"1170","35MM","10,021 ±3,099","32,817 ±5,696","22,796","227.48%","$8.99","70% ($3.89)","73% (N/A)"
"998","Broken Dreams","41,338 ±6,294","64,085 ±7,959","22,747","55.03%","$1.99","50% ($0.99)","68% (N/A)"
"759","Sakura Angels","96,957 ±9,639","119,642 ±10,874","22,685","23.4%","$9.99","75% ($2.49)","86% (N/A)"
"788","Icewind Dale: Enhanced Edition","85,933 ±9,074","108,531 ±10,357","22,598","26.3%","$19.99","60% ($7.99)","86% (80%)"
"439","Trine 3: The Artifacts of Power","329,956 ±17,775","352,468 ±18,658","22,512","6.82%","$21.99","75% ($5.49)","66% (N/A)"
"440","The Hat Man: Shadow Ward","329,204 ±17,755","351,693 ±18,638","22,489","6.83%","$1.99","75% ($0.49)","71% (N/A)"
"323","FINAL FANTASY VIII","538,402 ±22,698","560,745 ±23,527","22,343","4.15%","$11.99","50% ($5.99)","89% (N/A)"
"777","Distance","89,691 ±9,271","111,890 ±10,516","22,199","24.75%","$19.99","50% ($9.99)","95% (N/A)"
"1048","Space Pilgrim Episode IV: Sol","31,317 ±5,478","53,490 ±7,272","22,173","70.8%","$1.99","75% ($0.49)","94% (N/A)"
