"isbn","title","authors","publishedDate","publisher","categories","pageCount","averageRating","ratingsCount","maturityRating","imageThumbnail","infoLink","textSnippet"
"044651652X","The Bridges of Madison County","Robert James Waller","1992","Hachette Digital, Incorporated","Fiction",88,4.5,3,"NOT_MATURE","http://books.google.com/books/content?id=70xHhAB9bpkC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=70xHhAB9bpkC&dq=isbn:044651652X&hl=&source=gbs_api","This is the story of Robert Kincaid, the photographer and free spirit searching for the covered bridges of Madison County, and Francesca Johnson, the farm wife waiting for fulfillment of a girlhood dream."
"0345443284","While I was Gone","Sue Miller","2000","Ballantine Books","Fiction",265,3,29,"NOT_MATURE","http://books.google.com/books/content?id=tn1JWa0K8wkC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=tn1JWa0K8wkC&dq=isbn:0345443284&hl=&source=gbs_api","Having moved on with her life after a friend was brutally murdered, Jo Becker is now married with a grown family, but when an old housemate moves into the neighborhood, Jo rekindles a relationship that takes her back to the past and ..."
"0440213525","The Client","John Grisham","1994","Dell Publishing Company","Fiction",566,3.5,3,"NOT_MATURE","http://books.google.com/books/content?id=xrgrFkmYNdQC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=xrgrFkmYNdQC&dq=isbn:0440213525&hl=&source=gbs_api","Eleven-year-old Mark Sway accidentally witnesses a murder and becomes the target of relentless prosecutors and the mob, and the only person who can save him is Reggie Love, an attorney barely out of law school. Reprint."
"006101351X","The Perfect Storm","Sebastian Junger","1998-06-03","HarperTorch","Nature",320,5,3,"NOT_MATURE","http://books.google.com/books/content?id=YJwXSXuM_nEC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=YJwXSXuM_nEC&dq=isbn:006101351X&hl=&source=gbs_api","October 1991. It was &quot;the perfect storm&quot;--a tempest that may happen only once in a century--a nor&#39;easter created by so rare a combination of factors that it could not possibly have been worse."
"0312291639","The Nanny Diaries","Emma McLaughlin, Nicola Kraus","2003-03-18","St. Martin's Griffin","Fiction",320,3,3657,"NOT_MATURE","http://books.google.com/books/content?id=lVbeWdRAYWAC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=lVbeWdRAYWAC&dq=isbn:0312291639&hl=&source=gbs_api","X and Nanny perform the age-old dance of decorum and power as they test the limits of modern-day servitude. Written by two former nannies, The Nanny Diaries deftly punctures the glamour of Manhattan&#39;s upper class."
"0375707972","The reader","Bernhard Schlink","1998","Vintage","Fiction",218,3.5,16,"NOT_MATURE","http://books.google.com/books/content?id=xSJcAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=xSJcAAAAMAAJ&dq=isbn:0375707972&hl=&source=gbs_api","At the age of fifteen, Michael Berg falls in love with a woman who disappears, and while observing a trial as a law student years later, he is shocked to discover the same woman as the defendant in a horrible crime"
"0385335482","Confessions of a Shopaholic","Sophie Kinsella","2001","Dial Press","Fiction",310,3,2946,"NOT_MATURE","http://books.google.com/books/content?id=IoPZCwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=IoPZCwAAQBAJ&dq=isbn:0385335482&hl=&source=gbs_api","Financial journalist Rebecca Bloomwood seeks solace from the boredom and pressures in life with her shopping, a solution that brings her close to financial disaster, until she encounters a story that will change her life."
"0060934417","Bel Canto","Ann Patchett","2002-04-01","Perennial","Fiction",336,4.5,3,"NOT_MATURE","http://books.google.com/books/content?id=1oi9PHYjLocC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=1oi9PHYjLocC&dq=isbn:0060934417&hl=&source=gbs_api","A novel that is as lyrical and profound as it is unforgettable, &quot;Bel Canto&quot; engenders in the reader the very passion for art and the language of music that its characters discover. A virtuoso performance by an important writer."
"0671510053","The Shipping News","Annie Proulx","1994-06-01","Scribner","Fiction",352,3.5,22,"NOT_MATURE","http://books.google.com/books/content?id=FlIFerZLBLUC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=FlIFerZLBLUC&dq=isbn:0671510053&hl=&source=gbs_api","Winner of the Pulitzer Prize, Anne Proulx’s The Shipping News is a vigorous, darkly comic, and at times magical portrait of the contemporary North American family."
"0440224764","The Partner","John Grisham","1998","Dell","Fiction",468,3.5,23,"NOT_MATURE","http://books.google.com/books/content?id=07KIj2s9GzYC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=07KIj2s9GzYC&dq=isbn:0440224764&hl=&source=gbs_api","Thought killed in a car accident four years earlier, Patrick Lanigan is discovered living in Brazil under the name of Danilo Silva and presumably in possession of millions of dollars missing from his former firm&#39;s offshore account For the ..."
