"gameName","votes","isListedOnMSSite","isOnXboxOne","isBCCompatible","isExclusive","isKinectSupported","isConsoleExclusive","isKinectRequired","gameUrl","releaseDate","numberOfReviews","DLthemes","developer","DLgameVideos","DLsmartglass","DLgamerPictures","highresboxart","DLavatarItems","ESRBRating","DLgameAddons","gamesOnDemandorArcade","price","genre","publisher","xbox360Rating","hasDemoAvailable","isAvailableToPurchaseDigitally","comments","isInProgress","reviewScorePro","reviewScoreUser","usesRequiredPeripheral","predicted_isBCCompatible"
"The Bluecoats  North vs South",1159.26521756043,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/The-Bluecoats-North-vs-South/66acd000-77fe-1000-9115-d8025841142b?PageSize=60&Page=1&SortBy=BestSelling",935,82,0,"2015 Anuman Interactive",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d8025841142b/1033/boxartlg.jpg",0,"E10 (Everyone 10+)",0,"Games on Demand",9.99,"Strategy & Simulation","Bandai Namco Entertainment",3.5,"TRUE","TRUE",27,"FALSE",62,6.4,"FALSE","FALSE"
"The Book of Unwritten Tales 2",2592.60557602623,"TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/The-Book-of-Unwritten-Tales-2/66acd000-77fe-1000-9115-d802354807de?PageSize=60&Page=1&SortBy=BestSelling",906,74,0,"King Art",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802354807de/1033/boxartlg.jpg",0,"T (Teen)",0,"Games on Demand",19.99,"Action & Adventure","THQ Nordic",3.75,"FALSE","TRUE",52,"FALSE",62,6.4,"FALSE","FALSE"
"The Bourne Conspiracy",1072,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/The-Bourne-Conspiracy/66acd000-77fe-1000-9115-d802565507d4?PageSize=60&Page=1&SortBy=BestSelling",95,8300,0,"High Moon Studios",2,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802565507d4/1033/boxartlg.jpg",0,"T (Teen)",0,"Retail Only",20.57,"Action & Adventure","Activision Blizzard",4,"TRUE","FALSE",29,"FALSE",68,6.9,"FALSE","FALSE"
"The Bridge",256,"TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/The-Bridge/66acd000-77fe-1000-9115-d80258411414?PageSize=60&Page=1&SortBy=BestSelling",782,1632,1,"Ty Taylor And Mario Castaneda",1,0,2,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d80258411414/1033/boxartlg.jpg",0,"E (Everyone)",0,"Games on Demand",9.99,"Puzzle & Trivia","Midnight City",4,"TRUE","TRUE",2,"FALSE",76,7.4,"FALSE","FALSE"
"The Bureau: XCOM Declassified",1018,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/The-Bureau/66acd000-77fe-1000-9115-d802545407dd?PageSize=60&Page=1&SortBy=BestSelling",751,7401,0,"2K Marin",2,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802545407dd/1033/boxartlg.jpg",0,"M (Mature)",3,"Games on Demand",19.99,"Shooter","2K Sports",4,"FALSE","TRUE",20,"FALSE",68,6.7,"FALSE","FALSE"
"The Chronicles of Narnia: Prince Caspian",360,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/Narnia-Prince-Caspian/66acd000-77fe-1000-9115-d802425607db?PageSize=60&Page=1&SortBy=BestSelling",92,4588,0,"Travellers Tales",1,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802425607db/1033/boxartlg.jpg",0,"T (Teen)",0,"Retail Only",17.42,"Action & Adventure","Walt Disney Company",3.5,"FALSE","FALSE",3,"FALSE",56,7.5,"FALSE","FALSE"
"The Club",592,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/The-Club/66acd000-77fe-1000-9115-d802534507dd?PageSize=60&Page=1&SortBy=BestSelling",86,5545,0,"Bizarre Creations Limited",2,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802534507dd/1033/boxartlg.jpg",0,"M (Mature)",0,"Retail Only",16.63,"Shooter","SEGA",3.5,"TRUE","FALSE",9,"FALSE",76,6.8,"FALSE","FALSE"
"The Conveni 200X",1721.05973897573,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product",11,13952.3163320771,0,"Unkown",0,0,0,"No Boxart",0,"eC (Early Childhood)",0,"Retail Only",20.76,"Unkown","Unkown",3.78,"FALSE","FALSE",38,"FALSE",64,6.7,"FALSE","FALSE"
"The Crew",629,"TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/The-Crew/66acd000-77fe-1000-9115-d802555308cb?PageSize=60&Page=1&SortBy=BestSelling",870,22889,0,"Ubisoft",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802555308cb/1033/boxartlg.jpg",0,"T (Teen)",18,"Retail Only",18.24,"Racing & Flying","Ubisoft",4.5,"FALSE","FALSE",8,"FALSE",60,6.2,"FALSE","FALSE"
"The Cursed Crusade",400,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/The-Cursed-Crusade/66acd000-77fe-1000-9115-d802415407d6?PageSize=60&Page=1&SortBy=BestSelling",536,3931,0,"Kylotonn Games",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802415407d6/1033/boxartlg.jpg",0,"M (Mature)",0,"Games on Demand",19.99,"Action & Adventure","SEGA",4,"TRUE","TRUE",6,"FALSE",39,4.4,"FALSE","FALSE"
"The Darkness",6127,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/The-Darkness/66acd000-77fe-1000-9115-d802545407ee?PageSize=60&Page=1&SortBy=BestSelling",50,20605,0,"Starbreeze",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802545407ee/1033/boxartlg.jpg",0,"M (Mature)",1,"Games on Demand",19.99,"Action & Adventure","2K Sports",4,"TRUE","TRUE",74,"FALSE",82,8.1,"FALSE","FALSE"
"The Darkness II",5580,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/The-Darkness-II/66acd000-77fe-1000-9115-d8025454088d?PageSize=60&Page=1&SortBy=BestSelling",578,22156,1,"Digital Extremes",6,0,3,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d8025454088d/1033/boxartlg.jpg",20,"M (Mature)",0,"Games on Demand",29.99,"Shooter","2K Sports",4.25,"TRUE","TRUE",34,"FALSE",80,7.5,"FALSE","FALSE"
"The Dishwasher: Dead Samurai",1850,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/The-Dishwasher/66acd000-77fe-1000-9115-d80258410902?PageSize=60&Page=1&SortBy=BestSelling",284,17068,1,"Ska Studios",1,0,2,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d80258410902/1033/boxartlg.jpg",0,"M (Mature)",0,"Games on Demand",9.99,"Action & Adventure","Microsoft",4.25,"TRUE","TRUE",14,"FALSE",75,7.8,"FALSE","FALSE"
"The Dishwasher: Vampire Smile",1549,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/The-Dishwasher-VS/66acd000-77fe-1000-9115-d80258410a21?PageSize=60&Page=1&SortBy=BestSelling",332,14581,1,"Ska Studios",2,0,3,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d80258410a21/1033/boxartlg.jpg",0,"M (Mature)",0,"Games on Demand",9.99,"Action & Adventure","Microsoft",4.25,"TRUE","TRUE",22,"FALSE",81,8.1,"FALSE","FALSE"
