"id","isBCCompatible"
"Love Football","TRUE"
"Lucha Libre AAA","TRUE"
"Lucidity","TRUE"
"Luxor 2","TRUE"
"Mad Riders","TRUE"
"Mad Tracks","TRUE"
"Madagascar 2","TRUE"
"Madagascar 3: The Video Game","TRUE"
"Madballs Babo:Invasion","TRUE"
"Madden NFL 06","TRUE"
"Madden NFL 07","TRUE"
"Madden NFL 08","TRUE"
"Madden NFL 09","TRUE"
"Madden NFL 10","TRUE"
"Madden NFL 11","TRUE"
"Madden NFL 12","TRUE"
"Madden NFL 13","TRUE"
"Madden NFL 15","TRUE"
"Madden NFL 16","TRUE"
"Madden NFL 17","TRUE"
"Madden NFL 25","TRUE"
"Madden NFL Arcade","TRUE"
"Mafia II","TRUE"
"Magic 2013","TRUE"
"Magic 2014 — Duels of the Planeswalkers","TRUE"
"Magic 2015","TRUE"
"Magic: The Gathering","TRUE"
"MagnaCarta II","TRUE"
"Magnacarta2","TRUE"
"Magrunner: Dark Pulse","TRUE"
"Majin and the Forsaken Kingdom","TRUE"
"Marathon: Durandal","TRUE"
"Mark of the Ninja","TRUE"
"Marlow Briggs and the Mask of the Death","TRUE"
"Mars Rover Landing","TRUE"
"Marvel Puzzle Quest: Dark Reign","TRUE"
"Marvel Super Hero Squad: Comic Combat","TRUE"
"Marvel: Ultimate Alliance","TRUE"
"Marvel: Ultimate Alliance 2","TRUE"
"Masquerade: Bauble of Doom","TRUE"
"Matt Hazard: Blood Bath and Beyond","TRUE"
"Max Payne 3","TRUE"
"Max: The Curse of Brotherhood","TRUE"
"Medal of Honor","TRUE"
"Medal of Honor Warfighter","TRUE"
"Medal of Honor: Airborne","TRUE"
"Meet the Robinsons","TRUE"
"MEGA MAN 10","TRUE"
"MEGA MAN 9","TRUE"
"MegaMind: Ultimate Showdown","TRUE"
"Mercenaries 2","TRUE"
"Mercury Hg","TRUE"
"Merv Griffin's Crosswords","TRUE"
"Merv Griffin's Xwords","TRUE"
"METAL GEAR RISING: REVENGEANCE","TRUE"
"Metal Gear Solid HD Collection","TRUE"
"METAL GEAR SOLID PEACE WALKER HD EDITION","TRUE"
"METAL GEAR SOLID V: GROUND ZEROES","TRUE"
"METAL GEAR SOLID V: THE PHANTOM PAIN","TRUE"
"METEOS WARS","TRUE"
"Metro 2033","TRUE"
"Metro: Last Light","TRUE"
"Michael Phelps: Push The Limit","TRUE"
