numLikes,location,image_urls,numComments,Class 1,Class 2,Class 3,Class 4,Class 5,score 1,score 2,score 3,score 4,score 5,Object 1,Object 2,Object 3,Object 4,Object 5,Prob 1,Prob 2,Prob 3,Prob 4,Prob 5
1132338,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/c0.134.1080.1080/14736216_209993139430238_2706146257692262400_n.jpg?ig_cache_key=MTM2OTgzMzA3MTYyMTAwNTgwMQ%3D%3D.2.c,5561,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus","lacewing, lacewing fly","long-horned beetle, longicorn, longicorn beetle",admiral,"cicada, cicala",0.968383551,0.007657692,0.003739801,0.001181043,0.000609772,butterfly,insect,invertebrate,wing,nature,0.99963164,0.9989792,0.9877633,0.9845788,0.98247254
862340,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/c0.134.1080.1080/14624743_361921770817312_2438268700764143616_n.jpg?ig_cache_key=MTM2OTY0MjEzNTcwNDE0MDg1Mg%3D%3D.2.c,4909,mask,wig,"feather boa, boa",ski mask,comic book,0.97705096,0.000870113,0.000646108,0.000622215,0.000319379,mask,fantasy,costume,art,illustration,0.9930041,0.990877,0.976501,0.9697643,0.95985854
1067694,Valencia,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/14709407_677988769048915_8335835638049800192_n.jpg?ig_cache_key=MTM2OTE2MjM1MDQwMjAxMTkzMg%3D%3D.2,6063,scabbard,bow,"quill, quill pen",ski mask,"letter opener, paper knife, paperknife",0.139651746,0.087136753,0.062788323,0.048778817,0.037974712,people,one,adult,exercise,motion,0.9892529,0.9749662,0.9711113,0.95495486,0.94208455
608838,"Hyderabad, India",http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/c0.134.1080.1080/14582342_100215953789614_3382784613913985024_n.jpg?ig_cache_key=MTM2OTEyNTU3NzczMTAwNzg1NQ%3D%3D.2.c,3721,crutch,"marimba, xylophone",chain,sarong,"panpipe, pandean pipe, syrinx",0.149265811,0.099322766,0.095899701,0.037404545,0.028519003,people,man,adult,woman,one,0.9951223,0.98581445,0.97745806,0.9559908,0.9496211
1037821,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/c0.59.1080.1080/14727552_1614548358838644_2475697408013500416_n.jpg?ig_cache_key=MTM2OTA5OTY1NzAyNDM4ODAxNQ%3D%3D.2.c,5533,thimble,"cellular telephone, cellular phone, cellphone, cell, mobile phone",Band Aid,"lipstick, lip rouge","lighter, light, igniter, ignitor",0.494609505,0.155006826,0.104021527,0.019640667,0.015666507,face,woman,painting,people,girl,0.98377204,0.98067427,0.9795869,0.9778296,0.9703905
710900,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/14596804_345107509170770_6593555568579837952_n.jpg?ig_cache_key=MTM2ODcxMDExMzM0NzM3NjcyMQ%3D%3D.2,5021,guillotine,throne,"teddy, teddy bear","rocking chair, rocker",mask,0.233311281,0.123899639,0.033758968,0.023379872,0.016431153,people,painting,child,traditional,woman,0.9469161,0.90661955,0.90210146,0.9008311,0.88959074
916463,Lynch Family Skatepark,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/14727581_1158023194235585_8866983420228534272_n.jpg?ig_cache_key=MTM2ODUxMDQ4Mjg5ODM3NjkxNg%3D%3D.2,4170,"unicycle, monocycle","bicycle-built-for-two, tandem bicycle, tandem","tricycle, trike, velocipede","mountain bike, all-terrain bike, off-roader",knee pad,0.737746656,0.162164077,0.005270577,0.003795069,0.002487383,recreation,exercise,motion,leisure,active,0.99480474,0.99479616,0.99250627,0.9894225,0.98406816
973337,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/c180.0.720.720/14676798_1847995928768989_8453003247827812352_n.jpg?ig_cache_key=MTM2ODE5MjA5MDc4MTg1NDE4Mw%3D%3D.2.c,5961,"cowboy hat, ten-gallon hat",hay,broom,sombrero,cowboy boot,0.43454203,0.129939467,0.052425269,0.020489629,0.0157177,fall,nature,outdoors,woman,fashion,0.9978606,0.9893195,0.96588814,0.9435369,0.93465966
684823,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/14733607_1670647176598088_4235807879593984000_n.jpg?ig_cache_key=MTM2NzcwNzM3MDU4NzY4NDM0MA%3D%3D.2,5139,"sandbar, sand bar","swimming trunks, bathing trunks",torch,bath towel,umbrella,0.088117041,0.080353417,0.024527008,0.024140336,0.023250047,beach,sand,sea,summer,fun,0.9984919,0.99696505,0.99378824,0.9936764,0.99316454
1394118,_Ò__„Û_¡ _ê__-_Ù_µ„â„Û_ü,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/14716430_1179019275523170_6562070305794162688_n.jpg?ig_cache_key=MTM2NzY1MTc1Mzk5OTAyNzY5Nw%3D%3D.2,6637,"cliff, drop, drop-off","valley, vale",alp,volcano,"promontory, headland, head, foreland",0.68192023,0.211880535,0.075386547,0.002640803,0.001738118,fog,mist,landscape,no person,winter,0.9939997,0.9871404,0.9795743,0.9771958,0.9751055
828908,Tompkins Square Park,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/14540617_1074643662603920_626965513255256064_n.jpg?ig_cache_key=MTM2NzU2ODc1ODQ2MjE5MDQ2OA%3D%3D.2,6096,Shih-Tzu,"Lhasa, Lhasa apso",toyshop,miniature schnauzer,"silky terrier, Sydney silky",0.612439036,0.150467932,0.033584852,0.02825442,0.026868805,festival,fun,carnival,people,animal,0.9912761,0.9891782,0.9845569,0.9721502,0.9614415
1111926,çÎÇ‹Å¨Œ__‹ÛÛ_ùÕŒ__çä©è»_ Cat Island Aoshima,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/c135.0.810.810/14693776_1849139805314886_104072761298649088_n.jpg?ig_cache_key=MTM2Njk4NDU3MjAwOTIxNjIyMw%3D%3D.2.c,7332,"Arctic fox, white fox, Alopex lagopus",weasel,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus","white wolf, Arctic wolf, Canis lupus tundrarum",mink,0.489693552,0.11935775,0.097562321,0.020782381,0.012698383,nature,water,no person,mammal,wildlife,0.9823848,0.9815146,0.97856164,0.9768979,0.9686042
764705,AtatÌ_rk Kent Park€± Manisa,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/14733489_857529724383645_1735036100319117312_n.jpg?ig_cache_key=MTM2NjkyNjkxNTM3MDE2NzQzMg%3D%3D.2,4432,"greenhouse, nursery, glasshouse",pole,"horizontal bar, high bar","pirate, pirate ship","prison, prison house",0.171889395,0.042333502,0.033810895,0.033693131,0.031947773,industry,urban,no person,expression,city,0.97927445,0.96435726,0.9626764,0.9608361,0.9542997
1101280,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/14677458_842630052539829_5462463565967392768_n.jpg?ig_cache_key=MTM2Njc0MjM3Nzg1NTQ2Mjc2Ng%3D%3D.2,6253,Band Aid,"lighter, light, igniter, ignitor",thimble,"pick, plectrum, plectron",lotion,0.942082644,0.007648726,0.003615029,0.002594666,0.002270462,hand,people,woman,girl,fish,0.96278024,0.9627186,0.9557455,0.9374287,0.91523075
814181,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/14449326_1141115429311438_6300815171824648192_n.jpg?ig_cache_key=MTM2NjIzNzA0MDgxMTEzMzE1Ng%3D%3D.2,5708,comic book,wall clock,altar,toyshop,padlock,0.746340036,0.046903662,0.017196706,0.013865138,0.010718635,art,artistic,culture,religion,traditional,0.9855113,0.97244465,0.9657513,0.9638432,0.9424414
1031264,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/c0.134.1080.1080/14574282_1093073940808465_3582477666642558976_n.jpg?ig_cache_key=MTM2NjAxNzYyMjY1MDUzMjk2NA%3D%3D.2.c,5673,tray,"bakery, bakeshop, bakehouse",bottlecap,plate,"buckeye, horse chestnut, conker",0.247682616,0.201223537,0.108503833,0.093620166,0.01144294,no person,food,wood,desktop,table,0.9786972,0.9707407,0.9647628,0.9535175,0.91736907
849929,Eastern State Penitentiary,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/14718466_360318154304311_183777059275800576_n.jpg?ig_cache_key=MTM2NTQ3MzA2NTk3MDM0ODI2Ng%3D%3D.2,5950,barber chair,vault,"prison, prison house",cliff dwelling,barbershop,0.341800451,0.248296499,0.096675143,0.031468995,0.015169732,architecture,building,no person,people,tunnel,0.9917762,0.9753594,0.97508395,0.9739366,0.9736409
929970,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/c0.134.1080.1080/14718340_327996870898340_1438883901803069440_n.jpg?ig_cache_key=MTM2NTQyMDU1MTY5ODY1MDQ0MA%3D%3D.2.c,5140,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour",wig,"wool, woolen, woollen","lipstick, lip rouge",cardigan,0.196915925,0.08538311,0.066810831,0.058840368,0.047308769,woman,portrait,fashion,girl,beautiful,0.9942622,0.9915594,0.991482,0.989957,0.9827691
836752,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/c181.0.718.718/14719625_1205658996159301_8340990625302183936_n.jpg?ig_cache_key=MTM2NTI5MjkxMTU3ODU4NjM3NQ%3D%3D.2.c,4140,barn,"mobile home, manufactured home","lakeside, lakeshore","worm fence, snake fence, snake-rail fence, Virginia fence","maze, labyrinth",0.1551411,0.090203144,0.072454527,0.040790606,0.02533127,tree,wood,no person,nature,outdoors,0.98812246,0.9870344,0.98137254,0.9735203,0.9631304
1009249,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/14718234_196606340775580_2520122870391111680_n.jpg?ig_cache_key=MTM2NDgzNzIzOTM1NjM0Njg0MQ%3D%3D.2,5323,vault,cliff dwelling,"prison, prison house",triumphal arch,"cliff, drop, drop-off",0.430393964,0.151123852,0.019057233,0.017422752,0.009935657,no person,abandoned,window,empty,travel,0.9945967,0.992224,0.9703281,0.9603712,0.95239675
720114,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/14709544_1125985880803154_5351278360301404160_n.jpg?ig_cache_key=MTM2NDczNjczNzQ0MDQwNTAyMw%3D%3D.2,3329,stage,digital clock,"microphone, mike",torch,"spotlight, spot",0.568055272,0.026508002,0.025616871,0.021691011,0.019708985,performance,music,concert,musician,singer,0.9988076,0.9980656,0.9952475,0.9937402,0.991887
680732,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/c0.114.1080.1080/14540401_684202005070979_6179190159087501312_n.jpg?ig_cache_key=MTM2NDU2NjIxNzcyNTk4NTI4Nw%3D%3D.2.c,4592,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour",wig,"feather boa, boa",mask,"breastplate, aegis, egis",0.679439723,0.034149081,0.022997953,0.022112001,0.010019064,fashion,veil,dark,costume,mask,0.98428154,0.97202927,0.9711938,0.96847415,0.96314144
550013,Sharjah Art Foundation,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/14733485_1198447933532480_6696869705510027264_n.jpg?ig_cache_key=MTM2NDA1MzAxMjkyMjUxODUxOQ%3D%3D.2,4459,"bobsled, bobsleigh, bob","wardrobe, closet, press",ski,sliding door,stretcher,0.197397351,0.115277536,0.109756641,0.03570864,0.025479909,people,man,adult,one,travel,0.9919878,0.9761596,0.9669826,0.94116193,0.91664374
