,psraid,state,density,igender,irace,sex,qp2,age,q5,q29a,q29b,q29c,educ2,race3m1,income,party,ideo
66,100326,Texas,4,Female,White,Female,[VOL. DO NOT READ] Don't know/Refused,99,Middle class,More likely,More likely,More likely,High school graduate (Grade 12 with diploma or GED certificate),"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",(VOL. DO NOT READ) Don't know/Refused,Independent,Conservative
67,100328,Illinois,3,Male,Hispanic,Female,"Barack Obama, the Democrat [OR]",40,Lower-middle class,No opinion/Don't know enough to say,No opinion/Don't know enough to say,More likely,High school graduate (Grade 12 with diploma or GED certificate),"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","40 to under $50,000",Democrat,Very liberal?
68,100337,Maryland,4,Female,Hispanic,Female,"Barack Obama, the Democrat [OR]",33,Upper class,Less likely,Less likely,More likely,Two year associate degree from a college or university,"Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)","40 to under $50,000",Democrat,Very liberal?
69,100338,New York,5,Female,Black or African-American,Male,[VOL. DO NOT READ] Don't know/Refused,39,Lower class,No opinion/Don't know enough to say,No opinion/Don't know enough to say,More likely,High school graduate (Grade 12 with diploma or GED certificate),"Refused (e.g., non-race answers like American, Human, purple) (VOL.)","20 to under $30,000",Independent,Very liberal?
70,100339,Indiana,1,Female,White,Male,"Barack Obama, the Democrat [OR]",23,Middle class,No opinion/Don't know enough to say,No opinion/Don't know enough to say,More likely,High school graduate (Grade 12 with diploma or GED certificate),"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","50 to under $75,000",Independent,Moderate
71,100341,Virginia,4,Female,Don't know/Refused (VOL.),Male,[VOL. DO NOT READ] Don't know/Refused,39,Lower-middle class,Less likely,Refused (VOL.),More likely,High school graduate (Grade 12 with diploma or GED certificate),"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","100 to under $150,000",Independent,Moderate
72,100345,Texas,4,Female,Black or African-American,Female,"Mitt Romney, the Republican",42,Upper-middle class,No opinion/Don't know enough to say,More likely,Less likely,"Some college, no degree (includes community college)",Native American/American Indian/Alaska Native (VOL.),(VOL. DO NOT READ) Don't know/Refused,Independent,Moderate
73,100347,South Carolina,1,Female,White,Male,"Mitt Romney, the Republican",44,Lower-middle class,The Same/No difference (VOL.),Refused (VOL.),Refused (VOL.),High school graduate (Grade 12 with diploma or GED certificate),"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","40 to under $50,000",Democrat,"Liberal, OR"
74,100355,Connecticut,4,Female,White,Male,[VOL. DO NOT READ] Don't know/Refused,65,Upper-middle class,The Same/No difference (VOL.),More likely,The Same/No difference (VOL.),"Postgraduate or professional degree, including master’s, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","$150,000 or more",Independent,Moderate
75,100362,Oregon,1,Female,Black or African-American,Female,[VOL. DO NOT READ] Don't know/Refused,54,Middle class,More likely,More likely,Less likely,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","30 to under $40,000",Democrat,Moderate
76,100364,Michigan,3,Female,Black or African-American,Female,"Barack Obama, the Democrat [OR]",22,Middle class,Less likely,More likely,More likely,"Four year college or university degree/Bachelor’s degree (e.g., BS, BA, AB)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","50 to under $75,000",Independent,Moderate
77,100368,New York,5,Female,Hispanic,Female,"Barack Obama, the Democrat [OR]",67,Middle class,Less likely,More likely,More likely,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","30 to under $40,000",Democrat,Very liberal?
78,100370,Texas,4,Male,Black or African-American,Male,"Mitt Romney, the Republican",22,Middle class,More likely,More likely,More likely,"Four year college or university degree/Bachelor’s degree (e.g., BS, BA, AB)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","$150,000 or more",Independent,Moderate
79,100372,Illinois,5,Male,Black or African-American,Female,"Barack Obama, the Democrat [OR]",76,Middle class,Less likely,More likely,More likely,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","40 to under $50,000",Independent,Moderate
80,100376,Idaho,2,Female,Black or African-American,Female,"Barack Obama, the Democrat [OR]",50,Lower-middle class,Less likely,More likely,More likely,"Some college, no degree (includes community college)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","40 to under $50,000",Democrat,"Liberal, OR"
81,100379,Florida,3,Female,Black or African-American,Male,[VOL. DO NOT READ] Other candidate,78,Middle class,Less likely,More likely,More likely,Two year associate degree from a college or university,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","20 to under $30,000",No preference (VOL.),Moderate
82,100387,New York,1,Male,Black or African-American,Female,"Mitt Romney, the Republican",75,Middle class,No opinion/Don't know enough to say,No opinion/Don't know enough to say,More likely,"Four year college or university degree/Bachelor’s degree (e.g., BS, BA, AB)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","30 to under $40,000",Independent,"Liberal, OR"
83,100388,Texas,3,Female,Black or African-American,Female,"Barack Obama, the Democrat [OR]",87,Middle class,Less likely,The Same/No difference (VOL.),More likely,"Four year college or university degree/Bachelor’s degree (e.g., BS, BA, AB)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","30 to under $40,000",Democrat,Moderate
84,100390,Louisiana,4,Female,Black or African-American,Male,"Barack Obama, the Democrat [OR]",60,Middle class,No opinion/Don't know enough to say,More likely,More likely,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","Asian or Asian-American (e.g., Asian Indian, Chinese, Filipino, Vietnamese or other Asian origin groups)","100 to under $150,000",Democrat,Moderate
85,100391,Ohio,1,Male,Hispanic,Female,"Mitt Romney, the Republican",42,Middle class,No opinion/Don't know enough to say,More likely,No opinion/Don't know enough to say,High school graduate (Grade 12 with diploma or GED certificate),"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","75 to under $100,000",Republican,Conservative
86,100392,Texas,4,Female,Don't know/Refused (VOL.),Female,"Barack Obama, the Democrat [OR]",79,Lower-middle class,Less likely,Less likely,More likely,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),"Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)","Less than $10,000",Democrat,Conservative
