review_count,style_score,brewer,wgt_avg,beer_img,state,beer_rank,overall_score,beer_style,beer_name,abv,est_cal,mean,ibu,beer_desc
381,99,Three Floyds Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_207415.jpg",INDIANA,12,100,Imperial IPA,Three Floyds Permanent Funeral,10.5%,315,/,100,The wolf inside this pale ale is trying to walk upright. This bright and aromatic beer was brewed with our friends in the band Pig Destroyer.
42,95,Three Floyds Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_329478.jpg",INDIANA,11,100,Imperial Stout,Three Floyds Dark Lord Russian Imperial Stout (Aquavit Barrel Aged),,,/,,
2318,100,Three Floyds Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_1432.jpg",INDIANA,10,100,American Pale Ale,Three Floyds Alpha King,6.5%,195,/,66,"Big American Pale Ale with citrusy aroma- a hop lover’s cult beer and Three Floyds’ flagship beer Brewed with Cenntennial, Cascade & Warrior Hops."
74,96,Three Floyds Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_143744.jpg",INDIANA,9,100,Imperial Stout,Three Floyds Bourbon Barrel Aged Dark Lord De Muerte,,,/,450,Dark Lord aged in bourbon barrels with ancho and guajillo peppers
309,96,Three Floyds Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_158523.jpg",INDIANA,8,100,Imperial Stout,Three Floyds Baller Stout,,,/,414,"Three Floyd’s 15th Anniversary beer. A blend of Dark Lord, Surly Darkness, De Struise Black Albert, and Mikkeller Beer Geek Brunch"
25,96,Three Floyds Brewing Company,4.02,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_329476.jpg",INDIANA,7,100,Imperial Stout,Three Floyds Dark Lord Russian Imperial Stout (Cognac Coffee),,,4.18/5.0,,"Dark Matter took Cognac barrels and aged beans in them, then we took those barrels and aged Dark Lord for one year in the barrels. We added fresh ground coffee to the beer before bottling."
1192,100,Three Floyds Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_6055.jpg",INDIANA,6,100,Barley Wine,Three Floyds Behemoth,12%,360,/,,"Huge sweet body, big flavors and high alcohol levels, this beer is best enjoyed by a raging fire.  Complex caramel sweetness is well balanced by generous hopping, delivering an intense, smooth drinking experience.  Intense fruity caramel malts, citrus hops, and alcohol notes waft up to tickle your senses."
1355,100,Three Floyds Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_135404.jpg",INDIANA,5,100,American Pale Ale,Three Floyds Zombie Dust,,50,/,,"A medium bodied single hop pale ale showcasing Citra hop from the Yakima Valley, U.S.A."
2148,100,Three Floyds Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_8933.jpg",INDIANA,4,100,Imperial IPA,Three Floyds Dreadnaught Imperial IPA,9.5%,285,/,100,"A hophead’s dream beer. This Imperial India Pale Ale has an opening salvo of mango, peach and citrus hop aromas that sit atop a pronounced caramel malt backbone. Although Dreadnaught is a strong and intensely hoppy ale, its complex flavors is both smooth and memorable.  9.5% ABV, 100 IBUs."
1818,100,Three Floyds Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_15917.jpg",INDIANA,3,100,Imperial Stout,Three Floyds Dark Lord Russian Imperial Stout,15%,450,/,,"A Demonic Imperial Russian stout brewed
with Dark Matter Coffee coffee,vanilla, and molasses."
411,100,Three Floyds Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_58590.jpg",INDIANA,2,100,Imperial Stout,Three Floyds Dark Lord Russian Imperial Stout (Bourbon Barrel Aged),15%,450,/,,Dark Lord aged in a variety of Bourbon barrels including Woodford Reserve and Heaven Hill.
417,100,Three Floyds Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_86808.jpg",INDIANA,1,100,Imperial Stout,Three Floyds Dark Lord Russian Imperial Stout (Bourbon Vanilla Bean),,,/,420,Dark Lord Russian Imperial Stout aged in a variety of Bourbon barrels with vanilla beans.
123,53,Grand Teton Brewing Co.,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_152530.jpg",IDAHO,24,94,Imperial Porter,Grand Teton Wake Up Call Imperial Coffee Porter,,40,/,,"Wake Up Call Imperial Coffee Porter has a distinct and robust coffee flavor that blends harmoniously with the roasted malts. Caramel, chocolate, and black malts give this ale its dark color and overtones of caramel and a cocoa-like sweetness. Only very gently hopped, the addition of coffee shines through, providing a delicious accent to this brew."
18,45,Woodland Empire Ale Craft,3.6,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_311904.jpg",IDAHO,23,94,Imperial Stout,Woodland Empire Beast Moans,10%,300,3.74/5.0,65,Cherrywood smoked imperial stout
27,97,Laughing Dog Brewing,3.59,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_94526.jpg",IDAHO,22,94,American Pale Ale,Laughing Dog Hop Dog Harvest Pale Ale,6.2%,186,3.69/5.0,,"Hop Dog is a fresh Hop pale ale. Brewed once a year at harvest season, it is a Light hoppy pale ale with lots of green grassy hop notes."
14,94,Sockeye Brewing,3.73,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_21552.jpg",IDAHO,21,94,Abbey Tripel,Sockeye Big Creek Trappist,,,3.95/5.0,204,"This Belgian style pale ale is brewed using yeast from one of the six trappist breweries remaining in the world. It boasts a sweet yet smooth maltiness. This beer was the recipient of the 2003 Silver Medal from the North American Brewers Association.

This beer is also known as Triple Pie Ale at"
13,74,Barbarian Brewing,3.62,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_387814.jpg",IDAHO,20,94,Imperial IPA,Barbarian Big Bad Funky Wolf ,9%,270,3.82/5.0,85,The funky sister of Big Bad Wolf that was fermented in oak barrels with 100% Brettanomyces; this gives the beer hints of tropical and citrus fruit mixed with a little barnyard funk.
287,84,Grand Teton Brewing Co.,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_109856.jpg",IDAHO,19,95,American Strong Ale,Grand Teton Pursuit of Hoppiness,,100,/,,"Pursuit of Hoppiness was brewed to showcase the brash beauty of American hops: Summit, Simcoe, Chinook and Nuggets at 100 International Bitterness Units (IBU). It was brewed with Idaho 2-Row malted barley and German specialty malts to provide a rich, slightly caramel flavor and bold reddish color. At 22 degrees Plato starting gravity and about 8% alcohol by volume, this is a perfect autumn beer, thick and warming, to be shared and savored on a crisp fall evening."
160,87,Grand Teton Brewing Co.,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_128367.jpg",IDAHO,18,95,Black IPA,Grand Teton Trout Hop Black IPA,8.5%,255,/,,"Trout Hop is brewed with Idaho 2-Row Brewers’ Malt and German specialty
malts and has a deep, rich color and roasted finish without the thick and
malty body that often accompanies dark beers.  It is kettle hopped and dry
hopped with Pacific Northwest hops, resulting in bold and intense bitterness
and piney, zesty aroma.  The full body and dry finish create a refreshing
autumn ale, perfect for any crisp afternoon or cool evening.  The spicy hopsof this ale complement rich, flavorful foods. Chocolate mole enchiladas, Indian and Thai curries, and barbeque ribs will accompany nicely."
87,77,Selkirk Abbey Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_175789.jpg",IDAHO,17,95,Imperial IPA,Selkirk Abbey Infidel,,,/,246,"Belgian IPA:  It’s not for the masses, it’s for you. Rejecting traditional brewing dogma, the Infidel challenges the notion of beers fitting neatly into established style guidelines. The assertive, citrus hoppiness of an American IPA unites with the traditional spicy notes of a Belgian Pale Ale to create a bold, beautiful, palate-pleasing brew."
221,63,Laughing Dog Brewing,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_140139.jpg",IDAHO,16,95,Imperial Porter,Laughing Dog Anubis Imperial Coffee Porter,,34,/,,"A complex Imperial Coffee Porter made with Evans Brothers cold-pressed coffee. Subtle chocolate, and coffee notes are balanced by black malt bitterness and malt sweetness."
426,79,Laughing Dog Brewing,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_130627.jpg",IDAHO,15,95,Imperial IPA,Laughing Dog Sneaky Pete Imperial IPA,10%,300,/,89,"Sneaky Pete is a blend of five hop types: Simcoe, Glacier, Centennial, Vanguard and Hallertuaer, with Simcoe playing the dominate role at 30%.  In addition, three separate malts were used: Honey Malt, Rye Malt, and Munich Malt.  The brew has a copious aroma of white grapefruit, citrus overtones, a complex rich middle and long flavors in the finish; a real beauty.  Finished with wild clover honey."
113,95,Sockeye Brewing,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_19458.jpg",IDAHO,14,95,India Pale Ale (IPA),Sockeye Dagger Falls IPA,,,/,195,"This medal winning India Pale Ale is brewed in the true 
Northwest fashion. It has an intense hop flavor and aroma with a dry bitter finish. It definitely has enough hops to ""send you over the edge."""
90,99,Grand Teton Brewing Co.,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_164126.jpg",IDAHO,13,95,Schwarzbier,Grand Teton 5 O’Clock Shadow,,38,/,,"We have taken the traditional Schwarzbier, intended to be a ""session beer"" with typically moderate alcohol, and almost doubled its strength to 7.6% alcohol by volume. We brewed our version with a fine balance of crystal and roasted malts and spiced it with noble hops. We fermented 5 O’Clock Shadow at cold temperatures with a select German lager yeast and cold-conditioned it for over four months to create a velvety smooth, easy-drinking springtime brew."
25,96,Woodland Empire Ale Craft,3.67,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_251316.jpg",IDAHO,12,96,Sweet Stout,Woodland Empire Cozy Up Big Ol’ Milk Stout,8%,240,3.78/5.0,23,
346,84,Laughing Dog Brewing,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_63594.jpg",IDAHO,11,96,Imperial IPA,Laughing Dog Devil Dog Imperial IPA,,98,/,,"The Devil Dog will chew you up and leave you whimpering for more,
At 98 IBU’s and 5.2 pounds of hops to the barrel it is an all out assault on the senses.
 
Devil Dog Started as a labor of love but quickly took on a life of its own, leaving us drooling like Pavlov’s dogs at the mere mention of its name.

Triple dry hopped and at 10% ABV, more than one of these bad boys will cause you to howl at passing strangers and chew up your toys, or anything else you can get your sharp little teeth on.

Hops: Columbus, Northern Brewer, Ahtanum, Cascade and Simcoe
Malt: Pale, Carmel and Munich"
22,81,Sockeye Brewing,3.65,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_46633.jpg",IDAHO,10,96,Imperial IPA,Sockeye Hopnoxious Imperial IPA,,170,3.78/5.0,,"A double IPA with intense hop aroma and flavor and an equally commanding bitterness. We use six different varieties of hops including Chinook, Warrior, Zeus, Magnum, Apollo, and Bravo. Its meant to be consumed at its freshest state."
89,97,Grand Teton Brewing Co.,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_116073.jpg",IDAHO,9,96,Scotch Ale,Grand Teton Sheep Eater Scotch Ale,7.5%,225,/,,"Sheep Eater Scotch Ale was brewed to showcase the role of malt in the flavor of beer and brewed in strict adherence to the Reinheitsgebot, or German Beer Purity Law."
13,58,Payette Brewing Company,3.69,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_206813.jpg",IDAHO,8,96,Imperial Stout,Payette 12 Gauge Imperial Stout,,,3.91/5.0,300,
12,95,Grand Teton Brewing Co.,3.69,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_396861.jpg",IDAHO,7,96,Saison,Grand Teton Brewers Series No. 2 - Brett Saison,6.2%,186,3.93/5.0,,"Grand Teton Brewing’s second release in their Brewers’ Series in bottles is a Dry Hopped Brett Saison aged in wine barrels. Starting with a Saison using traditional malts and hops, the brewers then pitched a simple yet complex strain of yeast: Brettanomyces Drei (Brett).

After the beer fermented to a low gravity resulting in a crisp, clean and dry beer, Grand Teton brewers transferred it to wine barrels where it aged for nine months. A few weeks before packaging, a blend of hops at a rate of 5 pounds per wooden barrel was added. The live Brett in this beer, as well as the generous amounts of unique and flavorful hops, makes this a great beer to drink fresh. It may also be cellared to further develop for years to come."
315,63,Laughing Dog Brewing,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_96281.jpg",IDAHO,6,97,Imperial Stout,Laughing Dog The Dogfather Imperial Stout - Bourbon Barrel,10.85%,326,/,,This year’s Dogfather Imperial Stout will all be aged in charred bourbon barrels. Seven malt varieties and subtle hop additions give it a complex flavor profile.
23,64,Payette Brewing Company,3.71,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_242895.jpg",IDAHO,5,97,Imperial Stout,Payette 12 Gauge Imperial Stout - Barrel Aged,,,3.84/5.0,300,
15,89,Big Horn Brewing Boise (The Ram),3.71,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_283018.jpg",IDAHO,4,97,Imperial IPA,Big Horn Tres Amigos Tequila Aged Imperial IPA,12%,360,3.91/5.0,,"Its finally been done! Tom Charters, in collaboration with the ""Two Jakes"", Jake Schisel and Jake Talbot of The Ram, has finally brewed up a huge batch of this extremely popular beer. And it will be headed to GABF this year in the Pro-Am competition! An insane amount of hops (100+IBU’S) go into balancing out this 12% Imperial IPA. along with some aging time resting on Casa Noble Reposado Tequila soaked oak chips. This is your opportunity to come out and enjoy one of the most unique and flavorful beers you can get your hands on."
451,73,Grand Teton Brewing Co.,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_44790.jpg",IDAHO,3,98,Imperial Stout,Grand Teton Black Cauldron Imperial Stout,,43,/,,"This thick, rich ale was brewed with plenty of caramel and roasted malts, and subtly spiced with American Chinook and Willamette hops. It boasts flavors of chocolate and coffee, along with raisins and dried fruit soaked in sherry. We’ve accentuated the natural smokiness of the brew by adding a small amount of beechwood-smoked malt and aging the brew in an oak whiskey barrel, which also adds notes of oak and vanilla."
128,99,Grand Teton Brewing Co.,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_101134.jpg",IDAHO,2,98,Doppelbock,Grand Teton Double Vision Doppelbock,,40,/,,"Double Vision Doppelbock was first brewed in 2009 to highlight our brewery’s wonderful water.  
Like all the great traditional brewing towns, our home, Victor, Idaho, is in or near some of the 
world’s best barley- and hop-growing regions, and is distinguished by an ample supply of top-
quality water.

Our Double Vision Doppelbock is brewed with Idaho 2-Row Pale and German Munich, Cara-
Aroma, CaraMunich and de-husked Carafa malts to an original gravity of 22˚ Plato.  The malts 
provide a dark leather color with ruby notes, a luxurious tan head, and a bready aroma with 
a hint of smoke.  It is lightly spiced with German Hallertau Tradition hops and fermented with 
lager yeast from a monastery brewery near Munich.  In the traditional manner, Double Vision 
is fermented cold (48˚F) and lagered a full 12 weeks for smoothness.  At 8.0% alcohol by 
volume, it is a deceptively drinkable springtime warmer.

The 17th century Paulist monks of Munich were allowed no solid food during their twice-yearly 
fasts.  They brewed an especially nourishing strong dark lager they called “liquid bread” and 
named “Holy Father” to help them through the Lenten and Advent fasts.  The beer was known 
as a doppelbock, which signifies a strong lager.  Since “bock” also means “billy goat” in German, 
these beers are often decorated with images of gallivanting goats.  

Double Vision’s slightly burnt caramel flavor and malt sweetness make it an incredible match 
for game—venison, moose, duck, goose, and wild boar—especially when prepared with fruity 
sauces or reductions.  Try it with pork and sautéed apples, roasted root vegetables, sweet 
sausages, ham or prosciutto.  It’s wonderful with cheese and dessert, too.  Pair it with an aged 
gruyère, a caramel flan, or a crème brûlée."
21,82,Sockeye Brewing,3.81,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_221651.jpg",IDAHO,1,98,Imperial Stout,Sockeye Barrel Aged Seven Devils Imperial Stout,,,3.97/5.0,315,
193,82,Maui Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_200264.jpg",HAWAII,24,85,Stout,Maui Brewing Aloha B’ak’tun,,,/,210,"Sure.. the scientists have published essays, the philosophers poems, the naysayers flyers.. but here at the center of the Maui Brewing micro-verse, we are publishing the ultimate in doomsday aloha – this year’s last canned seasonal, Aloha B’ak’tun! The word aloha conveys both greeting and goodbye in the Hawaiian language and B’ak’tun refers to the 3000+year cycle of the Mayan Calendar which is ending. This apocalyptic Belgian-style stout is brewed with Hawaiian chocolate, locally-grown chipotle chilies and cinnamon spice."
11,39,Maui Brewing Company,3.35,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_133070.jpg",HAWAII,23,86,Black IPA,Maui Brewing Cascadian Dark Belgian Rye IPA,7.8%,234,3.69/5.0,75,
54,98,Maui Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_267409.jpg",HAWAII,22,86,Premium Lager,Maui Brewing Hop Kine,,57,/,,"IPL? Yes an ""India Pale Lager"". a hybrid style bring clear lager characteristics to pair with the hop character typical of an IPA."
84,83,Kona Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_17402.jpg",HAWAII,21,86,Porter,Kona Black Sand Porter,6.5%,195,/,40,"Black Sand Porter is a robust, full bodied porter with pronounced bittersweet chocolate flavor and aroma from the diverse variety of malt used to brew this beer. The hops balance the the maltiness of this robust and roasty ale."
10,83,Honolulu Beerworks,3.29,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_259889.jpg",HAWAII,20,86,Stout,Honolulu Beerworks South Shore Stout ,7.2%,216,3.66/5.0,60,
47,79,Big Island Brewhaus,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_152795.jpg",HAWAII,19,86,Belgian Strong Ale,Big Island Golden Sabbath,8.5%,255,/,30,"A Belgian-style strong golden ale with a wondrous range of fruit flavors like plum, apricot, and cherry imparted by special Belgian yeast. Traditionally served in special goblets this style of beer can turn an ordinary lunch into an extraordinary event and a slow Sunday afternoon into a special Golden Sabbath."
13,45,Maui Brewing Company,3.39,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_128451.jpg",HAWAII,18,86,Barley Wine,Maui Brewing Heaven & Hell Barleywine,11%,330,3.69/5.0,,Barleywine aged in Heaven Hill Whiskey barrels.
9,,Kona Brewing Company,3.4,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_133640.jpg",HAWAII,17,87,Porter,Kona Bourbon Barrel Aged Black Sand Porter,,40,3.84/5.0,,"Robust porter aged 6 months on a Makers Mark bourbon barrel. 40 IBUs, 6.5% ABV"
50,86,Big Island Brewhaus,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_152791.jpg",HAWAII,16,87,Porter,Big Island White Mountain Porter,5.8%,174,/,35,"A classic robust porter spiced with all-natural toasted coconut and award winning locally-grown and roasted Hamakua Coast White Mountain Coffee.  Black in color and crowned with a creamy, dark tan head, toasted coconut and roasted coffee aromas are followed by hints of rich, silky dark malt and chocolate; balanced with hoppy spice finish."
10,26,Maui Brewing Company,3.38,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_142891.jpg",HAWAII,15,88,Imperial Stout,Maui Brewing KGB Woody,9.8%,294,3.77/5.0,,Bourbon Barrel Aged KGB
9,,Kauai Island Brewing Company,3.46,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_190891.jpg",HAWAII,14,88,India Pale Ale (IPA),Kauai Island Captain Cook’s IPA,5.8%,174,3.68/5.0,67,"Created after the hoppy ales brewed in the 1700’s for the long journey from England to Hawaii, this Ale is one of our hoppiest beers ever using 15 pounds of hops for 155 gallons of beer."
134,48,Maui Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_136765.jpg",HAWAII,13,89,Imperial IPA,Maui Brewing Lorenzini Double IPA (6th Sense),,75,/,,Originally a collaboration with Pizza Port Ocean Beach.
1079,88,Kona Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_65278.jpg",HAWAII,12,89,Porter,Kona Pipeline Porter,,23,/,,"Pipeline Porter is smooth and dark with a distinctive roasty aroma and earthy complexity from its diverse blends of premium malted barley. This celebration of malt unites with freshly roasted 100% Kona coffee grown at Cornwell Estate on Hawaii’s Big Island, lending a unique roasted aroma and flavor. A delicate blend of hops rounds out this palate-pleasing brew."
17,76,Maui Brewing Company,3.43,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_157861.jpg",HAWAII,11,89,India Pale Ale (IPA),Maui Brewing Freight Trains IPA,,60,3.68/5.0,,
18,82,Big Island Brewhaus,3.52,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_230806.jpg",HAWAII,10,89,India Pale Ale (IPA),Big Island Holy Humulus ,6.9%,207,3.64/5.0,,
19,87,Maui Brewing Company,3.44,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_104600.jpg",HAWAII,9,90,Stout,Maui Brewing Shipwreck Stout,,,3.67/5.0,,
10,72,Big Island Brewhaus,3.55,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_238748.jpg",HAWAII,8,92,American Strong Ale,Big Island / Caldera Red Sea Imperial Red Gose,,,3.78/5.0,264,"Imperial red ale made with Himalayan pink salt, pink peppercorns, molasses, and natural chocolate."
907,93,Maui Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_36863.jpg",HAWAII,7,95,India Pale Ale (IPA),Maui Brewing Big Swell IPA,6.2%,186,/,82,"India Pale Ale was developed in Burton, England, as a ""Super-Premium"" 
hoppy pale ale around 1800. The extra strength in alcohol and hops helped preserve the beer on its 
long export journeys to India and beyond. The style developed a following worldwide. Its flavor begins 
with a smooth, malty creaminess followed with a big burst of dry-hop flavor from English Kent Golding 
Hops. It then finishes with a lingering yet pleasant bitterness."
51,95,Big Island Brewhaus,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_152792.jpg",HAWAII,6,96,India Pale Ale (IPA),Big Island Overboard IPA,6.9%,207,/,45,"(I.P.A). was developed in England around 1800; the extra strength in alcohol and hops helped preserve the beer on its long export journeys to India and beyond.  The style has developed a following worldwide. Ours begins with smooth, malty creaminess and a big burst of dry-hop flavor and aroma from a variety of American hops. It finishes with a lingering yet pleasant bitterness.  Is it Overboard? You decide."
55,83,Maui Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_72985.jpg",HAWAII,5,96,Imperial IPA,Maui Brewing Double Overhead IPA,,100,/,,"Double Overhead IPA is a fresh handcrafted double IPA featuring copious amounts of hops. Laden with hops from begining to end and not overly bitter, it’s hop aromas and flavours give hints of Guava, Passion Fruit, and orange spice which blend well with the silky malt flavours. ""Big braddah to the Big Swell IPA"""
1307,98,Maui Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_59330.jpg",HAWAII,4,96,Porter,Maui Brewing Coconut Hiwa Porter,6%,180,/,30,"Our Coconut Porter is a classic robust porter spiced with all natural toasted coconut.  It is black in color and crowned with a creamy, dark tan head.   It begins with a malty-toasted-coconut aroma followed by a rich, silky mouthfeel with tastes of dark malt, chocolate, and hints of coffee.  It then finishes with flavors of  toasted coconut and hoppy spice to balance the finish."
43,89,Kona Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_27711.jpg",HAWAII,3,97,Barley Wine,Kona Old Blowhole Barley Wine,,,/,375,"Tawny brown in color with an intense, rich, hearty malt flavor and warming characteristics. The bold maltiness is balanced by liberal                amounts of hops. Aged for a minimum of seven months before being tapped each year."
66,85,Maui Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_141678.jpg",HAWAII,2,98,Imperial Porter,Maui Brewing Imperial CoCoNut PorTeR,,30,/,,"Our Imperial Coconut Porter is a stronger version of robust porter spiced with all natural toasted coconut. It is black in color and crowned with a creamy, dark tan head. It begins with a malty-toasted-coconut aroma followed by a rich, silky mouthfeel with tastes of dark malt, chocolate, and hints of coffee. TCHO cocoa nibs were blended with the toasted coconut during the maturation process to intensify the aroma of coconut and dark chocolate."
50,77,Kona Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_23036.jpg",HAWAII,1,98,Imperial Stout,Kona Da Grind Buzz Kona Coffee Imperial Stout,8.3%,249,/,,"Da Grind Buzz Kona Coffee Imperial Stout is an assertive, rich and hearty dark stout complemented by freshly roasted
100 percent Kona coffee. The stout style is a Russian Imperial stout, historically brewed strong to survive its long
voyage from London to the Baltic region. Course ground dark roast 100 percent pure Kona coffee beans were added
to the brew during the aging process. The beans were grown and harvested by Cornwell Estate in Holualoa. The
brewers were able to watch freshly harvested beans being roasted before transporting them to the brewhouse and
adding them to the batch. The beer will be served on nitrogen, giving a smooth, creamy mouth-feel that complements
the roasted coffee flavor."
646,92,Terrapin Beer Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_46706.jpg",GEORGIA,24,98,Imperial IPA,Terrapin Rye Squared,8.5%,255,/,,"Double the malt, double the hops, and double the flavor of the original Rye Pale Ale recipe.  (Hence the name Rye Squared.)  With its mammoth hop aroma, bitterness and flavor, this beer is not for the faint at heart. The Rye Squared clocks in at a hefty 8.5% ABV so double your pleasure and double your fun because Terrapin went a little crazy with this one!
The first keg of Rye Squared went on tap at Tasty World in Athens on Monday April 25th 2005. A special thank you goes out to the newly formed Terrapin Keg Killers. We were told that Tasty World would put the Rye Squared on as soon as they finished off a keg of a ""Select"" beer they had on tap. When the Terrapin Keg Killers heard about this they went to Tasty world and finished off that other keg in record time. By 10pm on Monday they were enjoying the fruits of their labor when the first ever Rye Squared keg went online.

Malt: 2-row pale, Munich, Malted Rye, Bisuit Malt, Honey Malt.

Hops: Amarillo, Cascade, East Kent Goldings, Fuggle, Magnum"
59,75,Red Brick Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_223940.jpg",GEORGIA,23,98,Imperial Stout,Red Brick 20th Anniversary ,10%,300,/,,"20th Anniversary, Brick Mason Series #7, is an Imperial Stout aged in bourbon barrels. We are celebrating our milestone anniversary with a milestone beer that will be the strongest beer in brewery’s history. Rich chocolate and roasted flavors are balanced by sweet caramel malts. Bourbon barrels provide big bourbon notes supported by flavors of oak and vanilla. This beer commemorates Red Brick Brewing Company’s 20 year brewing tradition. And while we’re focused on the future, we’ll never forget our humble beginnings."
41,99,Wrecking Bar Brewpub,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_147964.jpg",GEORGIA,22,98,Stout,Wrecking Bar Jemmy American Stout,6.4%,192,/,42,"With 11 different grains used in the brewing process, this is one of the more complex stouts out there.  Several different roasted barleys, wheats, oats, and caramelized grains yield hints of bread, toffee, dark fruits, chocolate and coffee.  Just enough hops for balance, and a traditional English yeast for true stout character."
318,92,Terrapin Beer Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_121443.jpg",GEORGIA,21,98,Imperial IPA,Terrapin Side Project Hopzilla Double IPA,,110,/,,Terrapin Side Project 12 is none other than the fearless Hopzilla Double IPA. This hoptastic creature clocks in at 110 IBUs and has all the hop explosions of a B-rate monster movie.
