Variable,Factor,coef,std err,t,p,sig,Keep
cat113,cat113I,-7.37E-02,6.37E-02,-1.158,0.246947,,0
cat113,cat113J,7.91E-02,6.11E-02,1.295,0.195371,,0
cat113,cat113K,-4.22E-02,5.85E-02,-0.722,0.470238,,0
cat113,cat113L,-7.13E-02,6.23E-02,-1.144,0.252765,,0
cat113,cat113M,-9.63E-02,6.39E-02,-1.507,0.131764,,0
cat113,cat113N,3.03E-03,6.48E-02,0.047,0.962769,,0
cat113,cat113O,-2.29E-01,5.81E-01,-0.394,0.693377,,0
cat113,cat113Q,2.00E-02,6.31E-02,0.317,0.751271,,0
cat113,cat113S,-3.78E-02,6.42E-02,-0.59,0.555525,,0
cat113,cat113U,2.29E+00,8.68E-01,2.639,0.008324,**,1
cat113,cat113V,4.62E-01,9.32E-01,0.496,0.620168,,0
cat113,cat113X,-2.39E-02,5.88E-02,-0.407,0.684157,,0
cat113,cat113Y,-3.65E-02,6.07E-02,-0.601,0.547732,,0
cat114,cat114C,1.40E+00,1.33E+00,1.05,0.293678,,0
cat114,cat114D,1.07E+00,1.16E+00,0.922,0.356341,,0
cat114,cat114E,1.37E+00,1.33E+00,1.033,0.301676,,0
cat114,cat114F,1.14E+00,1.00E+00,1.138,0.255149,,0
cat114,cat114I,8.94E-01,6.75E-01,1.325,0.185267,,0
cat114,cat114J,1.17E+00,1.00E+00,1.167,0.243161,,0
cat114,cat114L,4.05E-01,3.59E-01,1.127,0.259614,,0
cat114,cat114N,8.76E-01,6.75E-01,1.299,0.194065,,0
cat114,cat114O,6.21E-03,1.69E-01,0.037,0.970621,,0
cat114,cat114Q,-5.84E-01,4.86E-01,-1.203,0.228954,,0
cat114,cat114R,4.64E-01,3.58E-01,1.294,0.195576,,0
cat114,cat114U,NA,NA,NA,NA,,0
cat114,cat114V,NA,NA,NA,NA,,0
cat115,cat115D,NA,NA,NA,NA,,0
cat115,cat115E,NA,NA,NA,NA,,0
cat115,cat115F,5.94E-01,4.20E-01,1.414,0.157462,,0
cat115,cat115G,3.90E-01,3.79E-01,1.03,0.303188,,0
cat115,cat115H,4.93E-02,3.59E-01,0.138,0.890632,,0
cat115,cat115I,1.09E-01,3.53E-01,0.307,0.758613,,0
cat115,cat115J,1.04E-01,3.51E-01,0.297,0.766654,,0
cat115,cat115K,4.68E-02,3.51E-01,0.134,0.893691,,0
cat115,cat115L,2.48E-02,3.50E-01,0.071,0.94365,,0
cat115,cat115M,7.08E-02,3.47E-01,0.204,0.838335,,0
cat115,cat115N,5.35E-02,3.46E-01,0.154,0.877331,,0
cat115,cat115O,3.46E-02,3.46E-01,0.1,0.920455,,0
cat115,cat115P,3.39E-02,3.46E-01,0.098,0.921953,,0
cat115,cat115Q,3.46E-02,3.47E-01,0.1,0.920471,,0
cat115,cat115R,9.14E-03,3.41E-01,0.027,0.978613,,0
cat115,cat115S,-6.29E-02,3.67E-01,-0.171,0.863962,,0
cat115,cat115T,-1.17E-01,5.08E-01,-0.23,0.817806,,0
cat115,cat115U,NA,NA,NA,NA,,0
cat115,cat115X,NA,NA,NA,NA,,0
cat116,cat116AC,2.99E-01,7.40E-01,0.404,0.686416,,0
cat116,cat116AF,NA,NA,NA,NA,,0
cat116,cat116AG,NA,NA,NA,NA,,0
cat116,cat116AJ,2.84E-02,8.39E-01,0.034,0.973046,,0
cat116,cat116AK,3.76E-01,1.14E+00,0.329,0.742193,,0
cat116,cat116AO,-2.10E-01,9.85E-01,-0.214,0.830829,,0
cat116,cat116AW,1.25E+00,7.32E-01,1.709,0.08739,.,0
cat116,cat116AX,-8.29E-02,4.27E-01,-0.194,0.846074,,0
cat116,cat116B,2.62E+00,1.25E+00,2.094,0.036272,*,1
cat116,cat116BA,6.40E-01,5.03E-01,1.273,0.203195,,0
cat116,cat116BD,1.37E-01,4.01E-01,0.341,0.732756,,0
cat116,cat116BO,-6.24E-01,9.95E-01,-0.627,0.530597,,0
cat116,cat116BP,-2.48E-01,9.76E-01,-0.254,0.799398,,0
cat116,cat116BQ,2.82E-01,1.07E+00,0.264,0.791728,,0
cat116,cat116BS,6.05E-01,7.14E-01,0.846,0.39732,,0
cat116,cat116BU,NA,NA,NA,NA,,0
cat116,cat116BV,-2.18E-01,1.61E-01,-1.35,0.17695,,0
cat116,cat116BW,NA,NA,NA,NA,,0
cat116,cat116BX,2.01E-01,1.24E+00,0.163,0.870909,,0
cat116,cat116BY,3.26E-01,7.13E-01,0.457,0.64774,,0
cat116,cat116CA,-2.02E-01,6.11E-01,-0.331,0.741009,,0
cat116,cat116CB,2.95E-01,7.09E-01,0.416,0.677199,,0
cat116,cat116CD,3.82E-01,7.22E-01,0.53,0.596201,,0
cat116,cat116CE,5.05E-01,7.88E-01,0.641,0.521499,,0
cat116,cat116CF,1.57E-02,1.25E+00,0.013,0.989984,,0
cat116,cat116CG,1.83E-01,1.24E+00,0.147,0.882825,,0
cat116,cat116CH,-1.94E-01,7.47E-01,-0.26,0.794685,,0
cat116,cat116CI,3.88E-01,7.09E-01,0.547,0.584324,,0
cat116,cat116CK,-1.59E-01,9.27E-01,-0.171,0.864187,,0
cat116,cat116CM,-1.64E-01,9.59E-01,-0.171,0.864457,,0
cat116,cat116CN,-8.98E-01,7.69E-01,-1.167,0.243063,,0
cat116,cat116CO,-2.02E-01,2.55E-01,-0.792,0.428298,,0
cat116,cat116CP,-2.09E-01,9.36E-01,-0.223,0.823197,,0
cat116,cat116CQ,-2.34E+00,1.22E+00,-1.919,0.05501,.,0
cat116,cat116CR,-2.16E-01,9.26E-01,-0.233,0.81592,,0
cat116,cat116CS,-1.34E-01,9.32E-01,-0.143,0.885947,,0
cat116,cat116CT,-3.30E-02,9.52E-01,-0.035,0.972329,,0
cat116,cat116CU,-2.79E-01,9.30E-01,-0.299,0.764584,,0
cat116,cat116CV,-3.90E-01,3.92E-01,-0.994,0.320131,,0
cat116,cat116CW,-4.41E-01,2.27E-01,-1.941,0.052247,.,0
cat116,cat116CX,-2.29E-02,7.61E-01,-0.03,0.975996,,0
cat116,cat116CY,1.03E-01,6.10E-01,0.168,0.866473,,0
cat116,cat116DA,-4.36E-01,9.71E-01,-0.45,0.653069,,0
cat116,cat116DC,-2.38E-01,9.27E-01,-0.257,0.797364,,0
cat116,cat116DD,-5.46E-01,7.64E-01,-0.715,0.474839,,0
cat116,cat116DE,-3.50E-01,1.15E+00,-0.304,0.761484,,0
cat116,cat116DF,4.51E-01,3.58E-01,1.261,0.207294,,0
cat116,cat116DG,6.89E-01,4.85E-01,1.419,0.155782,,0
cat116,cat116DH,3.24E-01,1.08E+00,0.301,0.763336,,0
cat116,cat116DI,3.84E-01,3.65E-01,1.051,0.293457,,0
cat116,cat116DJ,4.79E-01,3.55E-01,1.348,0.177709,,0
cat116,cat116DK,3.96E-01,3.69E-01,1.074,0.282809,,0
cat116,cat116DL,1.81E-01,7.35E-01,0.246,0.805554,,0
cat116,cat116DM,3.94E-01,4.40E-01,0.896,0.370293,,0
cat116,cat116DN,2.39E-01,1.08E+00,0.22,0.825589,,0
cat116,cat116DP,4.97E-01,3.56E-01,1.396,0.162816,,0
cat116,cat116DR,8.45E-01,1.16E+00,0.731,0.464849,,0
cat116,cat116DS,3.69E-01,3.66E-01,1.009,0.313193,,0
cat116,cat116DT,-1.39E-01,9.88E-01,-0.141,0.888132,,0
cat116,cat116DU,-5.48E-02,9.58E-01,-0.057,0.954377,,0
cat116,cat116DV,-9.79E-01,1.10E+00,-0.892,0.372546,,0
cat116,cat116DW,-1.13E+00,4.41E-01,-2.573,0.010079,*,1
cat116,cat116DX,-1.40E-02,9.37E-01,-0.015,0.988125,,0
cat116,cat116E,3.97E-01,9.59E-01,0.414,0.678839,,0
cat116,cat116EA,-5.82E-01,2.48E-01,-2.343,0.019132,*,1
cat116,cat116EB,-1.24E+00,5.56E-01,-2.233,0.025571,*,1
cat116,cat116EC,-4.96E-01,2.31E-01,-2.146,0.031902,*,1
cat116,cat116ED,-2.44E-01,2.73E-01,-0.893,0.371982,,0
cat116,cat116EE,-1.96E-01,4.18E-01,-0.469,0.639354,,0
cat116,cat116EF,2.38E-01,1.14E+00,0.209,0.834598,,0
cat116,cat116EG,-8.08E-01,3.38E-01,-2.392,0.016764,*,1
cat116,cat116EH,-6.85E-01,2.82E-01,-2.43,0.015119,*,1
cat116,cat116EI,3.97E-01,1.08E+00,0.367,0.713795,,0
cat116,cat116EJ,4.32E-01,7.63E-01,0.566,0.571713,,0
cat116,cat116EK,NA,NA,NA,NA,,0
cat116,cat116EL,-5.51E-01,1.25E+00,-0.442,0.658749,,0
cat116,cat116EN,1.10E-01,6.94E-01,0.159,0.873621,,0
cat116,cat116EO,1.88E-02,6.38E-01,0.03,0.976457,,0
cat116,cat116EP,4.04E-02,6.43E-01,0.063,0.949972,,0
cat116,cat116ES,NA,NA,NA,NA,,0
cat116,cat116EW,NA,NA,NA,NA,,0
cat116,cat116EY,2.00E-01,3.86E-01,0.52,0.603378,,0
cat116,cat116FA,-1.64E-02,4.51E-01,-0.036,0.971025,,0
cat116,cat116FB,4.33E-01,3.68E-01,1.178,0.23898,,0
cat116,cat116FC,4.08E-01,3.69E-01,1.104,0.269548,,0
cat116,cat116FD,8.13E-01,7.50E-01,1.085,0.277976,,0
cat116,cat116FE,1.01E+00,7.58E-01,1.334,0.182174,,0
cat116,cat116FF,3.99E-01,1.22E+00,0.327,0.743376,,0
cat116,cat116FG,9.96E-02,1.10E+00,0.091,0.927638,,0
cat116,cat116FH,9.33E-02,1.08E+00,0.086,0.931437,,0
cat116,cat116FL,5.67E-01,1.11E+00,0.51,0.609866,,0
cat116,cat116FN,NA,NA,NA,NA,,0
cat116,cat116FR,1.40E-01,9.31E-01,0.151,0.880232,,0
cat116,cat116FS,5.44E-01,1.13E+00,0.479,0.631758,,0
cat116,cat116FT,8.76E-02,9.33E-01,0.094,0.925129,,0
cat116,cat116FU,5.35E-01,9.77E-01,0.548,0.583759,,0
cat116,cat116FW,3.55E-03,2.01E+00,0.002,0.998593,,0
cat116,cat116FX,2.10E-01,1.06E+00,0.198,0.843065,,0
cat116,cat116GA,5.10E-01,7.16E-01,0.712,0.476275,,0
cat116,cat116GB,2.74E-01,5.16E-01,0.53,0.596299,,0
cat116,cat116GC,2.61E-02,9.46E-01,0.028,0.977959,,0
cat116,cat116GE,1.34E-01,9.30E-01,0.144,0.885584,,0
cat116,cat116GF,3.09E-01,9.74E-01,0.317,0.751145,,0
cat116,cat116GG,-5.53E-01,1.12E+00,-0.492,0.622657,,0
cat116,cat116GH,-7.59E-02,7.54E-01,-0.101,0.919824,,0
cat116,cat116GI,4.46E-01,3.57E-01,1.251,0.21097,,0
cat116,cat116GJ,1.47E-01,2.54E-01,0.58,0.561593,,0
cat116,cat116GK,5.03E-01,3.58E-01,1.407,0.159519,,0
cat116,cat116GL,-7.09E-02,7.31E-01,-0.097,0.922738,,0
cat116,cat116GM,1.35E-01,1.10E+00,0.122,0.902518,,0
cat116,cat116GN,-2.07E-02,9.49E-01,-0.022,0.982619,,0
cat116,cat116GO,-6.14E-01,1.17E+00,-0.525,0.599403,,0
cat116,cat116GP,-5.77E-01,7.14E-01,-0.807,0.419464,,0
cat116,cat116GR,1.65E-01,9.70E-01,0.17,0.865126,,0
cat116,cat116GS,-1.93E-03,9.45E-01,-0.002,0.998371,,0
cat116,cat116GT,-2.96E-01,7.84E-01,-0.378,0.705321,,0
cat116,cat116GU,-3.52E-01,1.10E+00,-0.319,0.749361,,0
cat116,cat116GV,-1.85E-01,1.29E+00,-0.144,0.885783,,0
cat116,cat116GW,1.25E-01,3.41E-01,0.367,0.713992,,0
cat116,cat116GX,-1.02E-01,2.92E-01,-0.348,0.72783,,0
cat116,cat116GY,-1.76E-01,1.01E+00,-0.175,0.860874,,0
cat116,cat116H,9.74E-01,1.01E+00,0.967,0.333614,,0
cat116,cat116HA,-3.90E-02,9.47E-01,-0.041,0.967162,,0
cat116,cat116HB,-5.89E-04,9.43E-01,-0.001,0.999502,,0
cat116,cat116HC,-4.42E-01,1.10E+00,-0.401,0.688087,,0
cat116,cat116HE,5.74E-01,6.62E-01,0.866,0.386338,,0
cat116,cat116HF,9.06E-01,1.11E+00,0.817,0.414151,,0
cat116,cat116HG,8.29E-01,7.39E-01,1.121,0.262106,,0
cat116,cat116HH,3.99E-01,9.60E-01,0.416,0.67775,,0
cat116,cat116HI,3.84E-01,1.31E+00,0.294,0.768671,,0
cat116,cat116HJ,8.23E-01,7.41E-01,1.111,0.266663,,0
cat116,cat116HK,7.93E-01,7.39E-01,1.074,0.282925,,0
cat116,cat116HL,7.00E-01,7.46E-01,0.938,0.348209,,0
cat116,cat116HM,4.80E-01,9.58E-01,0.501,0.616474,,0
cat116,cat116HN,4.99E-01,6.47E-01,0.77,0.441049,,0
cat116,cat116HP,4.98E-01,1.28E+00,0.388,0.697882,,0
cat116,cat116HQ,8.13E-01,7.40E-01,1.1,0.271471,,0
cat116,cat116HR,5.83E-01,9.85E-01,0.592,0.554066,,0
cat116,cat116HV,8.02E-01,7.39E-01,1.084,0.278346,,0
cat116,cat116HW,2.31E-01,6.76E-01,0.342,0.732688,,0
cat116,cat116HX,1.02E-01,9.29E-01,0.109,0.912887,,0
cat116,cat116HY,-3.49E-02,2.55E-01,-0.137,0.891247,,0
cat116,cat116I,8.97E-01,1.15E+00,0.783,0.433741,,0
cat116,cat116IC,4.67E-02,9.31E-01,0.05,0.959969,,0
cat116,cat116ID,-3.13E-01,7.72E-01,-0.405,0.685205,,0
cat116,cat116IE,7.05E-02,9.29E-01,0.076,0.939442,,0
cat116,cat116IF,-3.58E-01,7.60E-01,-0.471,0.637592,,0
cat116,cat116IG,1.04E-01,9.29E-01,0.112,0.910966,,0
cat116,cat116IH,6.51E-01,1.20E+00,0.543,0.58684,,0
cat116,cat116II,1.15E+00,1.33E+00,0.865,0.386819,,0
cat116,cat116IJ,-5.04E-01,7.24E-01,-0.695,0.486976,,0
cat116,cat116IM,1.24E-01,3.60E-01,0.345,0.729825,,0
cat116,cat116IN,NA,NA,NA,NA,,0
cat116,cat116IP,NA,NA,NA,NA,,0
cat116,cat116IQ,NA,NA,NA,NA,,0
cat116,cat116IT,2.61E-01,2.15E-01,1.213,0.225329,,0
cat116,cat116IU,NA,NA,NA,NA,,0
cat116,cat116IY,1.00E-01,9.48E-01,0.106,0.915969,,0
cat116,cat116JC,6.30E-01,1.09E+00,0.58,0.561849,,0
cat116,cat116JE,1.65E+00,1.10E+00,1.503,0.132928,,0
cat116,cat116JF,1.05E+00,1.02E+00,1.028,0.304054,,0
cat116,cat116JH,1.10E+00,1.10E+00,0.999,0.317606,,0
cat116,cat116JI,8.76E-01,1.09E+00,0.804,0.421581,,0
cat116,cat116JL,4.35E-01,6.22E-01,0.7,0.484232,,0
cat116,cat116JM,3.66E-01,7.12E-01,0.515,0.606808,,0
cat116,cat116JP,7.16E-01,9.45E-01,0.758,0.448653,,0
cat116,cat116JQ,-1.23E+00,6.24E-01,-1.964,0.049528,*,1
cat116,cat116JR,4.73E-01,6.59E-01,0.717,0.473474,,0
cat116,cat116JU,1.29E-01,5.50E-01,0.234,0.815319,,0
cat116,cat116JW,4.42E-01,7.16E-01,0.617,0.53723,,0
cat116,cat116JX,-4.45E-02,5.26E-01,-0.085,0.932555,,0
cat116,cat116JY,-7.25E-01,7.70E-01,-0.942,0.34631,,0
cat116,cat116K,NA,NA,NA,NA,,0
cat116,cat116KA,2.05E-01,5.10E-01,0.401,0.688292,,0
cat116,cat116KB,NA,NA,NA,NA,,0
cat116,cat116KC,7.07E-01,1.20E+00,0.591,0.554554,,0
cat116,cat116KD,4.76E-01,9.39E-01,0.507,0.611999,,0
cat116,cat116KE,9.34E-01,9.50E-01,0.983,0.32576,,0
cat116,cat116KF,5.87E-01,8.68E-01,0.676,0.498798,,0
cat116,cat116KI,-9.09E-02,9.47E-01,-0.096,0.923551,,0
cat116,cat116KJ,-2.93E-01,9.44E-01,-0.311,0.755988,,0
cat116,cat116KK,-3.71E-02,9.86E-01,-0.038,0.969994,,0
cat116,cat116KL,1.46E-01,9.34E-01,0.156,0.875779,,0
cat116,cat116KM,4.81E-01,1.22E+00,0.393,0.694422,,0
cat116,cat116KN,NA,NA,NA,NA,,0
cat116,cat116KP,1.19E+00,1.20E+00,0.99,0.322053,,0
cat116,cat116KQ,3.62E-01,1.24E+00,0.292,0.770516,,0
cat116,cat116KR,6.82E-01,1.20E+00,0.569,0.569155,,0
cat116,cat116KT,6.04E-01,9.35E-01,0.646,0.518239,,0
cat116,cat116KU,6.12E-01,1.20E+00,0.509,0.611054,,0
cat116,cat116KW,6.71E-01,1.20E+00,0.561,0.574997,,0
cat116,cat116KX,3.91E-01,1.07E+00,0.365,0.71513,,0
cat116,cat116KY,1.29E+00,1.10E+00,1.175,0.240203,,0
cat116,cat116LB,6.87E-01,1.20E+00,0.574,0.565681,,0
cat116,cat116LC,2.92E-01,1.07E+00,0.274,0.784251,,0
cat116,cat116LD,4.44E-01,1.25E+00,0.356,0.722165,,0
cat116,cat116LE,4.41E-01,1.26E+00,0.349,0.726884,,0
cat116,cat116LF,7.83E-01,9.26E-01,0.846,0.397774,,0
cat116,cat116LH,8.53E-01,9.83E-01,0.867,0.385739,,0
cat116,cat116LI,8.49E-01,9.34E-01,0.909,0.363448,,0
cat116,cat116LJ,7.24E-01,8.68E-01,0.834,0.404249,,0
cat116,cat116LK,1.30E+00,1.50E+00,0.865,0.387238,,0
cat116,cat116LL,7.57E-01,9.32E-01,0.812,0.417002,,0
cat116,cat116LM,7.20E-01,5.78E-01,1.245,0.213097,,0
cat116,cat116LN,3.57E-01,2.11E-01,1.693,0.09046,.,0
cat116,cat116LO,7.84E-01,5.79E-01,1.354,0.175722,,0
cat116,cat116LQ,3.90E-01,2.20E-01,1.774,0.076059,.,0
cat116,cat116LR,1.92E-02,7.21E-01,0.027,0.978807,,0
cat116,cat116LT,1.45E+00,8.10E-01,1.792,0.073111,.,0
cat116,cat116LV,5.85E-01,6.68E-01,0.876,0.381214,,0
cat116,cat116LW,6.96E-01,5.83E-01,1.194,0.232662,,0
cat116,cat116LX,4.60E-01,2.30E-01,2,0.045567,*,1
cat116,cat116LY,7.71E-01,5.80E-01,1.33,0.183662,,0
cat116,cat116M,NA,NA,NA,NA,,0
cat116,cat116MA,NA,NA,NA,NA,,0
cat116,cat116MC,NA,NA,NA,NA,,0
cat116,cat116MD,6.95E-01,5.78E-01,1.202,0.229294,,0
cat116,cat116ME,1.68E-01,6.68E-01,0.252,0.800945,,0
cat116,cat116MG,3.33E-01,6.66E-01,0.5,0.617077,,0
cat116,cat116MH,NA,NA,NA,NA,,0
cat116,cat116MI,2.60E-01,6.83E-01,0.38,0.703877,,0
cat116,cat116MJ,4.99E-01,6.62E-01,0.755,0.450484,,0
cat116,cat116MK,8.53E-02,6.78E-01,0.126,0.899965,,0
cat116,cat116ML,7.27E-01,1.35E+00,0.539,0.589591,,0
cat116,cat116MM,NA,NA,NA,NA,,0
cat116,cat116MO,NA,NA,NA,NA,,0
cat116,cat116MP,NA,NA,NA,NA,,0
cat116,cat116MQ,1.50E-01,6.95E-01,0.215,0.829622,,0
cat116,cat116MR,9.23E-01,9.00E-01,1.026,0.304889,,0
cat116,cat116MT,NA,NA,NA,NA,,0
cat116,cat116MU,NA,NA,NA,NA,,0
cat116,cat116MV,NA,NA,NA,NA,,0
cat116,cat116MW,NA,NA,NA,NA,,0
cat116,cat116O,NA,NA,NA,NA,,0
cat116,cat116P,NA,NA,NA,NA,,0
cat116,cat116R,NA,NA,NA,NA,,0
cat116,cat116T,NA,NA,NA,NA,,0
cat116,cat116U,NA,NA,NA,NA,,0
cat116,cat116Y,NA,NA,NA,NA,,0
cat12,cat12B,1.25E+00,9.96E-01,1.258,0.208237,,0
cat13,cat13B,1.06E+00,9.96E-01,1.068,0.285365,,0
cat14,cat14B,9.81E-01,1.00E+00,0.98,0.32723,,0
cat15,cat15B,4.63E-01,9.53E-01,0.486,0.626751,,0
cat16,cat16B,-8.49E-02,2.73E-01,-0.311,0.755477,,0
cat17,cat17B,-2.82E-02,2.72E-01,-0.104,0.917353,,0
cat18,cat18B,-1.66E-01,2.71E-01,-0.612,0.540715,,0
cat19,cat19B,2.75E-02,2.75E-01,0.1,0.920316,,0
cat2,cat2B,-5.90E+00,5.99E+00,-0.985,0.324847,,0
cat20,cat20B,8.38E-02,2.97E-01,0.282,0.777857,,0
cat21,cat21B,-4.79E-02,2.90E-01,-0.165,0.868602,,0
cat22,cat22B,-5.99E-02,3.76E-01,-0.159,0.873414,,0
cat23,cat23B,7.68E-01,5.45E-01,1.409,0.158849,,0
cat24,cat24B,6.37E-01,5.45E-01,1.169,0.242613,,0
cat25,cat25B,8.29E-01,5.45E-01,1.52,0.128431,,0
cat26,cat26B,9.10E-01,5.45E-01,1.668,0.095275,.,0
cat27,cat27B,8.37E-01,5.45E-01,1.535,0.124868,,0
cat28,cat28B,6.44E-01,5.46E-01,1.179,0.238219,,0
cat29,cat29B,7.67E-01,5.46E-01,1.404,0.16033,,0
cat3,cat3B,2.93E-01,5.65E-01,0.519,0.604058,,0
cat30,cat30B,6.66E-01,5.46E-01,1.22,0.222532,,0
cat31,cat31B,6.20E-01,5.46E-01,1.137,0.255527,,0
cat32,cat32B,7.72E-01,5.48E-01,1.408,0.159041,,0
cat33,cat33B,5.93E-01,5.36E-01,1.107,0.268264,,0
cat34,cat34B,8.02E-01,5.39E-01,1.489,0.1365,,0
cat35,cat35B,4.47E-01,5.60E-01,0.799,0.424581,,0
cat36,cat36B,-2.04E-01,3.54E-01,-0.576,0.564802,,0
cat37,cat37B,-1.71E-01,3.54E-01,-0.483,0.629348,,0
cat38,cat38B,-1.42E-01,3.54E-01,-0.401,0.688081,,0
cat39,cat39B,-3.97E-01,3.54E-01,-1.12,0.262723,,0
cat4,cat4B,-7.09E+00,5.65E+00,-1.253,0.210081,,0
cat40,cat40B,-3.18E-01,3.54E-01,-0.898,0.368997,,0
cat41,cat41B,-3.81E-01,3.54E-01,-1.077,0.28144,,0
cat42,cat42B,-1.40E-01,3.53E-01,-0.397,0.691262,,0
cat43,cat43B,-2.67E-01,3.55E-01,-0.753,0.451195,,0
cat44,cat44B,-4.33E-02,3.54E-01,-0.123,0.902475,,0
cat45,cat45B,-3.00E-01,3.55E-01,-0.846,0.397441,,0
cat46,cat46B,-2.33E-01,3.70E-01,-0.631,0.528209,,0
cat47,cat47B,-1.02E-01,3.69E-01,-0.275,0.783076,,0
cat48,cat48B,4.44E-03,3.54E-01,0.013,0.989991,,0
cat49,cat49B,5.10E-01,3.32E-01,1.539,0.123791,,0
cat5,cat5B,3.31E+00,4.13E+00,0.803,0.422252,,0
cat50,cat50B,3.60E-01,3.30E-01,1.088,0.276566,,0
cat51,cat51B,4.98E-01,3.51E-01,1.419,0.155851,,0
cat52,cat52B,4.83E-01,3.32E-01,1.455,0.145782,,0
cat53,cat53B,6.70E-01,3.31E-01,2.023,0.043133,*,1
cat54,cat54B,3.55E-01,3.32E-01,1.068,0.285682,,0
cat55,cat55B,7.20E-01,3.64E-01,1.978,0.047983,*,1
cat56,cat56B,-3.19E-02,3.84E-01,-0.083,0.933847,,0
cat57,cat57B,2.63E-01,3.15E-01,0.834,0.404508,,0
cat58,cat58B,-2.26E-01,3.19E-01,-0.709,0.478553,,0
cat59,cat59B,-9.10E-02,3.13E-01,-0.291,0.77138,,0
cat6,cat6B,-1.80E+00,1.66E+00,-1.087,0.27712,,0
cat60,cat60B,-1.08E-01,3.30E-01,-0.328,0.742594,,0
cat61,cat61B,-2.04E-01,3.19E-01,-0.64,0.522043,,0
cat62,cat62B,-5.39E-01,4.64E-01,-1.163,0.245024,,0
cat63,cat63B,-2.39E-01,3.30E-01,-0.726,0.468024,,0
cat64,cat64B,-7.75E-02,3.76E-01,-0.206,0.836843,,0
cat65,cat65B,4.04E-02,1.27E-01,0.318,0.750348,,0
cat66,cat66B,5.43E-02,1.22E-01,0.447,0.654769,,0
cat67,cat67B,2.32E-01,1.39E-01,1.665,0.095959,.,0
cat68,cat68B,3.09E-01,2.42E-01,1.279,0.200795,,0
cat69,cat69B,1.38E-01,1.57E-01,0.884,0.376877,,0
cat7,cat7B,7.86E-01,1.37E+00,0.574,0.565733,,0
cat70,cat70B,5.11E-01,5.88E-01,0.869,0.384925,,0
cat71,cat71B,1.91E-01,9.02E-01,0.211,0.832505,,0
cat72,cat72B,8.31E-02,1.05E-02,7.913,2.66E-15,***,1
cat73,cat73B,-3.20E-02,1.52E-02,-2.101,0.035689,*,1
cat73,cat73C,6.24E-01,4.46E-01,1.399,0.161744,,0
cat74,cat74B,-2.04E-03,3.19E-02,-0.064,0.948994,,0
cat74,cat74C,NA,NA,NA,NA,,0
cat75,cat75B,-6.02E-02,1.22E-02,-4.947,7.60E-07,***,1
cat76,cat76B,1.08E-01,1.08E-01,0.998,0.318342,,0
cat76,cat76C,8.12E-01,3.98E-01,2.041,0.041306,*,1
cat77,cat77B,-1.09E+00,3.55E-01,-3.065,0.002178,**,1
cat77,cat77C,-4.56E-01,3.53E-01,-1.291,0.196583,,0
cat77,cat77D,-8.40E-02,2.66E-01,-0.316,0.752118,,0
cat78,cat78B,1.07E-01,9.84E-02,1.084,0.278496,,0
cat78,cat78C,2.12E-01,1.34E-01,1.576,0.115073,,0
cat78,cat78D,NA,NA,NA,NA,,0
cat79,cat79B,-1.44E-02,2.38E-02,-0.602,0.547244,,0
cat79,cat79C,2.03E-02,5.23E-02,0.389,0.697258,,0
cat79,cat79D,2.38E-01,2.77E-02,8.582,< 2e-16,***,1
cat8,cat8B,5.42E-02,5.15E-01,0.105,0.916252,,0
cat80,cat80B,3.41E-01,1.44E-02,23.759,< 2e-16,***,1
cat80,cat80C,1.95E-01,3.34E-02,5.844,5.17E-09,***,1
cat80,cat80D,NA,NA,NA,NA,,0
cat81,cat81B,1.33E-01,1.44E-02,9.195,< 2e-16,***,1
cat81,cat81C,1.66E-01,2.20E-02,7.57,3.91E-14,***,1
cat81,cat81D,NA,NA,NA,NA,,0
cat82,cat82B,-3.01E-02,1.98E-02,-1.522,0.127978,,0
cat82,cat82C,-3.88E-02,4.40E-02,-0.882,0.377774,,0
cat82,cat82D,-1.20E-01,2.38E-02,-5.06,4.24E-07,***,1
cat83,cat83B,-8.24E-03,1.33E-02,-0.618,0.536752,,0
cat83,cat83C,5.68E-02,3.00E-02,1.895,0.058174,.,0
cat83,cat83D,-4.66E-02,1.91E-02,-2.444,0.014518,*,1
cat84,cat84B,-1.71E-02,8.87E-02,-0.192,0.847394,,0
cat84,cat84C,-5.83E-02,2.02E-02,-2.885,0.00392,**,1
cat84,cat84D,-1.30E-02,3.80E-02,-0.343,0.73146,,0
cat85,cat85B,-2.93E-02,8.87E-02,-0.33,0.741357,,0
cat85,cat85C,1.57E-03,1.11E-01,0.014,0.988725,,0
cat85,cat85D,NA,NA,NA,NA,,0
cat86,cat86B,1.80E-01,2.76E-01,0.654,0.512965,,0
cat86,cat86C,-1.15E-01,3.45E-01,-0.335,0.7378,,0
cat86,cat86D,-1.28E-01,2.58E-01,-0.496,0.620123,,0
cat87,cat87B,-1.04E-01,2.36E-02,-4.418,1.00E-05,***,1
cat87,cat87C,3.39E-02,2.97E-02,1.14,0.254338,,0
cat87,cat87D,NA,NA,NA,NA,,0
cat88,cat88D,-8.87E-02,3.96E-02,-2.238,0.025259,*,1
cat88,cat88E,-2.09E-01,2.61E-01,-0.801,0.423133,,0
cat89,cat89B,-5.22E-01,1.08E+00,-0.484,0.628408,,0
cat89,cat89C,-2.31E-01,8.28E-01,-0.279,0.779876,,0
cat89,cat89D,NA,NA,NA,NA,,0
cat89,cat89G,NA,NA,NA,NA,,0
