"dba","inspection.date","camis","boro","zipcode","cuisine.type","score","grade"
"Vite-Vinosteria",2016-04-13,50010695,"QUEENS",11106,"Italian",11,"A"
"VITHAS COFFEE SHOP",2016-05-02,41555602,"BRONX",10454,"American",9,"A"
"VITO'S BAKERY",2016-03-30,40425029,"BROOKLYN",11229,"Bakery",12,"A"
"VITTLES",2016-03-23,50043932,"BROOKLYN",11222,"American",2,"A"
"VITTORIA BAKERY",2016-04-04,40482436,"BROOKLYN",11249,"Cafe/Coffee/Tea",9,"A"
"VIV RESTAURANT",2016-06-22,50042118,"MANHATTAN",10019,"Southeast Asian (Thai, Viet, Malaysia, etc)",9,"A"
"VIVA",2016-03-31,50002768,"MANHATTAN",10040,"Other",12,"A"
"VIVA KTV",2015-11-21,50040419,"QUEENS",11354,"Chinese",17,"B"
"VIVA MEXICO",2016-02-29,41006004,"BROOKLYN",11232,"Mexican",9,"A"
"VIVA MIS EMPANADAS",2015-11-21,50018441,"QUEENS",11417,"Mexican",13,"A"
"VIVA TORO",2016-05-28,41564417,"BROOKLYN",11249,"Mexican",12,"A"
"VIVALDI",2016-07-05,50000516,"QUEENS",11360,"Italian",13,"A"
"VIVE LA CREPE",2016-04-19,50005694,"MANHATTAN",10019,"French",4,"A"
"VIVE LA CREPE!",2016-03-02,41521810,"MANHATTAN",10012,"French",2,"A"
"VIVI BUBBLE TEA",2016-09-21,50009907,"BROOKLYN",11204,"Juice/Smoothies/Ice Cream/Yogurt",17,"B"
"VIVIA FELIZ 1",2016-06-20,41448070,"QUEENS",11372,"American",20,"B"
"Vivid Cabaret",2016-04-06,50005331,"MANHATTAN",10018,"American",13,"A"
"Vivid Cafe",2016-08-12,50015642,"BROOKLYN",11203,"Caribbean",10,"A"
"VIVIENNE'S",2016-04-26,40856176,"BRONX",10461,"American",13,"A"
"VIVIR CON SALUD",2016-08-17,50042763,"QUEENS",11368,"Juice/Smoothies/Ice Cream/Yogurt",12,"A"
"VIVIR EN ABUNDANCIA",2015-10-07,41649353,"BROOKLYN",11237,"Other",11,"A"
"VIVIRE",2016-03-07,50015048,"QUEENS",11104,"American",17,"B"
"VIVOLO",2016-06-23,40370497,"MANHATTAN",10021,"Italian",17,"B"
"VIXENS",2016-03-22,40398795,"QUEENS",11385,"American",7,"A"
"VIZIO",2016-08-10,41392227,"MANHATTAN",10019,"American",7,"A"
"VLIFE",2015-10-28,50009555,"MANHATTAN",10001,"Other",8,"A"
"VODOU BAR",2016-02-07,41578982,"BROOKLYN",11216,"American",5,"A"
"VOGA LOUNGE & GRILL",2016-02-05,50014318,"MANHATTAN",10033,"Spanish",3,"A"
"VOILA 76",2015-11-16,41648196,"MANHATTAN",10021,"Delicatessen",12,"A"
"VOL DE NUIT",2016-01-08,40728858,"MANHATTAN",10012,"French",10,"A"
"VOLARE RESTAURANT",2016-07-05,40369954,"MANHATTAN",10012,"Italian",7,"A"
"VON",2016-05-26,40535399,"MANHATTAN",10012,"American",10,"A"
"VOSGES HAUT-CHOCOLAT",2015-11-19,40969814,"MANHATTAN",10012,"Juice/Smoothies/Ice Cream/Yogurt",7,"A"
"VOYAGE",2016-04-20,50003888,"QUEENS",11371,"American",9,"A"
"VOYAGER ESPRESSO",2016-04-15,50043916,"MANHATTAN",10038,"Cafe/Coffee/Tea",10,"A"
"VS BERRY",2016-08-11,50001882,"MANHATTAN",10034,"American",12,"A"
"VSPOT",2016-08-04,50045372,"MANHATTAN",10010,"Cafe/Coffee/Tea",9,"A"
"VSPOT ORGANIC",2016-08-18,50035684,"MANHATTAN",10003,"Latin",70,"C"
"VSTRECHA",2015-10-27,50006093,"QUEENS",11374,"Jewish/Kosher",7,"A"
"VU 46",2016-04-13,50016920,"MANHATTAN",10036,"Other",2,"A"
"VU BAR",2016-04-26,41631062,"MANHATTAN",10001,"American",10,"A"
"VYBES KITCHEN",2016-07-14,41464143,"BRONX",10469,"Caribbean",9,"A"
"VYNL",2016-01-07,50006227,"MANHATTAN",10019,"American",11,"A"
"W'S BAR & RESTAURANT",2015-12-10,40539192,"STATEN ISLAND",10307,"American",2,"A"
"W & Y BAKERY",2016-09-08,50054726,"BROOKLYN",11229,"Bakery",4,"A"
"W HOTEL",2015-12-29,41599396,"MANHATTAN",10022,"American",13,"A"
"W K RESTAURANT",2016-08-24,50047933,"MANHATTAN",10013,"Chinese",40,"C"
"W NEW YORK BANQUET KITCHEN AND CAFETERIA",2016-06-07,41645569,"MANHATTAN",10022,"American",13,"A"
"W TIMES SQUARE",2016-09-07,40868843,"MANHATTAN",10036,"American",2,"A"
"WA BAR",2016-03-09,41704811,"MANHATTAN",10001,"Other",10,"A"
"WA JEAL",2016-05-25,41433265,"MANHATTAN",10028,"Chinese",12,"A"
"WA LUNG KITCHEN",2016-05-02,41145911,"MANHATTAN",10002,"Chinese",12,"A"
"WA SUSHI & THAI",2015-09-17,50018530,"BROOKLYN",11226,"Chinese",11,"A"
"WAFA'S RESTAURANT",2016-02-25,41572361,"QUEENS",11375,"Mediterranean",13,"A"
"WAFELS  & DINGES",2016-08-30,50043004,"BROOKLYN",11201,"Cafe/Coffee/Tea",16,"B"
"WAFELS & DINGES",2016-04-22,50034302,"MANHATTAN",10018,"Bakery",12,"A"
"WAFELS & DINGES-LANDING",2016-08-02,50053293,"MANHATTAN",10014,"Juice/Smoothies/Ice Cream/Yogurt",5,"A"
"WAGA",2016-04-04,41689229,"MANHATTAN",10003,"Cafe/Coffee/Tea",4,"A"
"WAGNER COLLEGE - HAWK' NEST",2016-04-13,41046514,"STATEN ISLAND",10301,"American",7,"A"
"WAGNER COLLEGE - MAIN DINING      HALL",2016-04-13,41049808,"STATEN ISLAND",10301,"American",13,"A"
"WAH DO MR. CHAN'S RESTAURANT",2016-09-19,40597250,"BROOKLYN",11212,"Chinese",9,"A"
"WAH FUNG 1 FAST FOOD",2016-05-06,41137336,"MANHATTAN",10002,"Chinese",10,"A"
"WAH HING KITCHEN",2016-07-20,40884708,"QUEENS",11364,"Chinese",10,"A"
"WAH KING KITCHEN",2015-12-29,41546891,"QUEENS",11421,"Chinese",9,"A"
"WAH KWOON KITCHEN",2016-05-23,41329667,"BROOKLYN",11222,"Chinese",12,"A"
"WAH LUNG RESTAURANT",2016-06-27,41521264,"BROOKLYN",11229,"Chinese",8,"A"
"WAH MING HOUSE CHINESE RESTAURAN",2016-07-06,41504734,"BROOKLYN",11208,"Chinese",13,"A"
"WAH SING",2016-04-07,50000895,"QUEENS",11413,"Chinese",6,"A"
"WAH SING RESTURANT",2016-02-18,41222198,"BROOKLYN",11233,"Chinese",2,"A"
"WAH YONG KITCHEN",2016-01-20,50013405,"BRONX",10452,"Chinese",5,"A"
"WAH YUNG",2016-03-01,50002080,"BROOKLYN",11212,"Chinese",13,"A"
"WAHI DINER",2016-09-01,50001282,"MANHATTAN",10032,"American",40,"C"
"WAHLBURGERS",2016-02-08,50039095,"BROOKLYN",11224,"American",13,"A"
"WAI KANG CHINESE RESTAURANT",2016-07-12,50040467,"BRONX",10468,"Chinese",2,"A"
"WAITING FOR YOU",2016-06-06,50038990,"BROOKLYN",11220,"Cafe/Coffee/Tea",7,"A"
"WAJIMA",2016-05-09,41163073,"MANHATTAN",10065,"Japanese",8,"A"
"WAKAMATSU JAPANESE RESTAURANT",2016-04-14,50047928,"QUEENS",11378,"Japanese",7,"A"
"WAKAMBA",2016-05-10,40564625,"MANHATTAN",10018,"American",9,"A"
"WALDORF-ASTORIA 2ND FL KITCHEN",2016-08-09,50039214,"MANHATTAN",10022,"American",10,"A"
"WALDORF ASTORIA HOTEL",2016-08-16,50039217,"MANHATTAN",10022,"American",15,"B"
"WALDORF ASTORIA HOTEL(EMPLOYEE CAFETERIA)",2016-07-11,50039218,"MANHATTAN",10022,"American",8,"A"
"WALDORF ASTORIA NYC-SIR HARRY'S",2016-03-18,50037132,"MANHATTAN",10022,"American",7,"A"
"WALDY'S WOOD FIRED PIZZA & PENNE",2016-04-26,41109543,"MANHATTAN",10001,"Pizza",7,"A"
"WALKER'S RESTAURANT",2015-11-30,40388218,"MANHATTAN",10013,"American",11,"A"
"WALLABOUT BAY SEAFOOD RESTAURANT & BAR",2016-04-02,50037861,"BROOKLYN",11205,"Seafood",12,"A"
"WALLFLOWER",2016-06-21,50003460,"MANHATTAN",10014,"French",8,"A"
"WALLSE RESTARUANT",2016-08-09,40741728,"MANHATTAN",10014,"European (Irish, English, German, etc)",12,"A"
"WALLY'S KITCHEN",2016-06-09,50051087,"QUEENS",11385,"Chinese",0,"A"
"WALNUT BUS STOP",2016-08-16,40387528,"BRONX",10454,"American",12,"A"
"WALTER'S",2016-06-25,41627123,"BROOKLYN",11217,"American",11,"A"
"WALTER'S BAR",2016-03-21,40392063,"MANHATTAN",10001,"Other",10,"A"
"WALTER'S COFFEE ROASTERY",2016-08-24,50054376,"BROOKLYN",11237,"Cafe/Coffee/Tea",5,"A"
"WALTER'S COTTAGE",2016-01-07,50043374,"MANHATTAN",10036,"Other",12,"A"
"WALTER FOODS",2016-09-08,41357129,"BROOKLYN",11211,"American",11,"A"
"WALTER KERR THEATRE",2015-11-10,41531114,"MANHATTAN",10036,"American",13,"A"
"WALTER READE THEATER",2016-05-25,40483540,"MANHATTAN",10023,"American",7,"A"
"WAN CHAI SEAFOOD RESTAURANT",2016-05-12,50015663,"QUEENS",11354,"Chinese",11,"A"
"WAN HAO XUAN",2016-05-12,50049273,"QUEENS",11354,"Chinese",12,"A"
"WAN ZHONG WANG",2016-07-25,50011238,"BROOKLYN",11220,"Chinese",0,"A"
"WANG'S GREAT WALL",2016-02-22,50006977,"MANHATTAN",10002,"Chinese",12,"A"
"WANG CHINA CITY",2016-09-09,41508999,"BROOKLYN",11203,"Chinese",4,"A"
"WANG EASTERN",2016-08-02,50005371,"BRONX",10456,"Chinese",32,"C"
"WANG GARDEN",2016-03-22,41610835,"BRONX",10459,"Chinese",7,"A"
"WANG JIANG RESTAURANT",2016-04-19,50001132,"STATEN ISLAND",10301,"Chinese",9,"A"
"WANG MANDOO HOUSE",2016-05-16,50036153,"QUEENS",11354,"Korean",17,"B"
"WANG VILLAGE SEAFOOD RESTAURANT",2016-01-07,41694393,"BROOKLYN",11220,"Chinese",12,"A"
"WANGS",2016-08-31,50008074,"BROOKLYN",11215,"Other",44,"C"
"WANTED",2016-07-29,50043774,"MANHATTAN",10038,"Pizza",16,"B"
"WAR MEMORIAL ICE SKATING RINK",2015-02-20,40376583,"STATEN ISLAND",10314,"American",5,"A"
"WARD III",2016-01-08,41427038,"MANHATTAN",10013,"American",12,"A"
"WARIQUE RESTAURANT",2016-02-01,50045146,"QUEENS",11103,"Latin",12,"A"
"WARMA CAFE",2016-02-02,41632768,"BROOKLYN",11206,"Spanish",12,"A"
"WARREN 77",2015-11-17,41407650,"MANHATTAN",10007,"American",9,"A"
"WARREN HALL COFFEE BAR",2016-05-04,40867037,"MANHATTAN",10025,"Cafe/Coffee/Tea",4,"A"
"WASABI",2016-04-19,50002381,"BROOKLYN",11222,"Japanese",10,"A"
"WASABI POINT",2016-03-05,41384689,"QUEENS",11373,"Asian",7,"A"
"WASABI RESTAURANT",2016-07-20,41644384,"BROOKLYN",11204,"Japanese",10,"A"
"WASABI SUSHI",2015-12-07,40986939,"BROOKLYN",11214,"Japanese",4,"A"
"WASABI SUSHI & BENTO",2016-03-29,50046302,"MANHATTAN",10038,"Asian",10,"A"
"WASABI SUSHI BENTO",2016-03-29,50003485,"MANHATTAN",10018,"Japanese",9,"A"
"WASAN",2016-06-25,41570645,"MANHATTAN",10003,"Japanese",10,"A"
"WASAN BROOKLYN",2016-06-24,50040939,"BROOKLYN",11217,"Japanese",9,"A"
"WASHINGTON BAGEL CAFE",2016-03-02,41164484,"BROOKLYN",11238,"Delicatessen",3,"A"
"WASHINGTON COMMONS",2016-09-07,41396559,"BROOKLYN",11238,"American",26,"B"
"WASHINGTON SQUARE CAFE",2016-04-28,40906725,"MANHATTAN",10011,"American",7,"A"
"WASHINGTON SQUARE DINER",2016-06-10,40863010,"MANHATTAN",10012,"American",12,"A"
"WASSAIL",2016-03-15,50032788,"MANHATTAN",10002,"Other",9,"A"
"WAT'S ON YOUR PLATE",2016-06-20,41602657,"MANHATTAN",10031,"Caribbean",27,"B"
"WATAWA JAPANESE RESTAURANT",2016-06-17,41395934,"QUEENS",11105,"Japanese",12,"A"
"WATER'S EDGE CAFE & CONVENIENCE",2016-03-29,41715233,"QUEENS",11360,"Delicatessen",7,"A"
"WATER FRONT ALE HOUSE",2016-05-16,40401671,"MANHATTAN",10016,"American",5,"A"
"WATEREDGE CAFE",2016-06-14,41273461,"STATEN ISLAND",10301,"American",10,"A"
"WATERFALLS ITALIAN CUISINE",2016-06-08,41115188,"STATEN ISLAND",10314,"Italian",8,"A"
"WATERSIDE CAFE",2016-09-13,50038254,"MANHATTAN",10010,"American",12,"A"
"WATTY & MEG",2016-02-18,41401447,"BROOKLYN",11201,"American",9,"A"
"WAVE HILL",2016-02-19,50001564,"BRONX",10471,"American",7,"A"
"WAVE THAI",2016-05-14,41129069,"QUEENS",11105,"Southeast Asian (Thai, Viet, Malaysia, etc)",7,"A"
"WAVERLY RESTAURANT",2016-01-13,40977209,"MANHATTAN",10014,"American",10,"A"
"WAYSIDE",2016-07-18,50001441,"MANHATTAN",10003,"American",10,"A"
"WAYWARD SOCIAL",2016-09-16,50053725,"BROOKLYN",11206,"American",12,"A"
"WAZA SUSHI",2016-06-08,41601691,"BROOKLYN",11205,"Japanese",5,"A"
"WAZOBIA RESTAURANT",2015-12-08,50001806,"STATEN ISLAND",10304,"Other",7,"A"
"WB CARIBBEAN RESTAURANT",2016-04-14,41513074,"BROOKLYN",11212,"Caribbean",16,"B"
"WCOU RADIO / TILE BAR",2016-01-27,40643682,"MANHATTAN",10003,"American",10,"A"
"WE OLIVE AND WINE BAR-BROOKLYN",2016-02-18,50012049,"BROOKLYN",11201,"Other",9,"A"
"WEATHER UP",2016-09-06,41548700,"MANHATTAN",10013,"American",33,"C"
"WEBSTER CAFE",2016-08-23,40618714,"BRONX",10458,"American",19,"B"
"WEBSTER HALL",2016-07-14,41145020,"MANHATTAN",10003,"American",13,"A"
"WEEKENDER BILLIARD & BAR",2016-07-28,50017545,"QUEENS",11377,"Asian",5,"A"
"WEI MEI XIAN",2016-08-24,41376958,"BROOKLYN",11220,"Chinese",10,"A"
"WEI WEST/BEANS & GREENS",2016-08-12,41621807,"MANHATTAN",10282,"Asian",15,"B"
"WEI WILLIAMSBURG",2016-03-07,50018758,"BROOKLYN",11211,"Chinese",7,"A"
"WEISIDE CHINA STATION",2016-03-07,41440505,"QUEENS",11377,"Chinese",7,"A"
"WEISS CAFE ROCKEFELLER UNIVERSITY",2016-08-25,40398410,"MANHATTAN",10065,"American",7,"A"
"WELCOME TO THE JOHNSON'S",2016-01-12,40966076,"MANHATTAN",10002,"American",12,"A"
"WELL-BEING FAMILY GARDEN KOREAN BBQ RESTAURANT",2016-06-15,50013722,"QUEENS",11355,"Korean",13,"A"
"WEMBLEY ATHLETIC CLUB",2016-05-31,40394770,"BRONX",10470,"American",13,"A"
"WEN GEE HOUSE",2016-03-01,41497079,"BROOKLYN",11231,"Chinese",12,"A"
"WEN MING CHINESE RESTAURANT",2015-08-14,41549803,"QUEENS",11106,"Chinese",7,"A"
"WEN ZHOU",2016-04-19,50033147,"QUEENS",11355,"Chinese",9,"A"
"WENDY'S",2016-09-22,41029337,"STATEN ISLAND",10303,"American",19,"B"
"WENG'S GARDEN",2016-02-22,41411808,"BROOKLYN",11233,"American",2,"A"
"WENG'S PALACE",2016-07-01,41172672,"MANHATTAN",10018,"Chinese",17,"B"
"WENZHOU CUISINE",2016-09-07,50012946,"QUEENS",11356,"Chinese",12,"A"
"WENZHOU NOODLE RESTAURANT",2016-08-25,50053934,"QUEENS",11355,"Chinese",5,"A"
"WERKSTATT",2016-03-30,50036603,"BROOKLYN",11218,"American",0,"A"
"WEST 190 STREET PIZZA",2016-03-14,41288962,"MANHATTAN",10040,"Pizza",11,"A"
"WEST 3RD COMMON",2016-05-12,41453307,"MANHATTAN",10012,"American",13,"A"
"WEST 53RD GOURMET DELI",2016-08-09,40591490,"MANHATTAN",10019,"Delicatessen",19,"B"
"WEST 8 HAPPY WOK",2016-06-06,41705335,"BROOKLYN",11224,"Chinese",10,"A"
"WEST AFRICAN RESTAURANT",2016-08-09,41674679,"BRONX",10456,"Other",3,"A"
"WEST BANK CAFE",2016-08-02,40371454,"MANHATTAN",10036,"American",5,"A"
"WEST CUISINE-ENCHANTMENT BY MARIA",2015-07-23,40711333,"BROOKLYN",11203,"Caribbean",7,"A"
"WEST ELM MARKET",2016-08-09,41700171,"BROOKLYN",11201,"Cafe/Coffee/Tea",21,"B"
"WEST END BAR & GRILL",2015-10-28,41576850,"MANHATTAN",10019,"American",7,"A"
"WEST END HALL BEER GARDEN",2016-09-01,50037442,"MANHATTAN",10025,"American",12,"A"
"WEST NEW MALAYSIA RESTAURANT",2015-09-10,41521287,"MANHATTAN",10013,"Asian",10,"A"
"WEST PLACE TAKE OUT",2016-06-06,50037765,"MANHATTAN",10027,"Chinese",13,"A"
"WEST SIDE CAFE AND PIZZA",2016-05-27,50032771,"MANHATTAN",10023,"American",13,"A"
"WEST SIDE STEAKHOUSE",2016-04-13,41491955,"MANHATTAN",10036,"American",9,"A"
"WESTEND LOUNGE",2016-07-26,40591202,"MANHATTAN",10025,"American",7,"A"
"WESTERN BAKERY",2016-05-11,40377560,"QUEENS",11413,"Caribbean",4,"A"
"WESTERN SPICY CHICKEN",2016-09-06,50052188,"QUEENS",11354,"Other",34,"C"
"WESTIN HOTEL",2016-05-12,41584112,"MANHATTAN",10017,"Other",7,"A"
"WESTSIDE COFFEE SHOP RESTAURANT",2016-09-19,41360467,"MANHATTAN",10013,"Latin",7,"A"
"WESTSIDE RESTAURANT",2016-04-21,40386556,"MANHATTAN",10023,"American",12,"A"
"WESTSIDE TAVERN",2016-02-17,40648876,"MANHATTAN",10011,"American",13,"A"
"WESTSIDE THEATRE",2016-05-13,40572951,"MANHATTAN",10036,"American",2,"A"
"WESTVILLE",2016-04-13,41458571,"MANHATTAN",10011,"American",8,"A"
"WESTWAY BAGEL",2016-09-02,50015632,"BROOKLYN",11206,"Bakery",36,"C"
"WESTWAY DINER",2015-10-09,40387861,"MANHATTAN",10036,"American",2,"A"
"WETZEL'S PRETZELS",2016-03-29,50043821,"MANHATTAN",10038,"Bakery",7,"A"
"WHALER BAR, CAFE BUON GIORNO",2016-03-11,40882359,"MANHATTAN",10016,"American",11,"A"
"WHARF BAR AND GRILL",2016-08-22,40389881,"QUEENS",11694,"American",12,"A"
"WHAT A BAGEL CAFE",2016-05-04,41148002,"QUEENS",11004,"Bakery",10,"A"
"WHEATED",2016-05-27,50000967,"BROOKLYN",11218,"Italian",3,"A"
"WHEELERS",2016-05-28,40400209,"BROOKLYN",11235,"American",8,"A"
"Whiskey Burger",2015-12-17,40978782,"BROOKLYN",11222,"American",5,"A"
"WHISKEY PARK",2016-05-18,40640843,"MANHATTAN",10019,"American",2,"A"
"WHISKEY REBEL",2016-08-25,41473931,"MANHATTAN",10016,"American",12,"A"
"WHISKEY SOCIAL",2016-08-03,41466148,"MANHATTAN",10011,"American",9,"A"
"WHISKEY TAVERN",2015-10-30,41352188,"MANHATTAN",10013,"American",6,"A"
"WHISKEY TOWN",2015-09-09,41275275,"MANHATTAN",10003,"American",13,"A"
"WHISKEY TRADER",2016-06-06,41270891,"MANHATTAN",10019,"American",5,"A"
"WHISPERS BAR AND RESTAURANT",2015-09-11,50015041,"MANHATTAN",10025,"American",11,"A"
"WHIT'S END PIZZERIA",2015-11-21,50008594,"QUEENS",11693,"Pizza",12,"A"
"WHITE & CASE",2016-06-20,40889924,"MANHATTAN",10036,"American",9,"A"
"WHITE BEAR",2016-08-12,40926286,"QUEENS",11354,"Chinese",7,"A"
"WHITE CASTLE",2016-09-08,40705978,"MANHATTAN",10018,"American",35,"C"
"WHITE CROSS FISHING CLUB BAR & GRILL",2016-05-14,41505347,"BRONX",10465,"American",12,"A"
"WHITE HORSE TAVERN",2016-05-05,50045888,"MANHATTAN",10004,"American",10,"A"
"WHITE OAK TAVERN",2016-04-22,50006260,"MANHATTAN",10003,"American",10,"A"
"WHITE STREET",2016-09-06,50014180,"MANHATTAN",10013,"American",21,"B"
"WHITE TIGER",2016-03-22,50035401,"BROOKLYN",11238,"Korean",14,"B"
"WHITEPOINT PIZZA",2016-01-28,50045765,"QUEENS",11356,"Other",9,"A"
"WHITESTONE BAGEL FACTORY",2015-09-23,40574150,"QUEENS",11357,"Delicatessen",3,"A"
"WHITESTONE DINER",2016-01-22,50017342,"QUEENS",11357,"American",9,"A"
"WHITESTONE LANES",2016-02-20,40369213,"QUEENS",11354,"American",5,"A"
"WHITMAN'S",2016-04-30,41496506,"MANHATTAN",10009,"American",10,"A"
"WHITMAN & BLOOM",2016-07-06,41234610,"MANHATTAN",10016,"American",10,"A"
"WHITMANS",2016-05-04,50018788,"MANHATTAN",10036,"American",2,"A"
"WHOLESOME GARDEN PIZZA",2016-07-18,50033742,"MANHATTAN",10031,"Pizza",25,"B"
"WHYNOT COFFE & WINE ART GALLERY",2016-05-13,50003571,"MANHATTAN",10002,"Cafe/Coffee/Tea",12,"A"
"WIBAR",2016-04-20,50003883,"QUEENS",11371,"Delicatessen",2,"A"
"WICHCRAFT",2016-08-19,50049611,"MANHATTAN",10007,"Delicatessen",5,"A"
"WICKED JUICE & KITCHEN",2016-02-19,50045113,"MANHATTAN",10007,"Juice/Smoothies/Ice Cream/Yogurt",13,"A"
"WICKED WILLY'S",2015-12-17,41230004,"MANHATTAN",10012,"American",11,"A"
"WIDDI HALL",2016-06-02,50039667,"BROOKLYN",11220,"Middle Eastern",9,"A"
"WIEN FAR KITCHEN",2015-10-01,41643714,"BROOKLYN",11203,"Chinese",10,"A"
"WILBEL PIZZA",2016-04-27,40871979,"BRONX",10455,"Pizza",10,"A"
"WILD",2016-09-13,41447856,"MANHATTAN",10014,"Pizza",23,"B"
"WILD ASIA",2016-04-19,40357217,"BRONX",10460,"American",2,"A"
"WILD BAGELS",2016-07-28,41225826,"BROOKLYN",11223,"Bakery",13,"A"
"WILD GINGER",2016-06-22,41600577,"MANHATTAN",10022,"Asian",12,"A"
"WILD GINGER VEGETARIAN KITCHEN",2016-09-07,41433964,"MANHATTAN",10013,"Other",18,"B"
"WILD HORSE TAVERN",2016-01-27,50015858,"MANHATTAN",10028,"American",10,"A"
"WILD ORCHID BAR & LOUNGE",2015-09-18,50008280,"QUEENS",11420,"American",11,"A"
"WILDAIR",2015-08-12,50036745,"MANHATTAN",10002,"American",10,"A"
"WILDFEAST @ WESTSIDE BREWHOUSE",2016-06-14,41670880,"MANHATTAN",10001,"American",13,"A"
"WILFIE & NELL",2016-05-09,41372275,"MANHATTAN",10014,"European (Irish, English, German, etc)",5,"A"
"WILKEN'S FINE FOOD",2016-04-20,40356483,"BROOKLYN",11234,"Delicatessen",11,"A"
"WILLBURG CAFE",2016-08-23,41255152,"BROOKLYN",11211,"American",11,"A"
"WILLDERNESS YARD",2016-07-18,50052350,"QUEENS",11694,"American",58,"C"
"WILLIAM BARNACLE",2016-05-20,41591881,"MANHATTAN",10003,"American",18,"B"
"WILLIAM GREENBERG DESSERT",2016-01-29,41657368,"MANHATTAN",10019,"Bakery",6,"A"
"WILLIAM GREENBERG JR DESSERTS",2016-05-02,41353639,"MANHATTAN",10028,"Cafe/Coffee/Tea",9,"A"
"WILLIAM HALLET",2016-09-08,41597549,"QUEENS",11103,"American",10,"A"
"WILLIAMBURG THAI CUISINE",2016-06-08,50042351,"BROOKLYN",11249,"Southeast Asian (Thai, Viet, Malaysia, etc)",7,"A"
"WILLIAMS & BAILEY",2016-09-15,41598951,"BROOKLYN",11211,"American",35,"C"
"WILLIAMS CAFE",2016-09-07,50036001,"BRONX",10461,"American",0,"A"
"WILLIAMSBURG CINEMAS",2016-06-01,41721782,"BROOKLYN",11211,"Other",8,"A"
"WILLIAMSBURG PIZZA",2016-08-22,50003214,"MANHATTAN",10002,"Pizza",12,"A"
"WILLIAMSBURGER",2016-02-08,50000453,"QUEENS",11101,"American",5,"A"
"WILLIE'S STEAK HOUSE",2016-08-31,41239497,"BRONX",10472,"Latin",28,"C"
"WILLIE O's",2015-10-16,50012582,"QUEENS",11106,"Latin",9,"A"
"WILLIS NORTH AMERICA",2016-05-17,41255267,"MANHATTAN",10281,"American",0,"A"
"WILMA JEAN",2016-06-27,41716939,"BROOKLYN",11231,"Other",22,"B"
"WILMER HALE",2016-09-13,41677967,"MANHATTAN",10007,"American",11,"A"
"WILSON'S",2016-02-09,50036174,"BROOKLYN",11237,"Cafe/Coffee/Tea",4,"A"
"WIMPY'S RESTAURANT",2016-09-15,41151989,"MANHATTAN",10032,"American",11,"A"
"WIMPY'S RESTAURANT 5",2016-03-30,41567540,"MANHATTAN",10035,"American",8,"A"
"WIMPYS RESTAURANT",2016-07-05,41376986,"MANHATTAN",10029,"American",22,"B"
"WIN HING CHINESE RESTAURANT",2016-01-05,41152860,"BROOKLYN",11236,"Chinese",12,"A"
"WIN HOU",2015-12-07,41705343,"QUEENS",11414,"Chinese",12,"A"
"WINCHESTERS PUB",2015-10-13,40395218,"QUEENS",11427,"American",13,"A"
"WINDFALL",2016-01-27,40718574,"MANHATTAN",10018,"American",13,"A"
"WINDIES RESTAURANT AND BAR",2016-08-02,41383581,"QUEENS",11428,"Caribbean",11,"A"
"WINDSOR CAFE",2016-08-25,41568374,"BROOKLYN",11215,"American",13,"A"
"WINDSOR ROAST HOUSE",2015-09-12,50037450,"BROOKLYN",11215,"American",13,"A"
"WINDY CITY ALE HOUSE",2015-09-25,41710646,"BROOKLYN",11209,"American",12,"A"
"WINE 30",2015-09-22,41389861,"MANHATTAN",10016,"Mediterranean",10,"A"
"WINE BAR & RISTORANTE",2015-11-19,41505165,"MANHATTAN",10128,"Italian",10,"A"
"WINE DISCIPLES ENOTECA",2015-08-04,50034996,"MANHATTAN",10001,"Italian",9,"A"
"WINE ESCAPE",2015-10-13,41642196,"MANHATTAN",10036,"American",2,"A"
"WINE TIME",2016-02-11,50010900,"QUEENS",11363,"American",5,"A"
"WINE:34",2016-02-18,50040779,"MANHATTAN",10016,"Italian",3,"A"
"WINEGASM",2016-06-22,40999824,"QUEENS",11103,"French",12,"A"
"WING-N-IT",2015-10-29,50018347,"BROOKLYN",11212,"Other",5,"A"
"WING BISTRO",2016-08-31,50033434,"MANHATTAN",10065,"American",16,"B"
"WING CHANG FOOD HOUSE",2016-08-17,41465611,"BROOKLYN",11216,"Chinese",12,"A"
"WING EXPRESS",2016-07-13,50052649,"STATEN ISLAND",10304,"Chinese",0,"A"
"WING GONG RESTAURANT",2016-05-02,50010316,"MANHATTAN",10029,"Chinese",9,"A"
"WING HING 1 RESTAURANT",2015-11-30,41701102,"BROOKLYN",11209,"Chinese",7,"A"
"WING HING CHINESE CUISINE",2016-06-23,50015482,"BROOKLYN",11229,"Chinese",12,"A"
"WING HING CHINESE FOOD INC",2016-05-25,50005665,"BROOKLYN",11216,"Chinese",7,"A"
"WING HING CHINESE RESTAURANT",2016-01-12,50009468,"BROOKLYN",11226,"Chinese",12,"A"
"WING HING EXPRESS CHINESE FOOD",2016-07-11,50043775,"BROOKLYN",11225,"Chinese",9,"A"
"WING HING SEAFOOD RESTAURANT",2016-06-28,50014375,"BROOKLYN",11229,"Chinese",4,"A"
"WING HUA 508",2016-07-15,41650270,"BROOKLYN",11231,"Chinese",13,"A"
"WING HUA II",2016-06-28,41529719,"BROOKLYN",11218,"Chinese",23,"B"
"WING IT",2016-07-28,50037396,"BROOKLYN",11216,"Other",23,"B"
