"dba","inspection.date","camis","boro","zipcode","cuisine.type","score","grade"
"8 PAET RIO",2016-07-27,50051482,"QUEENS",11373,"Southeast Asian (Thai, Viet, Malaysia, etc)",8,"A"
"8 ST GARDEN",2016-07-21,50044694,"BROOKLYN",11220,"Chinese",13,"A"
"809 GRILL & BAR RESTAURANT",2016-03-24,41183237,"MANHATTAN",10040,"Latin",11,"A"
"8090 tai wanese # 24",2016-08-30,50013675,"QUEENS",11354,"Chinese",30,"C"
"810 DELI & CAFE",2015-12-22,40537494,"MANHATTAN",10019,"American",13,"A"
"83 1/2",2016-04-26,41650149,"MANHATTAN",10028,"American",7,"A"
"83 KIEN TUONG RESTAURANT",2016-08-01,41537020,"MANHATTAN",10002,"Chinese",22,"B"
"86 BAKERY",2016-09-22,41654599,"BROOKLYN",11214,"Chinese",12,"A"
"86 BEST BAKERY",2015-09-24,41474212,"BROOKLYN",11214,"Bakery",10,"A"
"86 FU KEE CHINESE RESTAURANT",2016-09-13,41445878,"BROOKLYN",11214,"Chinese",33,"C"
"86 NOODLES",2016-08-11,41309521,"BROOKLYN",11209,"Chinese",10,"A"
"86 TOP POT",2016-02-04,50040669,"BROOKLYN",11214,"Chinese",26,"B"
"876 BAR LOUNGE",2015-11-20,50005264,"BRONX",10469,"American",13,"A"
"876 MARKET DELI",2016-01-26,50041313,"MANHATTAN",10001,"Delicatessen",12,"A"
"88 CAFE",2016-06-29,50001192,"QUEENS",11373,"Bakery",13,"A"
"88 CANTEEN",2016-08-26,41469379,"QUEENS",11355,"Bakery",11,"A"
"88 CHINESE RESTAURANT",2016-09-19,41698781,"MANHATTAN",10037,"Chinese",11,"A"
"88 PALACE RESTAURANT",2016-03-04,40931972,"MANHATTAN",10002,"Chinese",8,"A"
