num_results,results,author
1,Edith Stein,Edith Stein
1,Drew Barrymore,Drew Barrymore
1,John Glenn,John Herschel
3,"Saint Teresa of Avila,Saint Teresa of Avila, (Top 10)
",Teresa of Ávila
1,Laurence Olivier,Laurence Olivier
1,John McCain,John McCain
1,Robert Altman,Robert Altman
1,Andie MacDowell,Andie MacDowell
1,Cybill Shepherd,Cybill Shepherd
1,Albert Finney,Albert Finney
1,Anthony Quinn,Anthony Quinn
1,Yitzhak Rabin,Yitzhak Rabin
1,Alyson Hannigan,Alyson Hannigan
1,John Dalton,John Dalton
2,"R. Kelly,Thomas R. Kelly",R. Kelly
1,Vittorio Gassman,Vittorio Gassman
2,"Henry Hudson,William Henry Hudson",Henry Hudson
1,John Huston,John Huston
3,"D. H. Lawrence,D. H. Lawrence, (Top 10)
",D. H. Lawrence
3,"Ezra Pound,Ezra Pound, (Top 10)
",Ezra Pound
1,Theodore Dreiser,Theodore Dreiser
3,"Deliver,Delivering,Delivered",Gelimer
1,Alex Van Halen,Arthur Evans
2,"Russia,Catherine",Catherine II of Russia
3,"Michel de Montaigne,Michel de Montaigne, (Top 10)
",Michel de Montaigne
1,Edward Albee,Edward Albee
4,"Thomas Piketty,Isaiah Thomas,Thomas Jane,Craig L. Thomas",Phocas
3,"Steven Pinker,Steven Pinker, (Top 10)
",Steven Pinker
1,Henry Bessemer,Henry Bessemer
1,Carole Lombard,Carole Lombard
1,Gary Cooper,Gary Cooper
1,An Na,Anna of Russia
1,Claudius,Claudius II
1,Andrzej Wajda,Andrzej Wajda
2,"Helen Hunt Jackson,Helen Hunt",Helen Hunt
1,Sophia Loren,Sophia Loren
1,Glenn Close,Glenn Close
5,"Raphael Saadiq,Morris Raphael Cohen,June Diane Raphael,Clement Freud,Frederic Raphael",Raphael
1,Li Peng,Li Peng
1,Aaron Eckhart,Aaron Eckhart
3,"Tennessee Williams,Tennessee Williams, (Top 10)
",Tennessee Williams
1,Sarah Bernhardt,Sarah Bernhardt
1,Sharon Tate,Sharon Tate
1,Alexander Pope,Pope Leo I
3,"Thomas Hardy,Thomas Hardy, (Top 10)
",Thomas Hardy
1,Giovanni Falcone,Giovanni Falcone
1,will.i.am,William of Tyre
1,Luchino Visconti,Luchino Visconti
1,Alessandro Del Piero,Alessandro Manzoni
1,Brad Pitt,Brad Pitt
1,Alexander Pope,Pope Sixtus V
1,Franz Schubert,Franz Schubert
1,Moses Mendelssohn,Moses Mendelssohn
1,Alexander the Great,Robert Alexander Schumann
1,Pliny the Elder,Pliny the Elder
1,Dannii Minogue,Dannii Minogue
1,Carlo Rubbia,Carlo Rubbia
1,Alexander Pope,Pope Nicholas V
1,Emile Zola,Émile Zola
2,"George Orwell,Derek Jacobi",Georges Perec
1,Giacomo Leopardi,Giacomo Leopardi
1,Alexander Pope,Pope Nicholas III
1,Marie Antoinette,Marie Antoinette
1,Clara Schumann,Clara Schumann
1,Carl Maria von Weber,Carl Maria von Weber
1,Billy Wilder,Billy Wilder
1,Paul Muni,Paul Muni
1,Sacha Baron Cohen,Sacha Baron Cohen
2,"Robert Peel,John Peel",Robert Peel
1,Arthur Sullivan,Sir Arthur Sullivan
1,Jean Ingelow,Jean Michel Jarre
1,Alexander Pope,Pope Paschal II
3,"Erich Fromm,Erich Fromm, (Top 10)
",Erich Fromm
1,Alexander Pope,Pope Paschal I
9,"William Arthur Ward,William Arthur Ward, (Top 10)
,William Gibson,will.i.am,William Clay Ford, Jr.,Lord Kelvin,William Clay Ford, Sr.,Max Aitken",William Byrd
1,Alexander Pope,Pope Hilarius
3,"Catherine Deneuve,Catherine Deneuve, (Top 10)
",Catherine Deneuve
1,Jean Paul,Jean-Paul Belmondo
1,Rudolph Valentino,Rudolph Valentino
3,"Jane Goodall,Jane Goodall, (Top 10)
",Jane Goodall
1,Alexander Pope,Pope Gelasius II
1,Alexander Pope,Pope Lucius III
1,Alexander Pope,Pope Pius VI
1,Alexander Pope,Pope Lucius I
2,"John,Wayne",John Wayne Gacy
1,Dennis Bergkamp,Dennis Bergkamp
1,Mata Hari,Mata Hari
3,"Swami Vivekananda,Swami Vivekananda, (Top 10)
",Swami Vivekananda
1,Spencer Tracy,Spencer Tracy
1,Chuck Berry,Chuck Berry
3,"Taylor Caldwell,Taylor Dane,Jane Taylor",Janet Gaynor
2,"Richard Burton,Richard Francis Burton",Richard Burton
2,"Tom Jones,Tom Weston-Jones",Tom Jones
1,Joan Crawford,Joan Crawford
1,Victoria Beckham,Victoria Beckham
2,"George Michael,George Steinbrenner",George Michael
1,Jeremy Bentham,Jeremy Bentham
1,Alexander the Great,Alexander John Cuza
1,Alexander Pope,Pope Evaristus
1,Sidney Poitier,Sidney Poitier
1,Alexander Pope,Pope Telesphorus
1,Alexander Pope,Pope Nicholas IV
1,Alexander Pope,Pope Lucius II
1,Dale Evans,Frans Hals
1,Willy Brandt,Karl Brandt
1,Hilary Putnam,Hilary Putnam
2,"Peter Fonda,Henry Fonda",Henry Fonda
1,Roberto Benigni,Roberto Benigni
2,"Jane Fonda,Jane Seymour",Jane Seymour
1,Richard Branson,Richard Cromwell
4,"Dick Van Dyke,Dick Van Patten,Dan Hicks,Van Wyck Brooks",Jan van Eyck
3,"Great,Britain,Great Britain",George II of Great Britain
1,Wilfred Owen,Wilfred Owen
1,Demosthenes,Demosthenes
1,Richard Branson,Richard II of England
2,"England,Charles",Charles II of England
1,William Tecumseh Sherman,William Tecumseh Sherman
1,Alexander Pope,Pope Paul I
1,Alfred Marshall,Alfred Marshall
3,"Kingdom,United,United Kingdom",George VI of the United Kingdom
1,Daniel Bernoulli,Daniel Bernoulli
3,"Kingdom,United,United Kingdom",George V of the United Kingdom
1,Otto Hahn,Otto Hahn
1,Jesse Owens,Jesse Owens
1,David Lloyd George,David Lloyd George
3,"Great,Britain,Great Britain",George I of Great Britain
1,Wallis Simpson,"Wallis, The Duchess of Windsor"
1,Henry IV of England,Henry IV of England
1,Alexander Pope,Pope Anicetus
1,Friedrich Engels,Friedrich Engels
1,Shirley Bassey,Shirley Bassey
3,"Pope John Paul II, (Top 10)
,Pope John Paul II",Pope Paul II
1,Gabriele D'Annunzio,Gabriele D'Annunzio
2,"Paul,III",Pope Paul III
2,"England,III",William III of England
1,Michel Foucault,Michel Foucault
1,Queen Victoria,Queen Victoria
1,Kevin James,Kevin James
1,Jean Ingelow,Jean Auguste Dominique Ingres
1,Maurice Ravel,Maurice Ravel
1,Torquato Tasso,Torquato Tasso
1,Goldie Hawn,Goldie Hawn
2,"will.i.am,Ramsey Clark",William Ramsay
1,Ben Jonson,Ben Jonson
3,"Alexander Pope,Alexander Pope, (Top 10)
",Alexander Pope
1,Irving Berlin,Irving Berlin
1,Oscar Niemeyer,Oscar Niemeyer
1,Mary of Teck,Mary of Teck
1,Angela Davis,Angela Davis
1,Juan Manuel Fangio,Juan Manuel Fangio
1,Shimon Peres,Shimon Peres
3,"Douglas MacArthur,Douglas MacArthur, (Top 10)
",Douglas MacArthur
1,Irvine Welsh,Irvine Welsh
4,"Samuel Johnson,Samuel Johnson, (Top 10)
,William Samuel Johnson",Samuel Johnson
2,"Thomas Jefferson,Thomas Cromwell","Thomas Cromwell, 1st Earl of Essex"
1,Tiger Woods,Tiger Woods
1,Raquel Welch,Raquel Welch
1,Francis William Aston,Francis Galton
1,Alexander Pope,Pope Eugene IV
1,Pablo Casals,Pablo Casals
3,"George Pataki,G. M. Trevelyan,Jim Sullivan",Georg Ohm
1,Trofim Lysenko,Trofim Lysenko
1,Willy Brandt,Willy Brandt
1,William Fichtner,William Fichtner
1,Alexander Pope,Pope Anacletus
1,Tove Jansson,Tove Jansson
1,Henry Morton Stanley,Henry Morton Stanley
1,Alexander Pope,Pope Eleuterus
1,Anthony Burgess,Anthony Burgess
8,"Seth MacFarlane,Seth Green,Seth Grahame-Smith,Seth Numrich,Seth Gordon,Seth,Seth Gabel,Seth Low",Seth
1,Anwar Sadat,Anwar Sadat
1,Junichiro Koizumi,Junichiro Koizumi
1,Stanley Baldwin,Stanley Baldwin
1,August Strindberg,August Strindberg
1,Jean Ingelow,Jean Sibelius
1,Dan Aykroyd,Dan Aykroyd
1,Alonzo Church,Alonzo Church
2,"Robert A. Cook,Bobby Moore",Robert Hooke
1,Paul Newman,Paul Newman
1,Emil Nolde,Emil Nolde
1,Alexander Pope,Pope Clement I
1,Gary Becker,Gary Becker
1,Alexander Pope,Pope Zephyrinus
1,Denzel Washington,Denzel Washington
1,Alexander Pope,Pope Leo XII
1,Maria Callas,Caracalla
1,Pierre-Joseph Proudhon,Pierre-Joseph Proudhon
1,William Vickrey,William Vickrey
1,Jean-Marie Le Pen,Jean-Marie Le Pen
1,Alfred Rosenberg,Alfred Rosenberg
1,Girolamo Savonarola,Girolamo Savonarola
1,Yuri Andropov,Yuri Andropov
2,"France,Francis",Francis I of France
1,Leonid I. Brezhnev,Leonid Brezhnev
1,William Harvey,William Harvey
1,Louis de Broglie,Louis de Broglie
1,William Wilberforce,William Wilberforce
1,Robert Boyle,Robert Boyle
1,Ella Fitzgerald,Ella Fitzgerald
1,Billie Holiday,Billie Holiday
1,Bernardo Bertolucci,Bernardo Bertolucci
1,Robert Walpole,Robert Walpole
1,Ike Turner,Ike Turner
1,Alexander Pope,Pope Leo XIII
1,Sinclair Lewis,Sinclair Lewis
1,Paul Simon,Paul Simon
1,Carmen Miranda,Carmen Miranda
1,Egon Schiele,Egon Schiele
1,Eddie Vedder,Eddie Vedder
1,will.i.am,William Carlos Williams
3,"Seamus Heaney,Seamus Heaney, (Top 10)
",Seamus Heaney
1,DMX,DMX
1,Charles K. Kao,Charles K. Kao
1,Peter Kropotkin,Peter Kropotkin
3,"Bill Burr,Kurt Bills,Neil Burger",Kurt Weill
1,Wojciech Jaruzelski,Wojciech Jaruzelski
1,Jean Ingelow,Jean le Rond d'Alembert
3,"Charles de Gaulle,Charles de Gaulle, (Top 10)
",Charles de Gaulle
1,Alexander Pope,Pope Pontian
1,Amartya Sen,Amartya Sen
1,Nikos Kazantzakis,Nikos Kazantzakis
1,Robert Fisk,Robert Fisk
3,"Thornton Wilder,Thornton Wilder, (Top 10)
",Thornton Wilder
1,Thomas Jefferson,Thomas Young
1,Melinda Gates,Melinda Gates
1,Sidney Altman,Sidney Altman
1,Meg Ryan,Meg Ryan
1,Terry Jones,Terry Jones
3,"Sun Tzu,Sun Tzu, (Top 10)
",Sun Tzu
1,Alexander Pope,Pope Dionysius
2,"Valeria Golino,Valeria Mazza",Valerian
1,Gamal Abdel Nasser,Gamal Abdel Nasser
1,Hosni Mubarak,Hosni Mubarak
1,Alexander Pope,Pope Fabian
1,Eric Idle,Eric Idle
1,Jonathan Edwards,Jonathan Edwards
1,Bessie Smith,Bessie Smith
1,John C. Calhoun,John C. Calhoun
3,"Audrey Hepburn,Audrey Hepburn, (Top 10)
",Audrey Hepburn
2,"Thabo Mbeki,Piper Perabo",Strabo
1,Jean Racine,Jean Racine
1,Alfred Jodl,Alfred Jodl
1,Don McLean,Don McLean
1,Edward Heath,Edward Heath
1,Cliff Richard,Cliff Richard
1,Harold Wilson,Harold Wilson
1,Jay Leno,Jay Leno
1,James Callaghan,James Callaghan
1,Stephen Wolfram,Stephen Wolfram
1,Ivan Pavlov,Ivan Pavlov
2,"Prince,Maximilian Schell",Prince Maximilian of Baden
1,Doc Severinsen,Carl Bildt
3,"George Sand,George Sand, (Top 10)
",George Sand
1,Antonio Banderas,Antonio Banderas
1,Kate Winslet,Kate Winslet
1,Carol W. Greider,Carol W. Greider
1,James Hetfield,James Hetfield
2,"Weird,Al",Weird Al Yankovic
3,"Robert,Burns,Woodward",Robert Burns Woodward
1,Alexander Pope,Pope Paul V
1,Danny Trejo,Danny Trejo
1,Christopher Wren,Christopher Wren
1,Muammar al-Gaddafi,Muammar al-Gaddafi
1,Alexander Pope,Pope Paul IV
1,Bonnie Hunt,Bonnie Hunt
1,Jacques Derrida,Jacques Derrida
1,Olivia Newton-John,Olivia Newton-John
1,Hermann von Helmholtz,Hermann von Helmholtz
1,Jimmie Johnson,Jimmie Johnson
1,Alexander Pope,Pope Cornelius
1,Alexander Pope,Pope Eutychian
1,Alexander Pope,Pope Caius
1,Cole Porter,Cole Porter
1,Alexander Pope,Pope Marcellinus
1,Harry Houdini,Harry Houdini
1,Frank Gehry,Frank Gehry
1,Hector Berlioz,Hector Berlioz
3,"Philip Johnson,Philip Johnson, (Top 10)
",Philip Johnson
1,Kenzo Tange,Kenzo Tange
1,Christopher Lee,Christopher Lee
1,Edmond Rostand,Edmond Rostand
1,David Livingstone,David Livingstone
1,John Coltrane,John Coltrane
1,Matt LeBlanc,Matt LeBlanc
1,Richard Meier,Richard Meier
1,Adolf Loos,Adolf Loos
1,Robert Venturi,Robert Venturi
1,Louis Kahn,Louis Kahn
1,Wilhelm Keitel,Wilhelm Keitel
1,Hayden Christensen,Hayden Christensen
1,David Niven,David Niven
5,"Baltasar Gracian,Paul Marciano,Rocky Marciano,Marian McPartland,Arrian",Marcian
1,Jim Thorpe,Jim Thorpe
1,Curtis Mayfield,Curtis Mayfield
1,Lucan,Marcus Annaeus Lucanus
1,Ngo Dinh Diem,Ngo Dinh Diem
1,Talcott Parsons,Talcott Parsons
1,Olof Palme,Olof Palme
1,Matt Dillon,Matt Dillon
1,Alexander Pope,Pope Liberius
1,Alexander Pope,Pope Pius IX
1,John Travolta,John Travolta
1,John Paul Jones,John Paul Jones
1,Raymond Queneau,Raymond Queneau
1,Samuel L. Jackson,Samuel L. Jackson
1,Chester W. Nimitz,Chester Nimitz
3,"Gloria Swanson,Gloria Swanson, (Top 10)
",Gloria Swanson
1,Charlie Parker,Charlie Parker
1,Dizzy Gillespie,Dizzy Gillespie
1,Ryoji Noyori,Ryoji Noyori
1,Lawrence Lessig,Lawrence Lessig
3,"Lyndon B. Johnson,Lyndon B. Johnson, (Top 10)
",Lyndon B. Johnson
1,Alvin Toffler,Alvin Toffler
3,"Lysander Spooner,Lysander Spooner, (Top 10)
",Lysander
1,Andrew Lloyd Webber,Andrew Lloyd Webber
1,Edward Witten,Edward Witten
1,Aaliyah,Aaliyah
1,Leslie Nielsen,Leslie Nielsen
1,Ivo Andric,Ivo Andrić
5,"Guy,Guys,Buying,Buy,Buys",Puyi
1,Charles de Montesquieu,"Charles de Secondat, baron de Montesquieu"
7,"Plautus,Livy,Lucretius,Titus,Titus Welliver,Dina Titus,Titus Flavius Vespasian",Titus
1,Chen Shui-bian,Chen Shui-bian
1,Barbara McClintock,Barbara McClintock
1,Juliette Binoche,Juliette Binoche
1,Larry Bird,Larry Bird
1,James Remar,James Dewar
1,Bertha von Suttner,Bertha von Suttner
1,Ernst Mach,Ernst Mach
1,Peter Greenaway,Peter Greenaway
1,Roald Dahl,Roald Dahl
1,Elizabeth Gaskell,Elizabeth Gaskell
1,Quincy Jones,Quincy Jones
1,Alexander Pope,Pope Sabinian
5,"Sun,Burn,Burned,Burns,George Burns",Sun Quan
1,Peter Gabriel,Peter Gabriel
1,Lennox Lewis,Lennox Lewis
1,Barry White,Barry White
3,"Cher,Cher Lloyd,Cher Wang",Cher
1,Antonio Gramsci,Antonio Gramsci
1,Mick Jagger,Mick Jagger
4,"Prince,Prince William,Prince Andrew,Richard Prince",Prince
1,Benjamin Netanyahu,Benjamin Netanyahu
1,Aaron Burr,Aaron Burr
2,"Denmark,Frederick",Frederick II of Denmark
1,Abraham Lincoln,Abraham de Moivre
1,James M. Buchanan,James M. Buchanan
1,Sachin Tendulkar,Sachin Tendulkar
1,Carl Orff,Carl Orff
1,Nursultan Nazarbayev,Nursultan Nazarbayev
1,Wilhelm Canaris,Wilhelm Canaris
1,Stephen Hawking,Stephen Crane
1,Richard Branson,Richard Freiherr von Krafft-Ebing
2,"France,Henry",Henry IV of France
1,Ian Fleming,Ian Fleming
1,Rudolf Carnap,Rudolf Carnap
1,Mikhail Bakunin,Mikhail Bakunin
1,Carl Philipp Emanuel Bach,Carl Philipp Emanuel Bach
1,Oliver Goldsmith,Oliver Goldsmith
3,"Pierre Corneille,Pierre Corneille, (Top 10)
",Pierre Corneille
1,Zbigniew Brzezinski,Zbigniew Brzezinski
1,Walter Ulbricht,Walter Ulbricht
1,Solon,Solon
1,John Denver,John Denver
1,Alan Shearer,Alan Shearer
1,Ruud Gullit,Ruud Gullit
3,"Judy Garland,Judy Garland, (Top 10)
",Judy Garland
1,John Glenn,John Glenn
1,Margaret Thatcher,Margaret I of Denmark
1,Al Capone,Al Capone
1,Ron Howard,Ron Howard
1,Margrethe II of Denmark,Margrethe II of Denmark
1,Friedensreich Hundertwasser,Friedensreich Hundertwasser
2,"Black,Edward","Edward, the Black Prince"
1,Alexander Pope,Pope Pius X
1,Alexander Pope,Pope Hyginus
1,Alfred Lord Tennyson,"Alfred Tennyson, 1st Baron Tennyson"
1,Alexander Pope,Pope Gelasius I
1,Alexander Pope,Pope Romanus
1,Alexander Pope,Pope Gregory XVI
3,"John Dryden,John Dryden, (Top 10)
",John Dryden
1,Burt Lancaster,Burt Lancaster
4,"Nico Rosberg,Nicos Anastasiades,Nico Mirallegro,Nico Tortorella",Nico
1,Charles Bukowski,Charles Bukowski
1,Louis Bonaparte,Louis Bonaparte
1,Billy Crystal,Billy Crystal
1,Ernest Shackleton,Ernest Shackleton
1,Sam Houston,Sam Houston
1,Alfred Lord Tennyson,Alfred Tarski
1,Albert Einstein,Albert I of Belgium
1,Janet Jackson,Janet Jackson
1,Enzo Ferrari,Enzo Ferrari
3,"Carl Sagan,Carl Sagan, (Top 10)
",Carl Sagan
1,Danny Kaye,Danny Kaye
1,Jasper Johns,Jasper Johns
1,Bruce Springsteen,Bruce Springsteen
3,"Henri Matisse,Henri Matisse, (Top 10)
",Henri Matisse
3,"Jean de La Fontaine,Jean de La Fontaine, (Top 10)
",Jean de La Fontaine
1,Georg Trakl,Georg Trakl
1,Kevin Smith,Kevin Smith
1,Iris Murdoch,Iris Murdoch
1,Alanis Morissette,Alanis Morissette
1,Jean-Luc Godard,Jean-Luc Godard
3,"Margaret Atwood,Margaret Atwood, (Top 10)
",Margaret Atwood
1,Alexander Pope,Pope Theodore I
1,Emmeline Pankhurst,Emmeline Pankhurst
1,Lucy Maud Montgomery,Lucy Maud Montgomery
1,Dmitri Mendeleev,Dmitri Mendeleev
1,Cleopatra,Cleopatra VII of Egypt
1,Robert Baden-Powell,"Robert Baden-Powell, 1st Baron Baden-Powell"
1,Larry Page,Larry Page
1,Sergey Brin,Sergey Brin
1,Robert Heller,Robert Peary
1,Lisa Kudrow,Lisa Kudrow
1,Maurice Chevalier,Maurice Chevalier
1,Robert Zemeckis,Robert Zemeckis
7,"Robert Browning,Robert Browning, (Top 10)
,Bob Brown,Jason Robert Brown,Bobby Brown,Robert McAfee Brown",Robert Browning
1,Eli Wallach,Eli Wallach
1,John Cusack,John Cusack
1,Claudette Colbert,Claudette Colbert
1,Norma Shearer,Norma Shearer
3,"Groucho Marx,Groucho Marx, (Top 10)
",Groucho Marx
3,"Michael Caine,Michael Caine, (Top 10)
",Michael Caine
1,Charles Laughton,Charles Laughton
1,Theodosius Dobzhansky,Theodosius II
1,Yul Brynner,Yul Brynner
1,Michael Ondaatje,Michael Ondaatje
1,Muddy Waters,Muddy Waters
1,Max Born,Max Born
1,Travis Barker,Travis Barker
1,John Grisham,John Grisham
1,Grace Hopper,Grace Hopper
3,"Gertrude Stein,Gertrude Stein, (Top 10)
",Gertrude Stein
1,Guillaume Apollinaire,Guillaume Apollinaire
1,Pierre Beaumarchais,Pierre de Beaumarchais
1,Tipper Gore,Imre Nagy
3,"Simone de Beauvoir,Simone de Beauvoir, (Top 10)
",Simone de Beauvoir
1,Simone Signoret,Simone Signoret
1,Louis XVIII of France,Louis XVIII of France
3,"Edinburgh,Philip,Duke","Prince Philip, Duke of Edinburgh"
1,Man Ray,Man Ray
1,Napoleon Bonaparte,Napoleon II of France
1,George Cukor,George Cukor
1,Jean-Paul Marat,Jean-Paul Marat
1,William Wyler,William Wyler
1,Greta Gerwig,Merowig
2,"France,III",Napoleon III of France
1,Matthew Morrison,Matthew Morrison
3,"Marie,Louise,Duchess","Marie Louise, Duchess of Parma"
3,"A. P. J. Abdul Kalam,A. P. J. Abdul Kalam, (Top 10)
",Abdul Kalam
1,George Gershwin,George Gershwin
1,Warren Beatty,Warren Beatty
1,Alexander Pope,Pope Mark
1,Alexander Pope,Pope Adeodatus I
1,Alexander Pope,Pope Simplicius
1,Alexander Pope,Pope Felix III
1,Alexander Pope,Pope Symmachus
1,Alexander Pope,Pope Hormisdas
1,Alexander Pope,Pope John I
1,Alexander Pope,Pope Felix IV
1,Alexander Pope,Pope Vigilius
1,Alexander Pope,Pope Pelagius I
1,Alexander Pope,Pope Pelagius II
2,"John,III",Pope John III
1,Alexander Pope,Pope Severinus
1,Max Jacob,Max Jacob
3,"Herman Melville,Herman Melville, (Top 10)
",Herman Melville
1,Joseph Stiglitz,Joseph E. Stiglitz
1,Deborah Kerr,Deborah Kerr
1,Jon Bon Jovi,Jon Bon Jovi
1,Marc Chagall,Marc Chagall
1,Mika,Mika Häkkinen
1,Edgar Degas,Edgar Degas
1,Anna Pavlova,Anna Pavlova
1,Jan Peter Balkenende,Jan Peter Balkenende
1,Norbert Wiener,Norbert Wiener
1,Friedrich Nietzsche,Friedrich Dürrenmatt
1,Erich Maria Remarque,Erich Maria Remarque
1,Linda Hamilton,Linda Hamilton
1,Boris Spassky,Boris Spassky
3,"Peter O'Toole,Peter O'Toole, (Top 10)
",Peter O'Toole
1,P. G. Wodehouse,P. G. Wodehouse
1,Frederick Sanger,Frederick Sanger
3,"Evelyn Waugh,Evelyn Waugh, (Top 10)
",Evelyn Waugh
1,Meryl Streep,Meryl Streep
1,John Turner,John Turner
1,Stephen Fry,Stephen Fry
1,Brian Mulroney,Brian Mulroney
1,Greta Garbo,Greta Garbo
1,Humphrey Bogart,Humphrey Bogart
1,John McCarthy,John McCarthy
1,Sissy Spacek,Sissy Spacek
1,Greer Garson,Greer Garson
1,Fredric March,Fredric March
1,Patricia Highsmith,Patricia Highsmith
1,Alan Shepard,Alan Shepard
1,Vanessa Redgrave,Vanessa Redgrave
4,"Muhammad Ali,Muhammad Ali, (Top 10)
,Muhammad Ali Jinnah",Muhammad Ali
1,Friedrich Schiller,Johann Christoph Friedrich von Schiller
3,"Jean Anouilh,Jean Anouilh, (Top 10)
",Jean Anouilh
3,"Chuck Palahniuk,Chuck Palahniuk, (Top 10)
",Chuck Palahniuk
1,Liam Neeson,Liam Neeson
1,Jack Kilby,Jack Kilby
1,Jacques Villeneuve,Jacques Villeneuve
1,Irving Langmuir,Irving Langmuir
1,Benjamin Britten,Benjamin Britten
1,Thomas Keneally,Thomas Keneally
1,Glenn Miller,Glenn Miller
1,Ginger Rogers,Ginger Rogers
1,Bruce Willis,Bruce Willis
1,Inge de Bruijn,Inge de Bruijn
8,"Maurice Sendak,Maurice Strong,Maurice Gibb,Maurice Greene,Maurice Allais,Maurice Jarre,Maurice de Vlaminck,Maurice Baring",Maurice
3,"E. M. Forster,E. M. Forster, (Top 10)
",E. M. Forster
1,Henri de Toulouse-Lautrec,Henri de Toulouse-Lautrec
1,Paul Gauguin,Paul Gauguin
1,Alva Myrdal,Alva Myrdal
1,Fred Astaire,Fred Astaire
1,Lee Kuan Yew,Lee Kuan Yew
3,"Edith Piaf,Ian K. Smith,Ian Smith",Édith Piaf
1,Jean-Michel Basquiat,Jean-Michel Basquiat
1,James Cagney,James Cagney
1,Lao Tzu,Laozi
2,"Isak Dinesen,Karen Blixen",Karen Blixen
1,Johannes Vilhelm Jensen,Johannes Vilhelm Jensen
1,Lawrence Durrell,Lawrence Durrell
3,"Paulo Coelho,Paulo Coelho, (Top 10)
",Paulo Coelho
3,"Samuel Richardson,Samuel Richardson, (Top 10)
",Samuel Richardson
1,Jiang Qing,Jiang Qing
1,Franco Modigliani,Franco Modigliani
1,Jennifer Lopez,Jennifer Lopez
3,"Gustav Mahler,Gustav Mahler, (Top 10)
",Gustav Mahler
1,Graham Greene,Graham Greene
4,"Margaret Cho,Bae Doona,John Cho,Doona Bae",Lao She
1,Buzz Aldrin,Buzz Aldrin
1,Lu Xun,Lu Xun
1,Pete Sampras,Pete Sampras
1,Cathy Freeman,Cathy Freeman
1,Sam Peckinpah,Sam Peckinpah
1,Bao Dai,Bao Dai
1,George Carlin,George Everest
2,"Cristiano Ronaldo,Perry Como",Ronaldo
1,Paul Verhoeven,Paul Verhoeven
3,"Henry Wadsworth Longfellow,Henry Wadsworth Longfellow, (Top 10)
",Henry Wadsworth Longfellow
1,Anna Akhmatova,Anna Akhmatova
1,will.i.am,William Saroyan
1,Ichiro Suzuki,Ichiro Suzuki
1,Charles Ives,Charles Ives
3,"Golda Meir,Golda Meir, (Top 10)
",Golda Meir
1,Pierre Boulez,Pierre Boulez
1,Arnold J. Toynbee,Arnold J. Toynbee
1,Richard Francis Burton,Richard Francis Burton
1,Daphne du Maurier,Daphne du Maurier
1,Maurice Greene,Maurice Greene
1,Jean-Bertrand Aristide,Jean-Bertrand Aristide
1,Ofra Haza,Ofra Haza
1,Arnold Schoenberg,Arnold Schoenberg
1,Lionel Barrymore,Lionel Barrymore
1,Errol Flynn,Errol Flynn
1,Carl Lewis,Carl Lewis
1,Boris Karloff,Boris Karloff
1,Carlos Castaneda,Carlos Castaneda
1,Apollonius of Tyana,Apollonius of Tyana
1,Ken Follett,Ken Follett
1,Jennifer Jones,Jennifer Jones
1,David O. Selznick,David O. Selznick
1,Ho Chi Minh,Ho Chi Minh
3,"Franz Liszt,Franz Liszt, (Top 10)
",Franz Liszt
1,Alexander Pope,Pope Leo IX
1,Richard Strauss,Richard Strauss
1,Alexander Pope,Pope Damasus II
1,Hugo von Hofmannsthal,Hugo von Hofmannsthal
1,Steven Seagal,Steven Seagal
1,Lionel Jospin,Lionel Jospin
1,Mike Nichols,Mike Nichols
1,Gustave Moreau,Gustave Moreau
1,Ferdinand Porsche,Ferdinand Porsche
1,Robert Wise,Robert Wise
1,Jessica Lange,Jessica Lange
1,David Ben-Gurion,David Ben-Gurion
1,Enrico Caruso,Enrico Caruso
1,Paul Scofield,Paul Scofield
1,Georges Bizet,Georges Bizet
1,Isabella Rossellini,Isabella Rossellini
1,Count Basie,Count Basie
1,John Barrymore,John Barrymore
1,Martin Sheen,Martin Sheen
1,Paul Eluard,Paul Éluard
1,Jack Kirby,Jack Kirby
1,Faye Dunaway,Faye Dunaway
1,Anna Nicole Smith,Anna Nicole Smith
1,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar
1,Bobby Robson,Bobby Robson
2,"Ravi Zacharias,Konrad Lorenz",Zacharias
3,"Michael J. Fox,Michael J. Fox, (Top 10)
",Michael J. Fox
4,"Holy,Emperor,Frederick,Roman","Frederick II, Holy Roman Emperor"
1,Alexander Pope,Pope Pius VII
1,Justin Timberlake,Justin Timberlake
1,Tiberius,Tiberius Gracchus
1,Albert Einstein,Charles Albert of Sardinia
2,"Nicolaus Copernicus, (Top 10)
",Nicolas Steno
2,"Selena Gomez,Selena",Selena
1,Donatella Versace,Donatello
3,"Napoleon Bonaparte,Napoleon Bonaparte, (Top 10)
",Napoleon Bonaparte
1,Charles Taze Russell,Charles Taze Russell
1,Henrik Dam,Henrik Dam
2,"Prince,Alexander the Great","Alexander, Prince of Bulgaria"
1,Gwen Stefani,Gwen Stefani
1,Wolfgang Amadeus Mozart,Leopold Mozart
1,Henri Barbusse,Henri Barbusse
2,"Meat Loaf,Lee Marvin",Lee Marvin
1,Margaret Thatcher,Lady Margaret Beaufort
1,Debbie Reynolds,Debbie Reynolds
1,Cyrano de Bergerac,Cyrano de Bergerac
1,Mary Pickford,Mary Tudor
1,Robert Southey,Robert Southey
