Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,France,FRA,18.438341099181,19.0453984364285,20.3366774358102,19.7055622386435,19.5405056836928,20.3158080451658,18.321790948623,17.4334295797241,16.9249294926641,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Germany,DEU,43.8267731609006,44.8372642670737,51.176163776242,48.0475600949139,47.6583754372328,47.670741989882,48.4625586196525,48.993126409623,48.1477093206951,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Georgia,GEO,51.10513739546,36.2850971922246,32.4770642201835,20.9850107066381,25.5198487712665,20.0400801603206,20.3361344537815,20.1210287443268,12.9713423831071,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Greece,GRC,53.1330472103004,54.3191634462378,53.2870559412005,54.3220338983051,53.6082474226804,54.3035243346919,55.1052695631009,59.5562475671468,60.3280592248512,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Hungary,HUN,35.6729598051157,44.6800525426909,39.6039603960396,38.6666666666667,36.0785150416044,37.1711218690802,37.1590661138992,38.2422802850356,34.7848101265823,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Iceland,ISL,0,0.462962962962963,0.862068965517242,0.471698113207547,0,0,0,0,0,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Ireland,IRL,36.067751577549,38.4031349497918,33.4983127109111,33.1743869209809,33.1306990881459,34.2995169082126,34.3270868824532,36.3661814109742,33.7601862630966,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Italy,ITA,36.8388604896093,36.3636363636364,40.6438312718046,40.4603115381028,38.3981860356017,39.0525751894084,39.5631573466625,38.9743170292819,36.2426822778073,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Kosovo,KSV,..,78.0821917808219,76.8465909090909,76.1213720316623,78.1212841854935,78.1859931113662,76.3341067285383,76.7527675276753,77.2563176895307,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Latvia,LVA,52.477357485349,39.6198830409357,25.1196172248804,25.8186397984887,27.5766016713092,29.4190358467244,29.700272479564,28.1831187410587,30.01443001443,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Lithuania,LTU,42.409189692642,49.5107632093933,37.9090183559457,39.4060995184591,43.4397163120567,44.4626743232158,39.9118942731278,39.524647887324,36.3466915191053,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Luxembourg,LUX,16.1080074487896,2.85359801488834,11.8802619270346,10.3578154425612,12.3138033763654,12.018779342723,10.3710751665081,10.7662463627546,7.67656090071648,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,"Macedonia, FYR",MKD,65.4651162790698,71.9812426729191,66.4882226980728,68.236582694414,70.1877934272301,63.78896882494,65.9211927582535,64.8127128263337,61.9277108433735,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Moldova,MDA,44.7575360419397,62.2324159021407,50.3392130257802,50.7482993197279,52.1320495185695,47.515923566879,45.0127877237852,46.6579292267366,41.6417910447761,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Montenegro,MNE,..,..,47.8672985781991,56.8265682656827,47.6744186046512,68.6507936507936,69.6850393700787,67.5213675213675,67.84140969163,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Netherlands,NLD,40.8767690714532,41.8792544054965,42.2558714462299,41.2287645375388,42.5712476250792,41.305768431058,42.3246033263238,41.1757204794695,41.0548550214427,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Poland,POL,66.3979352144535,59.4869847407305,57.2029751419064,56.3896810133298,55.8030199039121,54.4830696865234,55.8872960949086,55.3702580688633,56.339762002462,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Norway,NOR,26.6205389657684,31.3087038196619,34.7272223760731,34.7752332485157,38.1152125279642,37.0095440084836,37.0727673649394,36.7191896454699,35.1374327004817,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Portugal,PRT,43.532206969377,41.5802213001383,40.5895276455511,41.3290420295343,42.8382962683754,36.7192429022082,40.6887755102041,43.9740820734341,44.4790739091719,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Serbia,SRB,65.3275250080671,74.7209302325581,62.4526420737787,63.5204606210158,70.8342456754981,68.7227550130776,69.2907092907093,70.4010755097468,72.2357095563893,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Slovenia,SVN,46.7503692762186,40.3271692745377,41.7037507946599,38.089552238806,40.6520292747838,40.2588996763754,40.8295528191834,40.4841963685272,40.5160390516039,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Sweden,SWE,18.7668075297733,18.7223398114297,21.9257282632866,23.5910572892408,25.472856791943,28.0191138140747,24.3281471004243,24.5043213014743,24.64,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Switzerland,CHE,6.06432604959489,7.75656324582339,9.01639344262295,8.9871944121071,8.59543817527011,8.71080139372822,9.14212548015365,8.74722016308377,8.78671160327395,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Spain,ESP,38.4846989141165,39.7874555703156,40.4049973355438,38.7678000581226,37.6182022390493,33.6514237728071,38.2477341389728,41.9789586853018,36.7223966731732,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Slovak Republic,SVK,32.372788619369,39.0726681127983,41.664331745587,38.5375494071146,40.2147239263804,39.9016203703704,41.3698630136986,41.3572343149808,39.0673255095738,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Romania,ROM,47.1926801734894,57.3863636363636,53.1682525951557,52.7452054794521,52.4719246159804,51.8459069020867,54.0667490729295,50.6551329347411,46.3248111563045,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Ukraine,UKR,51.8797757052791,47.5118644067797,45.1592997953948,46.4025238305234,48.3964079538165,48.7700454425959,49.295069061762,51.205083260298,51.0016977928693,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,United Kingdom,GBR,44.972704533421,43.2831238606927,46.4563153351875,45.6234622576518,44.4662352095182,43.7329528765054,44.9137282611173,45.8473272518472,43.9972365224755,..,..,..
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
