,Category,FoundedDate,Group reviews,Location,Past Meetups,Region,Upcoming Meetups,UpcommingEventDate,UpcommingEventGoing,UpcommingEventName,UpcommingEventTime,Worldwide,group,member,name
571,Learning,May 20 2009 ,2,New York,31,NY,1,Coming soon!,9 going,Let's meet and greet and bond over linear algebra.,,,Mathematicians,379,Mathematics Academy Math Club - New York City
572,Learning,Jan 31 2012 ,1,New York,20,NY,1,Coming soon!,14 going,"Perhaps group members have a ""scrub, lab coat, or professional garb",,,Scientific Professionals,294,Scientifically Social
573,Learning,Nov 24 2012 ,8,New York,46,NY,1,Sat Nov 12,6 going,Learn about The Age of Enlightenment and Maybe Have a Bite Afterward,01:00 PM,,Independent Scholars,201,The Enlightenment Book Club
574,Learning,Apr 10 2013 ,10,New York,65,NY,2,Wed Nov 16,4 going,Accent Meetup,08:00 PM,,Accent lovers,417,"Accent Workshop for Actors, Comedians, and everyone else!"
575,Learning,Sep 14 2013 ,21,New York,108,NY,10,Sat Nov 19,2 going,Saturday Afternoon Galleries and Balcony Bar,04:00 PM,,Gallery Wanderers,"1,198",Met Museum Galleries and Cafes Club
576,Learning,Sep 23 2013 ,2,New York,45,NY,2,Fri Nov 18,8 going,ADDICTION: A Philosophical & Therapeutic Exploration,07:00 PM,,Members,235,Culture and Mental Health NYC
577,Learning,Nov 20 2013 ,1,New York,43,NY,,,,,,,STEMteachersNYC,162,STEMteachersNYC
578,Learning,Feb 28 2015 ,2,New York,14,NY,1,Thu Dec 1,4 going,Prepare to host an Hour of Code event!,05:00 PM,,Codesters,237,Codesters Teacher Meetup
579,Learning,Mar 6 2016 ,,New York,6,NY,1,Sat Nov 19,8 going,Discuss medical school and residency admissions. *Registration required,02:00 PM,,MedEdors,41,MedEdits New York Pre-Medical Get Into Medical School Meetup
580,Learning,Jun 14 2016 ,,New York,9,NY,13,Mon Nov 14,4 going,Cervantes Toastmasters Practice Spanish Public Speaking Skills,07:15 PM,,Cervantes Toastmasters,65,Cervantes Toastmasters - Spanish Club in NYC
581,Learning,Aug 18 2016 ,,New York,1,NY,,,,,,,Members,76,Bronx Education Meetup (BEM)
582,Learning,Nov 1 2016 ,,New York,2,NY,10,Thu Nov 17,1 going,Come to Scientology Community Center Harlem and ask Reception for details!,07:30 PM,,Members,21,Keys to Prosperity Seminar
583,Learning,Nov 4 2016 ,,New York,,NY,1,Tue Nov 29,4 going,Explore yout Life -Get to know your Truth -Intro to Core Energetics,07:30 PM,,Members,29,Men's   Personal Growth  Group-Intro to Core Energetics
593,Learning,Jul 25 2011 ,2,New York,32,NY,1,Coming soon!,4 going,Check out this health and wellness meetup group led by one of our partners...,,,"Artists, Creative Professionals",827,Left-Brained Business for Right Brained People
594,Learning,Sep 9 2012 ,1,New York,40,NY,,,,,,,Humanist Explorers,467,Humanistic Interpersonal Meetup
595,Learning,Sep 14 2013 ,13,New York,34,NY,,,,,,,Explorers,954,Tours of Manhattan
596,Learning,Jan 14 2014 ,,New York,33,NY,,,,,,,curious people,105,Skill Mill NYC/ Dazzling Discoveries
597,Learning,May 16 2014 ,,New York,7,NY,2,Tue Dec 13,2 going,Sales Tools for Small Businesses: Increase Your Pipeline,05:30 PM,,Start-Ups & Small Businesses,50,Sales Tools for Start-Ups and Small Businesses
598,Learning,Dec 31 2014 ,,Brooklyn,1,NY,,,,,,,Members,143,NYC Parenting and Educational Resources
599,Learning,Jun 25 2015 ,1,New York,2,NY,1,Coming soon!,11 going,Happy Hour Chat: What is the purpose of Education?,,,Innovators,304,Innovation in Education NYC
600,Photography,Mar 15 2014 ,2,Astoria,28,NY,,,,,,,photographers,"1,308",Astoria Photography Meetup
601,Photography,Apr 3 2014 ,29,New York,524,NY,7,Sun Nov 13,20 going,Storytelling for Social Good,11:00 AM,,Photographers & Videographers,"6,793",Free NYC Photography Workshops
602,Photography,Feb 25 2010 ,127,New York,189,NY,2,Fri Dec 9,67 going,2016 Midtown Holiday Photowalk,07:00 PM,,Photo Minions,"3,100",NYC Photographers
603,Photography,Oct 8 2002 ,212,New York,574,NY,7,Sat Nov 12,109 going,Free Central Park Fall Foliage Walk - Upper Park,02:30 PM,,Digital Photographers,"9,360","""The New York City Digital Photography Meetup Group"""
604,Photography,Oct 8 2002 ,134,New York,249,NY,,,,,,,Photographers,"2,950",NY Photo & Safari Meetup
605,Photography,Mar 2 2012 ,13,New York,314,NY,,,,,,,Members,"4,856",PhotoManhattan - Exhibits & Photography classes NYC - Free
606,Photography,Dec 10 2015 ,8,New York,23,NY,1,Sun Nov 13,31 going,*** FREE *** Upper-Upper West Side Photowalk,10:00 AM,,Shutterbugs,817,Shutterbug Excursions NY
607,Photography,Feb 27 2016 ,13,New York,20,NY,,,,,,,Photographers and Retouchers,"1,115","New York Photography, Adobe Lightroom and Photoshop Meetup"
608,Photography,Jul 20 2011 ,71,New York,330,NY,5,Tue Nov 15,7 going,LIGHTROOM MOBILE,04:00 PM,,Photographers,"1,861",NYC Digital Photography Workshops
609,Photography,May 8 2014 ,6,New York,122,NY,3,Sat Jan 7,1 going,FREE EVENT: Hudson River Park + Highline,03:00 PM,,Shutterbugs,427,NYC Shutterbugs
610,Photography,Sep 20 2016 ,,Long Island City,9,NY,7,Sat Nov 19,1 going,Taller de Video Avanzado en espa√±ol,12:15 PM,,Members,156,Amantes de la Foto en NY
611,Photography,May 17 2016 ,3,New York,5,NY,1,Mon Nov 14,1 going,Why Ordinary Is Beautiful,07:00 PM,,Creatives,346,Shoot The Sh*t
612,Photography,Sep 7 2009 ,36,New York,65,NY,5,Tue Nov 15,7 going,LIGHTROOM MOBILE,04:00 PM,,Explorers,"1,265",NYC Photo Outings
613,Photography,Jun 27 2013 ,15,New York,74,NY,4,,,,,,Our Group Members,132,Fashion Photography Channel - Photo/Video Workshops
614,Photography,Apr 23 2014 ,7,New York,30,NY,1,Coming soon!,3 going,Achieving better lighting with on camera external flash,,,Members,249,The NYC Strobist Photographer and Model Collective
615,Photography,Sep 29 2014 ,9,New York,56,NY,2,Sun Nov 13,12 going,Pin up in an abandoned hanger,02:00 PM,,Image makers,515,Staten Island camera club
616,Photography,Nov 21 2011 ,9,New York,60,NY,2,Tue Nov 15,8 going,NEENA ZEVE Holiday Pop-up Sale,06:30 PM,,Fashion Rebels,"1,580",Inviting NYC Fashion Rebels
617,Photography,Jun 2 2014 ,1,New York,244,NY,12,Mon Nov 14,2 going,Weekly Photo Project -  Book Title,07:00 AM,,Members,422,Eric Leuthardt Photography Club - NYC
618,Photography,Jul 17 2016 ,1,New York,9,NY,3,Tue Nov 15,5 going,"Look at the Star Pizza, Look how it shines for you",07:30 PM,,Members,50,NYC Instagram Foodies Unite
619,Photography,Sep 20 2016 ,,New York,1,NY,4,Tue Nov 15,3 going,Street Winter Wear Photo Shoot - $12,06:30 PM,3,Members,47,New York Fashion and Photography Meetup
620,Photography,Oct 16 2008 ,1,New York,64,NY,9,Sat Nov 12,1 going,"TOMORROW! FREE! Network with over 1,000 Professionals to Access $1.7M in MBA Sch",12:00 PM,,Members,704,Artistic Pros Marketing Mix with Technology Club
621,Photography,Aug 7 2014 ,6,New York,100,NY,,,,,,,Photographers,668,PHOTOBOOST - Manhattan photoshoots
622,Photography,Jan 27 2016 ,2,New York,7,NY,,,,,,,Film Photographers,243,New York Film Photographers Meetup
623,Photography,Sep 23 2016 ,,New York,1,NY,,,,,,,Fashionistas,143,"Look Book, NYC/NJ Fashionista"
624,Photography,Sep 26 2016 ,,Long Island City,7,NY,6,Sat Nov 12,3 going,Taller Avanzado de Fotograf√≠a,10:00 AM,,Members,58,Taller de Foto B√°sica en espa√±ol
625,Photography,Jan 13 2010 ,40,New York,225,NY,2,Coming soon!,80 going,Photo Scavenger Hunt Coming - Teams - $20 Donation - Prizes,,,Shutterbug/s,"1,509",New York City Photo Walks - NYC Photo Walks
626,Photography,Nov 28 2011 ,6,New York,99,NY,4,Thu Nov 17,1 going,Open House - Come and Meet Us!,06:00 PM,,Image Makers,344,PhotoUno Photography Events
627,Photography,Jun 6 2015 ,1,New York,39,NY,,,,,,,Members,302,New York Fashion Photography Meetup
628,Photography,Jul 22 2015 ,,New York,130,NY,97,Fri Nov 11,3 going,Hunting for Wildlife in Central Park,05:15 PM,,Digital Artists,102,NYC PHOTO BASICS TOURS
629,Photography,Mar 28 2016 ,1,New York,11,NY,,,,,,,Creators,166,American Photographic Artists ??New York
630,Photography,May 26 2016 ,,Brooklyn,,NY,2,Sat Nov 19,4 going,Greenpoint is for Lovers! (And the Polish),02:00 PM,,Members,158,Brooklyn Instagram Meetup
631,Photography,Aug 5 2016 ,1,New York,5,NY,1,Wed Nov 16,2 going,WHO WANTS TO SHOOT BEAUTIFUL MODELS?????,06:30 PM,,Members,171,New York Studio Photography
632,Photography,Nov 1 2005 ,33,New York,194,NY,5,Tue Nov 15,1 going,LIGHTROOM MOBILE,04:00 PM,,Photographers,"1,376",Drawing the Light - Studio & Lighting Classes
633,Photography,Jan 13 2015 ,,New York,8,NY,1,Thu Nov 17,4 going,Pop Up Social November!,06:00 PM,,Friends,954,28on27 | 1315 Photography Studio and Event Space
634,Photography,Jun 11 2015 ,,New York,1,NY,,,,,,,1-Stop Model Shooters,209,1-Stop Model Shoots of NYC
635,Photography,Mar 2 2016 ,7,New York,12,NY,,,,,,,Landscape photo artist,669,New York Landscape photography
636,Photography,Sep 4 2010 ,43,New York,"1,336",NY,15,Sat Nov 12,7 going,Digital Photography: An Introduction for Beginners,10:00 AM,,Intuitive Photographers,"2,791",The Art of Intuitive Photography
637,Photography,Oct 7 2014 ,2,New York,56,NY,7,,,,,,Members,12,Carpenter Test
638,Photography,Oct 23 2014 ,3,New York,48,NY,3,Sat Dec 3,7 going,Bald eagles and Chesapeake Bay in Northern Maryland,07:00 AM,,Photographers,"3,342",New York Travel Photography
639,Photography,Jan 12 2015 ,7,Jersey City,18,NJ,1,Sat Nov 19,3 going,Body Paint Workshop With Models,01:00 PM,,Northern NJ Studio Shooters,220,Northern New Jersey Studio Photographers
640,Photography,Jan 27 2015 ,3,New York,18,NY,,,,,,,Digital Graphic-Web Designers,412,New York Adobe Digital Graphic and Web Design Meetup
641,Photography,Jan 28 2016 ,1,New York,3,NY,1,Sat May 6,4 going,Choice Meet - New York City (The Brooklyn Bridge Park),08:00 PM,,Choicers,198,Professor Hines' Choice
642,Photography,Jul 14 2016 ,4,New York,8,NY,,,,,,,Members,142,NANPA Nature Photography Group of New York City
643,Photography,Oct 24 2016 ,,New York,2,NY,,,,,,,Members,47,N.A.P.S: NYC Aspiring Photographers
644,Photography,May 11 2007 ,24,New York,106,NY,,,,,,,Photo Heros,"1,031",Edward Weston Style NYC Photo Workshops & Events
645,Photography,Sep 21 2009 ,86,New York,178,NY,1,Coming soon!,42 going,cuba-cuba,,,"Photography Lovers, Photographer","3,366",Learn Street Photography (Workshop)
646,Photography,Nov 22 2010 ,3,New York,141,NY,15,Sat Nov 12,1 going,"TOMORROW! FREE! Network with over 1,000 Professionals to Access $1.7M in MBA Sch",12:00 PM,,BIGShots,996,Photozz - Profitable Photography Meetup
647,Photography,Dec 19 2012 ,5,New York,31,NY,2,Thu Nov 17,3 going,Let's continue to talk about RETOUCHING!,07:00 PM,,Retouchers,12,New York City Professional Digital Retouchers
648,Photography,Jan 26 2016 ,4,New York,15,NY,1,Sat Nov 12,3 going,Capture Fall Foliage at Hunter Island,02:30 PM,,BUMPers,93,B.U.M.P. (Bronx and Upper Manhattan Photography)
649,Photography,Jul 15 2016 ,,New York,2,NY,,,,,,,Members,58,Fashion Models Circle
650,Photography,Aug 8 2016 ,,New York,54,NY,1,Wed Nov 23,2 going,Field Trip: Night Photography,06:15 PM,,Members,270,Learn Photography NYC
651,Photography,Feb 4 2003 ,1,New York,46,NY,,,,,,,Fotologgers,166,The Tri-State Fotolog Meetup Group
652,Photography,Nov 18 2004 ,,New York,,NY,1,Coming soon!,12 going,The Power Of Music & Photography,,,Music Photographers,154,The International Music Photographers Lounge
653,Photography,May 24 2006 ,19,New York,81,NY,,,,,,,Photoshop Artists,923,New York City Photoshop Meetup
654,Photography,Feb 24 2008 ,8,New York,250,NY,4,Thu Dec 1,2 going,"Multi-Meetup 2016 Holiday Season Kick-Off: Wine and Cheese, Snacks, Networking!",06:30 PM,,New Friends,674,NYC Social Events MeetUp
655,Photography,Sep 22 2008 ,2,New York,5,NY,,,,,,,Photographers,96,Leica New York Metro Area
656,Photography,Sep 22 2008 ,22,New York,165,NY,,,,,,,Photographers,618,New York Editorial Fashion Photography Workshop
657,Photography,Dec 11 2008 ,27,New York,92,NY,,,,,,,Photographers/Models¬≠,"1,132",Digital Photography Workshop
658,Photography,Mar 10 2009 ,3,New York,27,NY,,,,,,,House MD fans,10,The New York House MD Meetup Group
659,Photography,May 1 2009 ,1,New York,10,NY,,,,,,,Visual Explorers,699,New York Photographic Explorers
660,Photography,May 24 2009 ,1,New York,28,NY,,,,,,,Creative Partners,667,The Modeling Portfolio Group
661,Photography,Mar 2 2010 ,15,New York,48,NY,,,,,,,Shutterbugs,345,New York Shutterbugs
662,Photography,Mar 21 2010 ,4,New York,16,NY,,,,,,,Night Owls,223,NYC After Dark
663,Photography,Oct 3 2010 ,23,New York,30,NY,,,,,,,Night magicians,839,When the night becomes magic...night photography in NYC
664,Photography,Oct 13 2010 ,1,New York,5,NY,,,,,,,Grasshopper,184,NYC Fashion Photographer Group
665,Photography,Nov 4 2010 ,2,New York,27,NY,,,,,,,Traveling shooters,459,Love to Travel - Photography Workshops - NYC
666,Photography,Feb 24 2011 ,1,New York,5,NY,5,,,,,,LHAC,10,Can Someone Else Do It?
667,Photography,Jul 6 2011 ,2,New York,43,NY,,,,,,,Photographers,610,Photography get togethers and events in New York
668,Photography,Jul 30 2011 ,,New York,83,NY,,,,,,,Members,227,"The Art of Retouching Studio, NY"
669,Photography,Sep 7 2011 ,,Hoboken,1,NJ,1,Coming soon!,4 going,Hello! Calling all creatives to meetup and say hello!,,,Creatives.,85,Tri-State Fashion Photography New Jersey NYC
670,Photography,Dec 14 2011 ,3,New York,12,NY,,,,,,,Workshop Participants,15,PowerDating NYC Workshops
671,Photography,Jul 28 2012 ,,New York,44,NY,,,,,,,Members,"1,444","Camera, Photography, and Photoshop Training"
672,Photography,Oct 3 2012 ,,New York,271,NY,,,,,,,Students,42,PhotoManhattan Students
673,Photography,Dec 6 2012 ,1,New York,5,NY,,,,,,,Sharp Shooters,69,A Walk in Paradise Garden
674,Photography,Dec 15 2012 ,7,New York,14,NY,,,,,,,Photographers,551,"Photographer and Model Collaboration in New York,"
675,Photography,Oct 19 2013 ,3,Long Island City,12,NY,,,,,,,Experimental Photographers,142,NYC Experimental Photography
676,Photography,Jan 21 2014 ,2,New York,10,NY,,,,,,,Photographers,382,NYC Portrait Photography Seminars and Meetups
677,Photography,Jan 28 2014 ,,New York,2,NY,,,,,,,Creative camera artists,188,New York Photography Workshop Meetup
678,Photography,Jan 29 2014 ,,Brooklyn,2,NY,,,,,,,Members,38,Longtower Photo Enthusiasts Group
679,Photography,Feb 11 2014 ,6,New York,12,NY,,,,,,,KAPers,48,The New York Kite Aerial Photography Group
680,Photography,Apr 22 2014 ,2,Astoria,5,NY,,,,,,,Creative Astorians,234,Astoria Creative Photography
681,Photography,Aug 9 2014 ,,New York,1,NY,,,,,,,NYC legendary photo walkers,483,New York Photography Walks Meetup
682,Photography,Aug 19 2014 ,,New York,4,NY,,,,,,,Contributors,904,Magazine Makers
683,Photography,Sep 9 2014 ,7,New York,13,NY,1,Coming soon!,3 going,Next Meetup To Be Announced. Please Be Patient,,,Lightroom Users,417,NYC Lightroom Meetup Group
684,Photography,Sep 13 2014 ,16,New York,11,NY,,,,,,,Night Photographers,"1,145",New York Night Photographers
685,Photography,Oct 19 2014 ,5,Astoria,21,NY,,,,,,,Creative Photographers,832,Beginners Photography Creative Tips - Astoria/LIC
686,Photography,Oct 29 2014 ,6,Hoboken,27,NJ,,,,,,,Photographers,115,Beyond the Photograph Photo Club
687,Photography,Nov 23 2014 ,2,New York,53,NY,,,,,,,Photographers,420,Photo Club-Pictorial Photographers of America
688,Photography,Mar 16 2015 ,,New York,8,NY,3,Sun Apr 2,4 going,Patagonia - Wilderness Untamed!,03:00 PM,,Nature and Outdoor Lovers,"2,560",New York Nature and Conservation Photography Workshops
689,Photography,Mar 23 2015 ,2,New York,11,NY,,,,,,,Artists & Photographers,792,NYC Photo Gallery Openings & Events
690,Photography,Jun 15 2015 ,3,New York,6,NY,,,,,,,Photographers,700,New York Conceptual Photography Meetup
691,Photography,Jun 17 2015 ,3,New York,18,NY,,,,,,,Graphic and Web Designers,154,Eugenio Adobe Certified Instructor
692,Photography,Jul 4 2015 ,,New York,4,NY,,,,,,,Photographers,508,New York Headshot Workshops
693,Photography,Sep 12 2015 ,,New York,1,NY,,,,,,,Photographers,308,New York City Panoramic Photography Workshops
694,Photography,Nov 27 2015 ,,Brooklyn,45,NY,,,,,,,Photographers,591,PHOTOBOOST - Brooklyn photoshoots
695,Photography,Dec 13 2015 ,2,Jersey City,5,NJ,,,,,,,Photogs,50,Jersey City Amateur Photographers Club
696,Photography,Dec 22 2015 ,,New York,,NY,,,,,,,,,The A Team
697,Photography,Jan 31 2016 ,,New York,,NY,,,,,,,Photographers,252,New York Studio Fashion Shoots
698,Photography,Feb 12 2016 ,,New York,1,NY,,,,,,,Citizens,109,"NYC Crime, Safety & Mobile Technology"
699,Photography,Mar 12 2016 ,1,New York,4,NY,,,,,,,Street Photographers,818,New York Street Photography Workshop Meetup
700,Food & Drink,Jun 29 2013 ,4,Astoria,163,NY,,,,,,,Members,"1,539",20's Astoria Happy Hour and Dining Group
701,Food & Drink,Nov 1 2012 ,14,Astoria,70,NY,,,,,,,VegAstorians,590,Veg in Astoria
702,Food & Drink,Oct 8 2002 ,254,New York,455,NY,5,Tue Nov 15,117 going,Vegan Dinner At Seasoned Vegan,05:30 PM,,Vegetarians & Vegans,"11,053",The New York City Vegetarian & Vegan Meetup
703,Food & Drink,Mar 26 2007 ,29,New York,174,NY,1,Wed Nov 23,90 going,"Thanksgiving Eve, 80s Dance Party @ 230 Fifth: Free Admission!",06:00 PM,,Singles,"11,099",!!NYC Singles for Casual Cocktails!!
704,Food & Drink,Mar 1 2012 ,59,New York,275,NY,2,Mon Nov 14,50 going,Let's drink beer in Williamsburg!,06:30 PM,,Members,"1,546",New York City Gay Craft Beer Lovers
705,Food & Drink,Aug 5 2009 ,116,New York,949,NY,4,,,,,,Ethnic Food Lovers,"5,774",! New York Ethnic Food Lovers and activities
706,Food & Drink,Oct 8 2002 ,47,New York,168,NY,3,Sun Nov 13,12 going,An Asian Brunch Adventure @ The Museum - A Six Course Experience,12:00 PM,,Culinary Explorers,"12,648",NYC Dining + Cooking
707,Food & Drink,Jul 17 2013 ,8,New York,142,NY,4,Sun Nov 13,6 going,Champs Camp - November Dinner!,06:00 PM,,Foodies,475,NYC Vegan Foodies -- Young women 20's to 30's
708,Food & Drink,Aug 27 2016 ,4,New York,3,NY,2,Thu Dec 1,15 going,The next meetup is December 1st!! See you there!,06:00 PM,,Members,313,Good Wine! Good Conversation! Great Fun 45+
709,Food & Drink,Oct 15 2016 ,,New York,,NY,1,Sat Nov 19,50 going,Inaugural Meeting!,12:00 PM,,Members,208,NYC Burger Meetup!
710,Food & Drink,Dec 31 2013 ,7,New York,122,NY,6,Sat Nov 12,5 going,Show Some School Spirit,12:00 PM,,"Yuppies, Buppies","1,175","The Alumni Group: Bottomless Brunches, and More..."
711,Food & Drink,Jan 2 2015 ,4,New York,99,NY,3,,,,,,Food and Drink Enthusiasts,252,Food and Drink Adventures (30s)
712,Food & Drink,Sep 13 2006 ,23,New York,136,NY,12,Sun Nov 13,5 going,"Vounteer At St Xavier's Church Welcome Kitchen - Feed the Homeless, Good Karma!",11:00 AM,,BBQ Lovers,"4,585","Social Adventures For All (BBQ Lovers, Social & Outdoors)"
713,Food & Drink,Mar 15 2011 ,36,New York,89,NY,2,Tue Nov 22,39 going,Screamer's Pizzeria (All Vegan!) and Van Leeuwen's Ice Cream (Vegan Options),07:00 PM,,Vegans,"3,377",NYC Vegans: Brooklyn + Manhattan Dinners + Outings
714,Food & Drink,May 10 2013 ,31,New York,248,NY,5,,,,,,Food Fan-atics!,953,Adventures in Eating & Drinking
715,Food & Drink,Jan 21 2013 ,11,New York,72,NY,1,Sat Dec 3,35 going,LES Sampler (3rd Annual Holiday Meetup!!!),07:00 PM,,Whiskey Enthusiasts,336,Whiskey and Beer Enthusiasts United
716,Food & Drink,Mar 24 2015 ,,New York,132,NY,22,Sat Nov 12,26 going,Meetup Anniversary Party @ Empire Rooftop (Heated & Enclosed),08:00 PM,,"Crafters, Crafts+Cocktail Lovers","5,288",NYC Happy Hours
717,Food & Drink,Mar 28 2010 ,55,New York,334,NY,2,,,,,,Members or Wine-os,"1,282",NYC Wine Tasting Group
718,Food & Drink,Oct 4 2016 ,2,New York,1,NY,1,,,,,,Curry Monsters,108,Raj Curry Club
719,Food & Drink,Mar 10 2010 ,29,New York,242,NY,,,,,,,Crafty Pubsters,"1,567",Craft Beers & Brews - NYC
720,Food & Drink,Nov 3 2014 ,2,Brooklyn,13,NY,,,,,,,Craft Beer Lovers,"2,248",NYC Craft Beer Meetup
721,Food & Drink,Oct 8 2002 ,94,New York,843,NY,5,Fri Nov 11,3 going,11:11 Twin Flame Activation & Full Moon Celebration with Vegan Tapas & Tonics,07:30 PM,,Herbivores,"2,555",NYC Vegan EatUP
722,Food & Drink,Oct 18 2014 ,1,Hoboken,25,NJ,1,Wed Nov 30,16 going,November Bookclub,08:00 PM,,Readers & Drinkers,723,Hoboken Bar & Books
723,Food & Drink,May 17 2013 ,4,Brooklyn,61,NY,1,Thu Nov 17,22 going,"Experience ""Night of Joy""",07:00 PM,,After Hours Imbibers,473,Super Terrific North Brooklyn Happy Time
724,Food & Drink,Jul 1 2016 ,,New York,44,NY,9,Fri Nov 11,27 going,?é≤Casino Night!?é≤,07:00 PM,,Members,357,Single Wine Lovers - 20's - 50's
725,Food & Drink,Oct 14 2016 ,,Hoboken,,NJ,1,Sat Nov 12,29 going,BYOV - 'Bring Ya Own Vegan',03:00 PM,,VEGANITES,100,VEGANZ N DA HOOD: [BYOV]
726,Food & Drink,Apr 2 2012 ,16,New York,140,NY,3,Mon Dec 5,2 going,"Book Talk and Demo w/ Derek Dellinger , The Fermented Man",06:30 PM,,Fermenters,"1,177",NYC Ferments
727,Food & Drink,Oct 21 2015 ,5,New York,10,NY,1,Thu Nov 17,9 going,Carrot Raid and Candle Cafe West,07:00 PM,,"Vegans, Vegetarians, Yogis","1,111",Veganizer NYC Carrot Raids
728,Food & Drink,Aug 28 2016 ,,New York,5,NY,1,Sun Dec 4,12 going,Mini-Brunch @ Agozar,02:00 PM,,Members,293,Brunch Babes!
729,Food & Drink,Apr 9 2011 ,15,New York,178,NY,1,Thu Nov 24,5 going,Thanksgiving Potluck,06:30 PM,,Party Cooks,"1,292",NY Dinner Parties: Group Cooking and Fine Dining! (20s-30s)
730,Food & Drink,Mar 12 2015 ,,New York,209,NY,3,Fri Nov 18,3 going,Boqueria UES - Tapas,06:30 PM,,Foodies,869,Young Foodies (20s and 30s)
731,Food & Drink,Jul 19 2012 ,8,New York,47,NY,1,,,,,,Well-read Foodies,264,NYC Ladies Fine Dining and Fiction Group
732,Food & Drink,May 1 2013 ,23,New York,53,NY,,,,,,,Members,377,Supper West Siders
733,Food & Drink,Oct 12 2016 ,,New York,2,NY,2,Sun Nov 20,7 going,My mother's Japanese Curry,02:00 PM,,Members,110,Mini Clover Cooking Project
734,Food & Drink,Oct 22 2003 ,114,New York,432,NY,2,Sat Nov 19,3 going,2016 CDF Turkey Trot,08:00 AM,,Gluten-Free People,"2,114",New York City Celiac Disease Meetup
735,Food & Drink,Jul 23 2016 ,2,New York,12,NY,2,Sat Nov 12,4 going,Baking Class: Traditional French Beignets (Bugnes and Oreillettes),02:30 PM,,Members,"1,450",NYC Cooking and Baking Classes
736,Food & Drink,Apr 26 2016 ,1,Long Island City,7,NY,1,Sun Nov 13,14 going,Meet at Sweetleaf Greepoint in Brooklyn,02:00 PM,,neigh¬∑bor,169,Coffee Grindr
737,Food & Drink,Oct 15 2016 ,,New York,2,NY,,,,,,,Members,102,I LOVE CAFES Meetup (NYC & NJ)
738,Food & Drink,May 7 2007 ,62,New York,194,NY,1,Tue Nov 29,10 going,"Pasta, Pizza Party",07:00 PM,,Sicily Lovers (Sicilophiles),580,"New York City's Sicilian Food, Wine & Travel Group"
739,Food & Drink,Nov 14 2015 ,2,New York,13,NY,1,,,,,,Tea Enthusiasts,197,Men's Tea Social
740,Food & Drink,Nov 21 2011 ,6,Jersey City,76,NJ,2,Sun Nov 20,12 going,Our first mystery!! Agatha Christie's The Murder of Roger Ackroyd,11:00 AM,,Bookworms,107,Jersey City Brunch Book Club meetup
741,Food & Drink,Jan 20 2014 ,,New York,119,NY,1,Sat Nov 19,29 going,"Upscale Penthouse Party! (2 For 1 Drinks, Comp Apps, DJ, Dancing, Icebreakers)",08:00 PM,,NYC Friends,"2,139",Manhattan Fun Things
742,Food & Drink,Jun 11 2009 ,8,New York,179,NY,1,Wed Nov 23,107 going,Thanksgiving Eve 80s Dance Party @ 230 Fifth: Free Admission!,06:00 PM,,Brits,928,"""The New York British Social Group"""
743,Food & Drink,Jul 28 2012 ,8,New York,71,NY,,,,,,,Craft Beer Lovers,356,Ladies Love Craft Beers!
744,Food & Drink,Apr 18 2016 ,,Jersey City,5,NJ,1,Fri Nov 18,12 going,Netflix & Chil(ies),07:00 PM,,JC Gillies,23,Downtown Jersey City Gilmore Girls Appreciation Society
745,Food & Drink,Aug 23 2016 ,3,New York,3,NY,,,,,,,Members,550,Good Food Movement - Upper East Side Meetup
746,Food & Drink,Feb 19 2009 ,6,New York,154,NY,5,Sun Nov 13,2 going,An Asian Brunch Adventure @ The Museum - A Six Course Experience,12:00 PM,,Foodies,"2,001",Eat Me! New York
747,Food & Drink,Jan 12 2015 ,4,New York,15,NY,2,Sat Dec 3,4 going,(IRISH CHEDDAR) SOUP & SUPPER,07:00 PM,,NYC FarePlaters,311,New York Irish Food & Drink Meetup
748,Food & Drink,Feb 10 2016 ,2,New York,19,NY,,,,,,,Adventurous Foodies,363,Passport to EthNYC Eats
749,Food & Drink,Aug 15 2016 ,,New York,2,NY,1,Tue Nov 29,11 going,FOOD TASTING IS COMING SOON- Sign Up!,07:00 PM,,Members,665,New York Foodie Place
750,Food & Drink,May 17 2016 ,,New York,4,NY,1,,,,,,Members,91,"Tea, cake and biscuits"
751,Food & Drink,Jul 20 2016 ,2,Jersey City,12,NJ,4,Sun Nov 13,9 going,"Join Us! Sunday for a Wine Tour to Three Wineries - Warwick, NY",10:30 AM,,Chicas,98,North Jersey Wino Chicks
752,Food & Drink,Oct 8 2016 ,,Jersey City,,NJ,1,Sun Dec 4,12 going,Make your favorite vegan dish!,06:00 PM,,Members,48,Jersey City Vegan Potlucks
753,Food & Drink,Jan 31 2014 ,5,New York,34,NY,2,Sun Nov 13,8 going,Introduction to Armagnac,02:00 PM,,Wine Lovers,"3,195",WINE LOVERS OF NYC
754,Food & Drink,May 21 2015 ,6,New York,19,NY,1,Mon Nov 14,10 going,The Balkans,06:30 PM,,wine lovers,"1,105",NYC Gay Men's Wine Dinner Group
755,Food & Drink,Jul 9 2015 ,5,New York,37,NY,,,,,,,Coffeeholics,"1,084",Coffeeholics NY
756,Food & Drink,Feb 9 2005 ,34,New York,286,NY,1,Thu Nov 24,11 going,Thanksgiving in Brooklyn!,02:00 PM,,VegOuters,"1,176",VegOut NYC
