"","X","Address","Cuisine","DiningStyle","Restaurant","lon","lat"
"145",144,"265 Lafayette Street New York, NY 10012","Italian","Casual Dining","Sant Ambroeus SoHo",-73.9964476,40.7233607
"146",145,"1221 Avenue of the Americas New York, NY 10020","Steakhouse","Fine Dining","Del Frisco's Double Eagle Steak House - New York City",-73.98222,40.7594099
"147",146,"40 West 40th Street New York, NY 10018","Japanese","Casual Elegant","Koi - Bryant Park",-73.983765,40.7528128
"148",147,"180 Ludlow Street New York, NY 10002","French","Casual Elegant","Dirty French",-73.9872215,40.7218313
"149",148,"5 Madison Ave. New York, NY 10010","English","Casual Elegant","The Clocktower",-73.9873664,40.7412743
"150",149,"259 W 4th St New York, NY 10014","Mediterranean","Casual Dining","Extra Virgin Restaurant",-74.0031344,40.7354027
"151",150,"1900 Broadway New York, NY 10023","Italian","Casual Elegant","Cafe Fiorello",-73.981633,40.7715384
"152",151,"119 E. 18th St New York, NY 10003","Tex-Mex","Casual Dining","Javelina",-73.9874082,40.7368563
"153",152,"1285 Avenue of the Americas New York, NY 10019","Steakhouse","Fine Dining","Mastro's Steakhouse - New York City",-73.9805722,40.7611965
"154",153,"99 Hudson Street New York, NY 10013","Indian","Fine Dining","Tamarind - Tribeca",-74.0090777,40.7190816
"155",154,"349 Amsterdam Avenue New York, NY 10024","Mediterranean","Casual Elegant","TESSA",-73.9792113,40.7814331
"156",155,"501 West 51st Street New York, NY 10019","Italian","Casual Dining","Il Melograno",-73.9916131,40.7655408
"157",156,"370 Columbus Avenue New York, NY 10024","Sushi","Casual Elegant","Sushi of Gari - Columbus Avenue",-73.9764434,40.781163
"158",157,"304 East 6th St. New York, NY 10003","Mexican","Casual Elegant","Mayahuel",-73.9881794,40.7271171
"159",158,"99 Stanton Street New York, NY 10002","American","Casual Elegant","The Stanton Social",-73.9881375,40.7210822
"160",159,"41 East 20th Street New York, NY 10003","Russian","Casual Elegant","Mari Vanna",-73.988506,40.738884
"161",160,"113 7th Avenue South New York, NY 10014","Mexican","Casual Dining","Ofrenda",-74.0023804,40.733915
"162",161,"1191 First Avenue New York, NY 10065","Mexican","Casual Elegant","Maya - New York",-73.9596607,40.7631641
"163",162,"89 E 42nd St New York, NY 10017","Nordic","Casual Dining","Agern",-73.9773022,40.7524961
"164",163,"265 Elizabeth St. CI New York, NY 10012","International","Casual Elegant","The Musket Room",-73.9938218,40.7239263
"165",164,"80 Columbus Circle at 60th Street New York, NY 10023","Contemporary American","Casual Elegant","Asiate",-73.9829538,40.7690781
"166",165,"145 W. Broadway New York, NY 10013","French","Casual Elegant","The Odeon",-74.0077997,40.7169529
"167",166,"249 Columbus Avenue New York, NY 10023","Spanish","Casual Dining","Ella Kitchen & Bar",-73.9788067,40.7769826
"168",167,"42 East 58th Street New York, NY 10022","Asian Fusion","Casual Elegant","Tao Uptown",-73.9714884,40.7625589
